,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01415863174433584,,,,,,,,,-0.03759552348605232,,,0.07811796161368353,
BMP1,0.05298054148004557,0.031241094328117523,0.03188059715432239,0.030377562080181816,0.07745382037656433,0.027231466554620005,0.05821561143226002,0.14546611812409538,0.17197954164939644,0.06015206524251582,0.024545474996661994,0.10556188498731273,0.04715615125925849,0.15413240359867572,0.046195316492525465,0.012803279906311546,0.034225582564428134,0.09511383381762648
NDP,0.0520360903212783,-0.00802780627993051,-0.0011865161921667834,-0.025397632678278523,0.027193651006619295,0.024143049616438476,0.017113489465111226,0.12195987373336946,0.10436436609462446,-0.10048195331889233,0.05187040854737431,0.08455718661000393,0.09807442227357435,0.08629019826727971,-0.06586742114023138,0.12642442642547955,0.05196143461442961,0.012117060230431716
TNFSF18,-0.023606111815682184,0.06830695727842975,,,0.12679827870629443,0.040233895187997935,,0.1325303704667754,,-0.051271885315850405,,,,0.014045669828789393,,0.07309543930011518,-0.02920595145851814,0.08715059217997422
IL36G,,,,,,,0.023840308549099836,,,,,,,,,,,
RTN4,0.027240480875253013,0.025447795699309193,-0.029119720915851126,0.0254116879791507,-0.08193827071607408,-0.01937720360576299,-0.035707053668584524,-0.03598117053465598,-0.06790725901724613,-0.011408475230603475,0.0017016086795382797,0.04470401625486102,-0.051798392309965476,-0.1384372019369443,0.12433973682641766,-0.017387874418686444,0.06899229230361507,-0.09125653998482393
HEBP1,0.0314225541114562,0.05650250979309416,0.037994516809070254,0.016113503944437738,0.07510721930235718,-0.018122193880075962,0.026544642769080886,0.10513933775554836,0.023187365800721015,0.06633415781312793,-0.04123881763520178,0.02923312661565216,0.05464798984222425,0.0044116617920131026,-0.036316697954503825,0.0616096925030964,0.01250132510639267,0.013991113570139525
WNT7B,0.03593523074695171,0.01371601916565219,-0.018095498150258568,0.0003356556311195306,-0.0586021395038506,-0.036013642472115866,-0.014016691934992604,0.1348166975581555,0.00019839003883243114,,-0.03572387073436697,0.07956243169044729,-0.0010663081131466327,0.05503263878952934,0.02461366807507449,-0.03642669185042457,0.019376239134462903,-0.02571500789623374
PTMA,-0.06670035568957786,0.07699579807115163,-0.05625058808678685,0.0085661412901161,0.006961686356958258,-0.05284639111655004,0.05610733376711648,-0.022307383495542482,-0.03382984065498888,-0.008718707225372454,-0.09200653564629332,-0.026852890483478307,-0.056183123274225165,-0.16763857863475093,0.07103955411717967,-0.0025255295755130178,-0.05466643579323039,-0.015367820773910355
FASLG,,,,,,,,,,,,,,,,,0.06272759255474733,
CEACAM1,,-0.01814784817822474,-0.047297105375412415,-0.010790755637180599,0.057983462377394615,0.0030277109622497134,,,0.051212745080806095,0.01834338435586702,-0.008592942277743352,-0.04099708718754028,0.054291865832328194,0.037166890490455774,0.009032303463547869,,-0.008992275165926853,
PDAP1,0.0034545821828594826,-0.011134689833673406,0.01540334543233602,0.04149212354418075,0.056602327860313634,0.04015626416074026,0.01822066623002738,0.09686101843946458,-0.08403455034056552,0.13274219481992808,-0.025394735474426788,-0.0014483904228056361,-0.04265167448031922,0.015742038309473558,0.03648889053715176,0.10734665434703707,-0.02028185382515856,0.018609768146648113
QDPR,0.05487425409400733,-0.0709932839567989,-0.02780591608116722,-0.03277148638125364,-0.05378393948053241,-0.04697498648654305,0.021916473869682446,-0.05379807036757589,0.0895699088081163,-0.06926668501498512,-0.03200137127211716,0.02754748139459712,0.04225088168163322,-0.19634825309758755,-0.051739930059529274,0.03234341223353228,0.012445733287065277,-0.06998086665319965
POMC,0.007206778333179626,0.031101161213813535,0.03878356168161989,-0.029342383415500127,-0.0029428486891099033,0.07854692437585724,-0.04693175742655756,0.1234749581355846,0.0704291286460091,-0.020663403199764403,0.04138684626413031,-0.05433083294159779,0.14339965284097245,0.016370881264211597,0.014197693969166605,,0.019175686986395046,0.050528472940853865
CCL18,-0.011939495394086924,-0.017010432478885205,,,,,,,0.01898806215474616,,-0.022715284039633108,0.08165661382958636,0.009427899251437628,,-0.013547885166092068,,,
CCL17,,,0.016948653739953447,,,-0.028170032812653942,-0.01710517956307531,,,,,0.0510490127496953,-0.031687306196760176,0.011427052680825759,,,0.07700919656840689,
VEGFD,-0.03566901645653416,0.06728933904397966,-0.030542209133409635,-0.03122054206152063,-0.007016709412794687,-0.002637237740404896,-0.02006189730710443,,-0.005433521187945382,-0.04901304178176468,,,0.06401509914457665,-0.04205690709948633,,,,
