,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.10560216315828257,-0.02677931855255553,-0.0032888111502242024,0.06012478009795101,-0.11477807588255433,0.01690284841896088
RARRES2,-0.10682823322880668,0.0013776062552827014,-0.027090316521007206,0.010355711681477045,0.018866329941387643,0.029283719570428458
SEMA4A,-0.0004108620759331515,0.041580538249994276,-0.06720645793406961,0.01841222972888377,-0.017055209710470063,-0.023447460931584282
GDF11,-0.017608056392732212,0.005866660543526408,0.030125995619452135,0.07303909678005625,0.015056578854694032,0.07255731056885253
GPC3,,0.01918488014652297,0.06482084685177629,0.07840348019471412,0.004296758796373064,0.020365681917118406
OSTN,,,-0.008741057899484029,,,-0.031556537773604385
GRN,-0.020842937427537445,-0.014129483200393745,0.00022539710062158106,0.017704093393172308,-0.04332086593124119,0.011184861428829424
CALM1,0.09079110252957182,0.06518894089734638,0.0071659893317736895,0.08088484887722314,0.027649665961776506,0.06561555606170767
ANGPTL4,-0.1442894065172224,-0.03111703058632383,0.05573395720830288,-0.05324901188692508,0.030578693114522725,-0.027395532857824468
BMP8B,-0.006757441403209331,0.06877680849018085,-0.03143380974985195,0.0016043701669906899,-0.017912065689221362,0.04245039019212399
TNFSF4,-0.038692028985712966,0.01739108888764392,-0.04589972366849872,-0.00483823007575965,0.004353184037780637,0.005147095564709094
RBP4,-0.015596892859670409,0.05513446192682088,-0.03731510224164349,0.06170173354735917,0.007067272613669541,0.006756884430573523
DKK3,0.09214283662518866,0.0074753162805581315,0.03143629368878782,0.026961091639379715,0.004809027612691389,0.056537545868458015
COL11A1,-0.02462872688619254,0.008150866909633674,-0.014766161721653992,0.030102413141004904,-0.001339619479167218,0.005569761025310493
COL5A1,-0.1134393132854022,-0.07471882516379975,-0.011236472911317229,0.013553083305949041,-0.06842703692469147,-0.010922794095929687
KISS1,0.08379712112438399,0.05568765524491602,,0.0980681734787883,,
MEGF10,-0.0322867843505178,0.014072530844212764,0.006342527802060593,-0.044019244825263426,0.06097139680860466,0.020868981296968004
CEACAM1,-0.04037132188760076,-0.020776405443132286,0.00863257054527688,0.047241818866343974,0.17208692658264227,
EFEMP2,0.014317945808090036,-0.06656617028816628,0.04465678010312007,-0.013034167515511385,0.017551454781892614,0.04585780500855474
IGF1,0.036783043034472745,-0.048815403153698894,0.024365925687232323,0.05570804148920509,-0.009036771582891826,0.0038225894744848905
