,UKF243,UKF248,UKF251,UKF260,UKF266,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.03970089200708188,
BMP1,0.006434907523943125,0.008530482235084633,0.0204868751489815,-0.021735299939015268,0.008761649981414188,-0.013682750676709324,-0.09545924971169298,0.04026160477558086,0.09537432899552373,0.02583016040645528,-0.011757025370720547,0.029882028743991717,0.06066022213631957
NDP,0.006561142811334981,0.015855281500992604,0.018527832197445134,-0.026441379661296546,-0.012783297049317445,-0.0015077337276850804,0.031079026467678537,0.020431942308566094,0.08731957051864178,0.06013465634120857,-0.050683620464317604,0.05252219351247993,-0.0015402475724594575
TNFSF18,-0.019285643501784487,0.0596092029546776,0.15626462730598323,,-0.017104136014720755,-0.010647509681371023,,0.07186584447632512,0.015059980597429148,,,-0.027106085453306287,0.06364926425589586
RTN4,0.004533294245858611,0.052783714076879366,0.041435305724952694,-0.008883979057674234,0.07867703425976644,-0.05400081883518561,-0.03876014954699624,0.05672701690399768,0.10561308242223345,-0.03509761234408621,-0.013276631760914667,0.024669083834521495,-0.02697695307301102
HEBP1,-0.002831662504941857,0.016830523542845227,-0.005720133148027009,0.03494974017679939,-0.059885861285746654,0.03214336163378214,-0.07990013786420566,-0.0085697907894634,0.12281906485297509,-0.012797514509017519,-0.02070261608069291,0.024950015810188034,0.04175440813732452
WNT7B,-0.045012906315615366,-0.021836333359319303,-0.016807141706323494,-0.03761272111252901,0.07054251707001807,-0.030520095349847606,-0.07838649548468991,0.05597258017979935,,0.0008382324545022525,0.02865299931483962,0.0013436137669106392,-0.05085439014492695
PTMA,0.01864466657830852,0.024574997097579203,-0.054345188565846664,-0.00897197889222638,-0.12248302146087203,-0.008633570485144768,-0.06507311375544357,-0.044847954044973666,-0.019609351466224063,-0.008444409235941001,0.044165428897179275,-0.03204758621126544,-0.022538943624169867
FASLG,,,,,,,,,,,,0.015990326564198534,
CEACAM1,,-0.019692502527761988,0.08548249038613932,-0.014989605131378418,,0.04856071484228609,,,0.06506092107376454,0.21179353947985965,-0.016893070482938335,-0.039396712623645774,
PDAP1,-0.038262112353128014,-0.07165585237669578,0.01496235305866571,-0.023013821449363165,0.011417328430091826,-0.0300822362132702,0.04079448923115355,0.09952736657889949,-0.06450019900388454,-0.04593857825453814,-0.011590481696524138,0.034944153373934944,-0.03305055047243598
QDPR,0.09102811280859394,-0.04420206843524118,-0.01384509449165681,-0.09348335927827343,0.026706316357848835,0.0003847296310048483,-0.02395032277427068,0.00555903785931223,-0.04287111371677188,-6.0249291225100396e-05,-0.018837414516793827,0.007497365980354232,-0.03874162855204413
POMC,-0.03641451344850912,-0.006310522734762727,0.005350535574751195,-0.03016263014825703,-0.011117073240652784,-0.012354528249030876,-0.029262965103434114,-0.01698249342640066,-0.013923087260501605,-0.037818176107224453,0.0020164725965325357,0.09708735277505277,0.02551551681343923
CCL18,-0.025863633683013778,-0.02457438252770312,,,,,0.003936581624402398,,,-0.019344054304564616,0.020361661023114697,,
CCL17,,,,,,-0.013279517579130084,,,,-0.016284309703775108,0.04336928582720734,0.02462471075451018,
VEGFD,0.15362950959468571,-0.024574390331220563,-0.018474471004691132,-0.01434120550586309,,-0.014148202783512946,0.03429708259957523,,-0.015350423776154377,,0.07994446861905666,,
TNFSF13,,-0.018544623531499053,,,-0.01658744381022854,,,,,0.05326161949318624,-0.026506974118423107,-0.009397104684342187,0.10100908238117191
WNT5A,-0.03980113700968308,0.024691334559311988,-0.017332418085929897,-0.10193366269299846,-0.03689854306940021,0.05877269789758309,0.016695557573387573,-0.00029573401396824233,0.010447359694076183,0.01036056494821853,0.0013098312944610287,0.09768559467870111,0.0807778588047415
CXCL8,0.0490449025217453,0.0010403654933204961,-0.017298399631974253,0.15252823526986492,-0.02359456297245111,-0.04935211588828358,0.11474209265586133,,0.010653031232592538,0.002226768283730903,0.00998271796435566,-0.03826755138815385,-0.01451409537647633
GRN,0.016073085588642948,0.03655506370712331,0.02925745210031129,-0.021623659356948266,-0.03783961431432789,0.04733524745624258,0.02144189057846819,0.0021380549128848804,0.09660679053725268,-0.009417272641572128,0.015971128577119957,0.05805758819866408,0.0012983959516907442
MIA,0.03117360793657528,-0.024634924851672565,0.02365063256062381,0.05238311280451811,0.008616351990695855,0.017947215308054758,0.08905545689922913,0.07886861275480242,0.01174465798986239,0.06711058446170505,0.055219222120576894,-0.022477393016140164,0.011813742145989677
COL4A4,0.05211095901776459,-0.029513633754663676,0.009397358174750695,-0.07453560688285747,-0.01578221994526693,-0.013864227203243833,,,0.007556881606891298,0.03294321888005712,-0.02704844722531671,-0.021599044348858242,0.061094199406644595
TAC1,0.171469248677083,-0.05202645018492474,-0.025948080832140428,-0.03433517781465727,0.1207962469173671,-0.005820571447948161,,,,,,0.011666327904585194,-0.027396516302287875
RARRES2,0.022832982895243725,-0.024275332337883076,0.04841956598267981,0.030008512347103732,0.017856143692103706,0.041235848709699985,0.20580916405772937,0.023351278183437383,0.013663824094819992,0.03002698530207014,-0.024959029120422187,0.09536672483058525,0.061849688402604366
FGF7,-0.0024674552145200145,,-0.020851856605024668,-0.027459237719998565,0.044736294805612795,0.0165035241937507,0.021396557724221225,0.10724695224271823,-0.07845206551230892,-0.027247959568196322,-0.0009642108952121136,0.052294111457527305,0.043459283178763415
EFNA2,,,,,,,,,,,-0.01605573295777319,,
HBEGF,-0.021622006538114462,0.034213939475458637,-0.03287044928121504,0.04425319901038631,-0.014930827536641078,0.008668200066896255,0.03099628667532375,0.06137733655545432,0.016965550170050088,0.05430880760719308,0.035399717621215694,0.03276437574233087,0.08899746321511373
CSF3,-0.029335232974392778,,,0.12111508711379833,,,0.1304957891018429,,,0.007046190394245879,-0.01101119238363567,0.07688485212328096,0.054292767171298
PI3,-0.034751957956955334,-0.025853286518219484,,0.16924962508973565,,,,,,0.02960080678111341,-0.03672209433760827,-0.04345505662828207,0.0023041565697739788
