,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,-0.014337206429330509,,,,,,,,,0.028619917183951245,,-0.01960712853514785,
BMP1,0.016417308736044377,0.1045345514682363,-0.0286618460107,-0.0286544054714588,0.042655155140295775,0.03589087779293848,-0.010394060367060682,-0.010000406332690533,0.047813979027926334,0.06953570705701534,-0.034542050743254914,-0.06004641336973546,0.03754361261511681,-0.011839431026105922,-0.016103895729117006,-0.0178292581572231,0.0326675530877407,0.15766534359901146
NDP,-0.039589259051969986,-0.0419381970482758,0.005379059770042878,-0.020158717882819907,0.0645943555446685,-0.01902982918250525,-0.016238787743817935,0.05368689048425156,0.006703229844439706,-0.020501839917791878,0.017149955459552405,0.0037857664044912503,0.04746460276009573,0.05301823816319468,0.015147822252752362,-0.014641667143638274,0.02196677082822369,-0.08501803623986597
TNFSF18,-0.025289796944407413,,,,-0.017375641252089354,-0.021290321132824128,-0.01942237705256596,,,-0.02373641863531143,0.1309688639620953,,,,0.0696274598803106,,0.016760390603003196,
IL36G,,,,,,,,,-0.021346941078415005,,,,,,,,,
RTN4,0.0018453965734883484,-0.07011056135654535,-0.02206495268464334,-0.006749799386796614,-0.05034361522676832,-0.027848958578379518,-0.01593217679343986,-0.07321677064847955,-0.031183380627808052,0.052456608398129566,-0.0035374636571771294,-0.07647100059442932,0.010382290707838795,-0.06340901032394233,-0.06812418929078848,-0.02013741178388478,-0.00915916184305371,-0.12805896695266472
HEBP1,-0.0685093015190063,0.07879351252347765,-0.04282196333929367,0.029745355202042086,-0.04817790182341666,0.06427813274675824,0.08751170641910974,0.009250079185639299,-0.017705706957883514,0.04424698134251631,-0.009682069525602369,0.01632053697020716,-0.0250674490307719,0.04746704412393471,-0.0030142183941842178,0.0023898078974773996,0.05145022384039711,-0.03161029036058696
WNT7B,-0.01570923790960861,0.0225060370289485,-0.0032630503064320806,-0.02434537664293476,-0.019133316667869323,-0.04339058488171986,0.005175571456217217,,0.005087009000581517,0.031351314492452716,,0.07955580810152255,0.07793218570506628,-0.018203670320973676,-0.0006512041529868805,-0.0037364592489605927,-0.0016433092592247846,-0.03721186827365896
PTMA,0.01256709046492257,0.01911188132634965,0.022833065545655555,0.04007857184808656,0.029935280793223076,-0.02715914621523839,0.013385813134671671,0.01799458827807168,0.03386959155641067,-0.014164929224975748,0.09658203155946819,0.06462977387531835,-0.017839691967456342,-0.024048842115985805,-0.06624806311109929,0.029903056054498993,-0.0314394186604932,0.003154666025622945
FASLG,,,,,,,,,,,,,,,,,-0.017005255889465175,
CEACAM1,-0.012055895248587255,,0.00984838646028953,-0.02351589179071788,,-0.0008231204313083164,0.015240380412392649,,,,-0.03759371797457053,0.07034938997124637,0.05193147992299521,-0.027448655365860976,0.0350630949129965,0.09431959904377354,-0.023660315952722177,
