,UKF243,UKF248,UKF259,UKF266,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.03562596898588408,
BMP1,0.0572925834636281,-0.0266725497922805,0.05535775438741925,-0.011115653824375828,0.03669322392455717,-0.010180492456914035,0.16149826084744856,0.11740901154167029,-0.01697485916167016,-0.05489995394131643,-0.06053214538934231,0.08146490770678547,0.020664241168246104
NDP,0.10506613305022852,-0.016806064153027198,0.002554693553238547,0.012379335431973098,-0.010725505812827907,-0.015276257180934852,0.160849247351467,-0.03275097094211159,0.002154009465155482,0.053668451995006576,-0.006285579418491759,-0.04874142105824661,0.047787095100387755
TNFSF18,-0.005163099977089125,0.013441135635134209,,-0.011621007957738495,-0.014222981148063937,,0.09368607040837984,,,,,0.00979286840916221,-0.008732919331718198
RTN4,-0.060807440034298416,-0.03192648962676166,0.01242546937290639,-0.005299901659276061,0.07242026317592326,0.02150855654011194,-0.023573970661415956,-0.06639015994303388,0.005511886697996893,-0.05927424555850898,0.09603561731985834,0.04601491778079886,0.11393654308913932
HEBP1,0.10551080458666781,0.07604171220708561,-0.014364815649669106,-0.03876201832851042,-0.004005243060127554,-0.001780023746655349,0.0662095532375772,0.14881757793507044,0.03049408200880117,0.046574889170584825,0.015108469741605183,0.01953003953032986,0.020684417813728675
WNT7B,-0.052714094428611497,0.011761431684584083,-0.02641243976952149,0.0022514283176290235,0.003286600284877097,-0.015025370385004542,0.060565189380669376,-0.012704756644453398,0.041827419220028576,0.06575784174158839,0.03901379779086986,0.024159139718782478,0.026632423373607293
PTMA,-0.13759514364803202,-0.03481736873653218,-0.014932076079657504,0.020175758855000312,0.04418288881617418,-0.030102041114294566,-0.038894359702797685,-0.15772654578661713,-0.0829802336993033,-0.04099329643816977,-0.011715115703789343,-0.00911268946242831,-0.1308795342475239
FASLG,,,,,,,,,,,,-0.030898390747482313,
CEACAM1,,0.012703851986684533,0.019664449121008128,,-0.022369360947681525,,,0.039943672357109154,-0.018950381948149252,0.0004515628403693502,0.016958503742966306,-0.0029731526903508257,
PDAP1,0.10464262785303448,0.03848632249764946,0.0405563923501979,0.051127218874091385,-0.014695300649849911,-0.0005477429512487264,0.11776899462917577,-0.09565392346095132,0.028297494879122625,-0.04969086127143662,0.07816032832993602,-0.060130019268977306,-0.014881542833098864
QDPR,0.08400576803891477,0.01539934427326298,-0.010069895130813585,-0.02509526229023479,0.021644684023526203,0.10597275066165292,0.03265294790620778,0.06874765936425667,0.027057015005544447,0.03490067278827079,-0.03100116228012515,0.028488404105290396,0.11855997588406676
POMC,0.1692717758166849,-0.03354951304815965,0.06982865602798091,-0.0611772767353017,0.05041066825476298,0.011288939834699146,0.15683342658796054,0.06311360614722406,0.003329388452136947,0.01782563845653413,0.021299538643611105,0.044865182317466494,0.10291554209000056
CCL18,-0.03603814390387542,0.014371826601317977,,,,,,-0.1407715527203946,0.00415852424450838,-0.07374415884242934,-0.09421373711504123,,
CCL17,,,-0.017677479153820123,,-0.017738826621008574,0.013273756844152714,,,-0.03667192495499991,0.07689681963337097,,0.018182000740075,
VEGFD,-0.011337629252586218,0.016404849926858027,0.00938225688837463,,-0.018899219394086435,-0.013641268540402788,,0.056725130775528085,,0.00391371408381712,,,
TNFSF13,,0.019275768949661976,-0.01219352948663922,-0.024968729315562172,,,,,-0.051193859642713876,0.08721735865711149,-0.008527692210284314,0.021490445247654776,0.10463699103250167
WNT5A,0.039473517278406,0.004699459434842159,-0.028994145978707548,-0.005629452195952767,-0.006268594295915135,-0.003421386870838625,-0.018725011057500743,0.1223119830116756,0.10318403661372486,0.07706408609853796,-0.003032743294890681,0.051229536362994314,-0.07822969248110484
CXCL8,-0.10734332981016924,-0.009579537402120662,-0.05714782440178886,0.005728622522268906,-0.07525163338739117,-0.012703342406898386,,0.01528197174276046,-0.08371903046446216,-0.1195980627292279,-0.0310482880215913,-0.0340290956014123,-0.15169667386853694
GRN,0.051911565049740434,-0.007800150900861975,-0.05177151203275624,-0.032128031963301044,-0.0136313321047646,0.024449456392947225,0.16052214344648683,0.21835489569314834,0.05267401523366104,-0.03659991216302474,-0.09810559175565525,0.11509801511466607,0.03677581112928484
MIA,-0.01488456935364719,0.030058518680626988,-0.0291135740354719,0.030006808205004776,-0.001430626539617136,0.0029562536682516097,0.13632833232073183,0.03260174980072026,0.07136622037252617,0.11266754809948876,-0.0694273690151996,0.01326471662957627,0.026794725115066555
COL4A4,0.07610829380727856,0.005382420761421006,-0.04260511206412342,0.04055268503942094,0.010575784183664512,-0.02606240404263964,,,0.041810756645235876,0.05380341868281134,-0.02744147384712822,0.10155692250294039,-0.04343437634187698
TAC1,-0.03914861862178058,0.05559663613664217,0.139780544906388,0.02702097056825394,0.13242758212009673,0.0718089943533882,,,,,-0.03155799552236553,0.07116514691752741,0.12013025987873424
RARRES2,-0.052100092165283884,0.011837287925342305,0.0064001036552029005,-0.05920830544037355,0.07170447476081293,-0.03490466210250312,0.04437858851838089,0.043501034435807696,0.007841998764779123,-0.02893521608619983,-0.004596324900789347,0.050156661461214336,-0.09607180886288791
FGF7,0.052881235649121984,,-0.021490786370906297,-0.004796547808456306,0.05002921798219213,-0.03118569704670053,-0.019362595293709355,-0.08399787144554323,-0.029858066483719532,0.012258581254622869,0.04572977569678831,-0.016773041575353653,0.0821025860428676
EFNA2,,,,,,,,,,-0.019222801321313307,,,
HBEGF,0.1391523788101446,0.003554992301411247,-0.04536015801248901,0.0284767225698564,-0.08165330206830901,-0.035032085572148416,0.20926362981637114,-0.00040908067901178406,0.027945907145299858,0.05825666864941059,0.0009332347771581795,0.03880139837659757,-0.021311817951404907
