,UKF251,UKF260,UKF334
BMP1,0.04928121882158526,-0.047136699305256144,-0.033959453439146525
NDP,0.01921140367199877,-0.03218331072352057,0.018011227750725105
TNFSF18,-0.015676513767540375,,
IL36G,,,-0.01912875185104753
RTN4,0.046579351516045926,-0.04523501182519061,-0.06866769246008214
HEBP1,0.05221567112039001,-0.0004292874651687901,-0.032171369175184636
WNT7B,-0.017227633760846336,0.021243222404072656,-0.02102470270843496
PTMA,0.03584644647936512,0.031016439399675154,0.08535048763362788
CEACAM1,-0.013221172739051304,-0.0208749279115768,
PDAP1,0.020098945913155877,0.06984860528949327,0.002955533099963314
QDPR,-0.03465346998493126,-0.0716427489320355,-0.05803220311394523
POMC,0.003954634783047304,-0.04200529129685739,-0.02455741505082041
CCL17,,,-0.017474657881012844
VEGFD,-0.018936677393185046,0.01776438172580892,0.01784830175405392
WNT5A,0.01949619265583589,-0.08695662964534417,-0.023770106569481912
CXCL8,0.00021529739315439314,0.11546635221469637,0.052578084799697535
GRN,-0.04187629245676056,-0.04425126701967841,-0.09005444664302344
MIA,0.0609731749004505,0.02632652242798207,0.05640630796306985
COL4A4,0.02814589861351037,-0.035908006481197616,0.04275799201922695
TAC1,0.02532206982386001,-0.03955956863578854,-0.04409348082786259
RARRES2,0.03438200225674009,0.06912996347694703,0.08617334407486851
FGF7,-0.021373541980067565,0.030614127301964764,0.08170537431624281
HBEGF,0.02274209314541692,0.10011671054700422,0.05051532485574576
CSF3,,0.11513682923072834,
PI3,,0.09024858429571025,
PCSK1N,-0.02222988531463096,-0.08316743660176742,-0.05069182681158945
NTS,,-0.0494396095809594,
SFRP1,-0.026478362596140614,-0.022784535273762018,0.007094347150911113
CXCL13,0.008347644624283146,-0.02257976542810539,
MICA,-0.0319359654736815,0.06137459793541084,0.05268409438898898
TG,-0.017978131066306656,-0.03254865373441753,-0.0007154310959870765
ADA,0.02774946630762936,0.006484504754122309,-0.02818225858026554
LAMC3,-0.03196993009019774,-0.07580038836148179,-0.039250349803554394
CCL7,,0.09212617576021788,
NGF,,0.025934182372700783,
TNFSF15,,-0.022164957141977047,
HMGB1,0.028484552185284596,-0.013194151355544905,-0.040778953483402096
ITGB3BP,0.026915369161195638,0.020788447365458037,0.07932034933071336
AANAT,,-0.01997195197692696,-0.023440582078298463
RELN,-0.007937209121116647,-0.03422756598616216,0.025463039945151884
IL15,0.005884863396064649,0.008010755313954902,-0.021740056471542056
BSG,-0.02279266907790255,-0.005380175305269493,0.04563075598280921
ADAMTS3,0.0007984345032797457,-0.06749804453135494,0.0019587131914551785
CD34,-0.028908275252380006,0.008775230080314863,-0.042819245671831326
PLAT,0.02403891201218356,0.007219350818312672,-0.05791325070832826
LTA,-0.013221174095780443,,0.04021298211953553
CKLF,-0.02624333870001342,-0.026814949485693438,0.01969688279933153
CD24,0.04828418544188665,-0.10216108254446572,0.07220329126255871
HSP90AA1,0.013793028371505452,-0.027903142051001948,-0.0751402151919757
BMP4,-0.014015219566828035,0.07415371094566313,-0.018524775809702874
SCGB3A1,,0.06795846118710865,-0.015169925778201731
IGFBP4,-0.03973536836531927,0.050135817885669016,-0.013758951566332773
RSPO4,-0.02137353792230198,0.027977489435348248,-0.030156884625461417
LEFTY2,0.03573870673360222,-0.042607809541080004,-0.026837860241995116
PF4,-0.01202645478561564,,
ANGPTL2,0.0648491012340303,0.020375548132159624,0.021441285486352008
LRIG2,-0.06821777061160811,0.02350981187242661,0.06672961117698084
ICOSLG,-0.011708029228280178,0.015587499507752135,-0.024584829934786643
WIF1,,0.0034295295385818173,-0.03872139044062431
NPPC,,0.05995938461030722,0.1222712514473366
LYZ,-0.009271278344738437,0.04503286155816142,0.018882573007878035
EREG,,0.06764702912596397,
SPTAN1,-0.012153961855041546,-0.03574710182110087,-0.03576313718567052
LIPC,0.056046316334737556,-0.02657684550623205,-0.03415159991917643
COL8A1,-0.024781385637021647,-0.05921961441629212,-0.00515624937646489
GSTM2,0.08456216587501032,0.020148801427930258,0.06741686107909196
SPX,-0.014742208728669099,0.013609230099526965,-0.02642522054852302
MFGE8,-0.035768033042329304,0.11164648328148864,0.029545688448017735
TGFA,0.040369414069398146,-0.07296688721186312,0.04797307427683494
SLIT2,-0.03135860627624001,-0.03323354550644218,-0.035069297434549014
PLTP,0.057353661449124745,0.02320997565662989,-0.012979502750342868
APOD,0.01813857202163007,-0.14913893200685874,-0.04069970064649878
B2M,-0.054982033552964084,0.10564437145252158,-0.015334184637349972
OMG,-0.037096964734402965,-0.1395128656609964,-0.07354292066432808
CXCL3,-0.010854283647069222,0.034656289960642246,0.071494069958967
CXCL10,0.017499059778789513,0.023798750913839116,-0.024880517247596868
RSPO3,,-0.012715510364662714,-0.01636103273957765
CORT,0.03899937038836477,0.013843069607993662,-0.012486731838318383
NCAN,0.007491363652912138,-0.05585184953790708,-0.03150477590713938
PRG4,,0.02067151801256729,0.0883138872392103
ZG16B,-0.014471883691274194,,
TGM2,0.0036750932705237214,0.09276968308757795,-0.05490750202326015
