,UKF259,UKF296,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,0.009988419273083311
BMP1,0.04971729844331342,0.005705320142515753,0.03471819452983107,0.061246225561976265,0.005689945099342148
NDP,0.0064633846678332834,0.0395514813743708,-0.08634074697145439,0.007438555368704657,0.10191549971721357
TNFSF18,,,0.06008038022321731,,-0.02691206785961866
RTN4,0.0014756626907358075,-0.0076300398275834245,-0.05984105242599568,0.017438216613590303,-0.03214565981425563
HEBP1,-0.013636149881680262,-0.003964527836344871,-0.0074373078731576866,-0.004565747802765815,0.020968028839350266
WNT7B,0.03294382101450577,-0.012332312690747553,,-0.03046732685717634,-0.021902841457601956
PTMA,-0.08254124053311819,0.004482181960189225,0.06458840638180391,-0.048726127095952934,-0.04026832276335935
FASLG,,,,,-0.013837167222898046
CEACAM1,0.04474386035667702,,0.06986124696155398,0.20401098981879218,0.0022996996284835435
PDAP1,0.009160802315730576,0.0644031883732004,-0.039810337538572306,0.0022652072208087562,0.03095120271073261
QDPR,0.047697272550776104,0.04619741941178934,-0.04242198548199375,-0.09219463058950558,0.059056977378109575
POMC,0.013158014338255364,-0.013827567934633155,0.08295584896401088,-0.0406013138961028,0.09919491829994108
CCL18,,,,-0.019372872235351474,
CCL17,-0.01500767928888163,-0.015263946019111355,,,-0.01254183790220764
VEGFD,-0.016720212021642932,-0.011196288998412855,0.05907426938459069,,
TNFSF13,-0.010351961291690005,,,,-0.02043587803697227
WNT5A,-0.039579761127790325,0.025357554289722296,0.0636011271253798,0.0497410380235793,0.008627157746204338
CXCL8,-0.016568676595369546,-0.010426471146152526,0.08992018628167124,-0.03410899169797784,-0.038213452542975535
GRN,0.03239690425828042,-0.028316604316675983,0.03785103734114414,-0.0194076887618608,-0.06333151406954206
MIA,-0.01229817624178167,-0.012733420819186759,0.04809863306363364,-0.049147838647302315,0.12819403333100798
COL4A4,-0.01860043216527449,-0.021391134320868723,0.1193991219557267,-0.024493363622792183,-0.03683143522579398
TAC1,0.017979119394863897,0.02824612774876269,,,-0.01648752123020765
RARRES2,-0.009097015661471529,0.0014993507098653536,0.030955431559264997,0.06127273692203793,0.044288377916335504
FGF7,0.018460060615039225,0.013026098021098281,-0.03076139262405718,0.04240362774240783,0.06366547741471376
HBEGF,-0.0011195267464016551,0.01199231595722126,0.041944973245399746,-0.05756936781337019,-0.0890831922054881
CSF3,-0.01788784514720608,,,,-0.013204620504165314
PI3,0.00042998425335651704,,,,-0.028689253550445475
PCSK1N,0.037247921655728274,-0.0366915350334352,-0.051809729301577706,0.009273573226926705,0.07700376651547299
NTS,,0.07111948142806018,,,0.022577096010943237
SFRP1,-0.013094780280238643,-0.01526394617283183,-0.0919005256905687,-0.0009890190605985852,-0.01909985131543207
MICA,0.011766000108701687,0.010634823186138582,0.09033962925058901,-0.003952167920915814,0.043674901157810406
TG,0.0683018464923401,-0.0110464514484964,0.1747518228564796,0.012260192934692367,0.08957208629356277
ADA,0.004296734045465434,0.046487292112803155,0.08009553591612406,0.022077912526193788,-0.027283527090857913
LAMC3,0.08788442205588812,-0.022366178730330297,-0.02411726839327349,0.02446504430257296,-0.013114819715821086
CCL7,-0.010216938110161486,,,,-0.013837162302566543
NGF,-0.023409614738894444,,0.07197169778792957,-0.028789311251101915,-0.021162672990669682
TNFSF15,0.06605554588018836,,-0.0581612419175993,0.06582956751622869,-0.024360547887037638
HMGB1,0.02379835260151476,-0.001647094980483974,0.09325591383676002,-0.0756819780035066,0.05850517435554656
ITGB3BP,-0.014959005846567076,0.038084380511341935,-0.03568848234468247,-0.019669100469053222,0.010739417529330766
AANAT,-0.010351962396535129,-0.012733421527452136,,-0.020177658507895546,-0.014640294755923473
RELN,0.04723335615597051,0.036030739877210755,0.0076721331594478805,,
IL15,0.061455693338730175,-0.027368295854234243,0.009342395561198822,-0.013545959474310981,0.10441038683774506
BSG,-0.019185741142336694,-0.009232104855135911,0.0240580295920922,0.08176765303517464,0.036995549436760485
ADAMTS3,0.02941106655400591,-0.0001846266461968516,,-0.024160691892419595,0.09785650958898673
CD34,-0.03303550976921153,-0.011610981322619555,0.015779815818940432,0.054193387257837386,-0.03439170932695132
PLAT,0.008071980543754298,-0.019501433519894303,0.005592915878643178,0.029223451327655633,0.040995471529512724
NTF3,,-0.02055477996060242,,,
LTA,-0.013094779667644241,,,,-0.019703630396100808
CKLF,0.030047901402410777,-0.024262145247384227,0.11033399705684482,-0.0027151899805836557,0.09158521690784004
CD24,-0.03199564985980238,-0.008032402668632975,-0.07647010783623315,0.08975027632012449,-0.031628226110605694
HSP90AA1,-0.022455393779185054,0.03312848176887317,-0.03091224711311651,-0.014716756568062308,-0.003397004853502554
BMP4,0.03462054027043831,0.005426317344755077,-0.010048906981764269,0.09794122021233662,0.06322533793612671
SCGB3A1,,-0.010740765600047678,0.0025239686972877077,,0.029742709197281912
IGFBP4,0.008468794789855705,-0.047302121436010584,0.0014969417041678168,-0.04331208655206317,-0.02425168075377355
RSPO4,0.03774721005635484,-0.010740764028967736,0.09881905316419175,,-0.02598702597672529
LEFTY2,0.0163230011812535,0.0356553304620873,,0.0017412519986124608,0.05726758196390196
PF4,-0.00891407721543292,,,,-0.019703625836534587
ANGPTL2,0.03466929642179464,0.017593471375715687,0.030910355387997076,0.0211849416042435,-0.03895680862769421
LRIG2,0.0029578734112680038,-0.07036410538749369,-0.012179371835219813,-0.016538747931791244,0.031631942097558784
ICOSLG,0.06676008345885948,0.0083457416925212,0.01899786189028641,0.013574813594339883,-0.03727607571484751
WIF1,,-0.020211894078207754,,,
NPPC,0.07128845429204142,-0.014927033507189871,-0.08526590318091128,0.06522697282326399,
LYZ,0.02560877588257269,0.033167847505927155,0.026285518435875958,0.021889021842472704,-0.04735479915593518
EREG,,,,,-0.029757039090791255
SPTAN1,0.019720702448056154,-0.014604970423595652,-0.05788554464360693,0.10557803124298688,0.11845623703267379
LIPC,0.05694281986280293,,-0.00434614473366114,0.07906646622224037,-0.024912840834896234
COL8A1,-0.009201098861157187,-0.00816703950077735,-0.009340518344199012,-0.01329180332856701,-0.08005770442697134
GSTM2,0.0091575073300624,0.00438235156451233,-0.1116769933857258,0.00730998677972475,0.0707197525303927
SPX,-0.02624935949998137,0.040095951446408255,,0.013899075328350854,0.2130167639680127
MFGE8,0.020496445464254245,-0.016596845605384575,0.0597394300131166,-0.04030005308904896,-0.0002331875648482557
TGFA,-0.025198097010450962,-0.035842131954114405,0.09225989854023456,0.04097118666070509,0.07233800398761915
SLIT2,-0.03033889771083364,-0.04455470100271252,-0.045130130759938554,0.1256363445092349,-0.001619130004980027
PLTP,0.07283590947218299,0.013621434975175518,-0.0804427758561348,0.04078490677931767,0.025495357003109436
APOD,0.04883007171909408,-0.041862734914345036,-0.05930296617300639,-0.05836325003227445,0.012596985024174164
B2M,0.05723139592407437,0.020487599721207773,0.017163448047941628,-0.06705631604040177,-0.10516591383705759
OMG,0.045903759901496,-0.0346976377938813,-0.06073281111221341,-0.017180299102113068,0.15603139743927055
CXCL3,0.023026641499225873,-0.011490347163869747,,,0.01796767209258486
CXCL10,-0.003063848973632297,-0.01745467833996914,-0.02980997856461012,-0.009524725988809107,0.0023414123262563077
RSPO3,-0.010351961631642313,-0.007149824684313381,,,-0.014042014012041897
CORT,-0.023215068835765486,0.04218260227115178,,,
NCAN,0.015020743367330943,0.03815498986610607,0.1449755725511253,0.06489215630612619,0.1371402759143741
PRG4,-0.010216939702319627,,,,-0.03180894610988561
ZG16B,-0.011858008053622086,,,-0.022430800955478836,-0.017508880273136573
TGM2,-0.0240428930102368,-0.03780730023372359,0.005137451373578642,-0.02054208065402019,0.012302013848104709
VEGFC,-0.01820932223460929,0.020208551122122116,-0.0541968857728304,-0.029074772863633042,-0.005404029602554616
WNT6,-0.014131343170726547,,,-0.021331694342119224,0.01822151036837168
NRG4,-0.012434483000550167,0.005139186990503241,0.003850082758441647,,-0.01404201558581665
PMCH,-0.01722918760842042,,,,-0.03027992002656114
COL9A1,-0.012986909954298558,0.0027933821176397977,0.049499682176647374,0.0562453555006094,0.17744454777642404
GDF11,0.038035348069258595,0.05436475059017447,0.024506448450742783,0.06033903701999662,0.06991267280470714
RAET1E,,,,,0.09141843872195109
SORBS1,0.01959968915735871,-0.040128271308624834,0.014225293632726625,0.037384359214685366,0.06884758771823661
DLL1,-0.03190743481468757,-0.014503868098407011,0.09308816869562647,-0.04674605448025872,-0.007861033784363048
TLN1,0.008206265497773303,0.028740557770877313,-0.05784003125576351,-0.0027049752819982287,0.002431156752372987
COL2A1,,,,,-0.020435876457208336
SHH,-0.010617077829845807,-0.012332314442941254,,,0.07718106392834283
PON2,0.053005201379163,0.027080922065383185,0.04094049997582278,0.0578172470435694,0.1019382467033273
ICAM5,0.018791988902337457,0.010286325419139767,,,0.02662911765199264
HPX,0.03228925433165074,-0.010740764505052491,-0.023133172235586138,0.042745235876163586,0.10320614886335125
SFRP2,-0.012091701076953048,0.041191844324715725,,0.0016225384037959454,-0.036627179462975605
CD70,-0.02055245140428517,,-0.01563462475406277,,0.05600215409151768
HP,-0.017983960493940042,-0.011299546705205167,0.022151921969948068,0.051273452441000913,-0.02100531948092313
CXCL2,0.027941679766465964,-0.014927032338954139,0.012356953623245723,,0.0062741008739608806
NPPB,-0.03782050826565218,,,,-0.014244060949440172
CCK,0.009197165045856385,-0.04258231953520473,,-0.027917904255590837,-0.01847839231269737
SEMA6A,-0.03324576247391442,0.007388831263201032,-0.015795927674941323,0.07954628973351793,0.05722084416187633
IRAK4,-0.007588593730501667,0.0491550260390991,0.06959239285075282,0.050765413907220516,0.06370039376465882
GSTP1,-0.03108917375225748,0.03665675797965236,0.0039587185011994526,-0.0748947116018997,0.08472585483301445
VCAM1,0.00583173400407691,-0.034510513213928534,0.08422191991399137,0.06846321218249729,0.11258312212863517
NXPH3,0.05296099828155154,0.007619705239716243,-0.05314419053246544,0.03191665333228732,0.14181604508764556
