,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0250885424190799,,,,,,,,-0.027761422256992335,,0.07242289598078884,
BMP1,0.05831001184302658,0.034709890978322853,0.006992080531209204,0.10859836758173008,-0.0023986861176458164,0.07168680414919697,0.14214346500197764,0.1593445741646619,-0.031050409507188053,0.010725946198503911,-0.060737948962349145,-0.05942057365771313,0.040134660973573356,0.010750396496013668,0.04512115367510122,0.026898670358422826,0.005688120564182448,0.023513910301942182,0.01829641002731326
NDP,0.015457845517265662,-0.026874693851945658,0.02519927320284473,0.05852520609911505,0.03767958000927354,-0.0673823521695583,-0.008359626601428709,0.018013512100704208,0.03524861087567821,0.06503744690893493,0.03196303137351619,-0.031580046401411765,0.10717770051640661,0.007437344830508275,0.07289287887337181,0.006949140191393709,-0.008556281939847732,0.12430286076397211,0.026104723038194833
TNFSF18,-0.02233793064688006,0.007261785346000963,-0.004392025503473751,,,,0.059379237921433174,-0.03760274396522564,-0.01882360084592701,,,,,,,-0.028629864755757035,,-0.005903687200445008,0.10793754191806118
IL36G,,,,,,,,,,,,-0.014899816581675336,,,,,,,
RTN4,0.03934060374234209,0.028207820065439766,-0.040341332405372486,0.003722143777894831,-0.010844530806319103,0.01901074902945197,-0.07213021183753604,-0.1914664128686484,0.05564584695887958,0.005513334920476609,0.07616246321563457,0.08118813428317719,-0.13082660353408873,0.05265988988834496,-0.0510943119165776,0.013090336744269558,-0.016569607371594068,0.03340982971001313,0.054859750049390955
HEBP1,0.0731779605050063,0.03488038512538389,-0.005490977845093607,0.029217327296532574,-0.026343582103085,-0.03797842834285623,0.031422084880601164,0.0772539306263324,-0.0010153068572684631,-0.0036587189146602256,0.04360047524056018,0.048667490715287406,0.1504946111997835,0.016621604451820468,0.06291918806565756,0.06923753181428058,0.04608947189133739,0.07528386114315083,0.006734222796937194
WNT7B,0.08094567758919069,-0.01449167484512062,0.057700167342177915,0.06491529246456244,-0.0635840481380746,-0.0649510594011296,0.014373817116203055,-0.051399493045244354,-0.014099064346446933,-0.031310141651455334,,-0.016376615498976135,-0.06415451920439998,0.05149784637199459,0.07360256538999745,0.014513193709297375,0.028866822105165436,0.02337478446579085,0.11109232829388797
PTMA,-0.06485435008817914,0.03422325940583725,0.01978922985014491,0.057628227655216475,-0.010660322189303045,-0.01332395840631261,0.10467979759793501,-0.0735566091691601,-0.003380822961508067,0.03482495660726479,-0.0779042312287752,-0.03370199235413468,-0.09665915521024676,-0.04331915352679703,-0.10422628586642017,0.016516817941987675,-0.02334004325680392,-0.05875585111182176,-0.024373699411066777
FASLG,,,,,,,,,,,,,,,,,,-0.010039283770216888,
CEACAM1,,-0.027004719009801247,-0.013221175199477332,,0.007574580499705794,0.022751835279709837,,0.0462613315925519,0.014965315412223965,,,,-0.04830996175371737,0.0008951062439714854,0.06669619578864058,0.006581578962884445,-0.019318054386725476,-0.0385058019624969,
