,UKF248,UKF275,UKF296,ZH8811Abulk,ZH8812bulk
IGFL3,,,,,-0.016113804929150027
BMP1,-0.08577866530386345,0.013967205143432486,-0.02051239784071153,-0.03482646995554415,-0.05931392000388924
NDP,-0.029801675980254162,0.023204937547427803,-0.01499884032820908,0.003107160256682848,-0.039410371008255216
TNFSF18,-0.02410260404661734,-0.013506324955319626,,,-0.016617882598072533
RTN4,0.021812550927237287,0.006752144671268566,-0.027579242545595236,0.02672787723560391,0.05985041679347859
HEBP1,-0.056816727780492585,0.06531212695376246,-0.036237980727771374,0.015198627276770923,-0.016176436335438218
WNT7B,-0.03566921018727402,0.08768887940488752,-0.013333402474102975,0.006931026043483653,-0.034749336864291366
PTMA,-0.07114300500156368,0.01549200039021744,-0.029082094444959735,-0.025913138764204834,0.07872814117731275
CEACAM1,0.029997112406537515,-0.02124223148839297,,0.027448115139071708,0.08424777865792454
PDAP1,-0.09850194210262633,-0.05172595826954837,0.030409990986445177,-0.026198947042608004,-0.005243748320191067
QDPR,-0.09871872774117216,-0.01904990867041142,0.009761531196161391,-0.007703763165003145,0.06133805152700395
POMC,0.023292155433359597,0.05530194311450511,0.054289556476370196,-0.02590503321441513,0.04751939610028878
CCL18,-0.019143677918804072,,,-0.03433749633901969,
CCL17,,-0.01684501681998146,-0.01650301453745062,-0.01331199724801209,-0.02124512098483481
VEGFD,-0.019143683997818444,-0.01794694065056514,-0.012105160741197574,,0.06560027687706607
TNFSF13,-0.014446438261969815,,,0.04306267777302758,0.06346969076797715
WNT5A,0.03574136885798651,0.019378685028192087,-0.022166060616327313,0.001829870930726022,0.02015602216907765
CXCL8,0.08129883873450766,0.11672000869805806,-0.011272852032090854,-0.025857546552028456,0.0393291888836307
GRN,-0.035640840214644635,-0.042615219009209594,0.024205274196057527,-0.0296704275461978,0.005454351145930074
MIA,-0.016936063874802985,0.03475152696249977,-0.013767071019997586,0.047048024088203515,0.012547533925380992
COL4A4,-0.022991401642580116,-0.01758671872250241,0.0381221081093148,0.01428804429179945,-0.03272639152723288
TAC1,-0.002019300539669531,0.008776824460592293,0.0006074016564572986,,
RARRES2,-0.05069218358960265,0.0037182246589696774,-0.05848737723287115,-0.03193264555228245,-0.01433285391956827
FGF7,,0.05753021257701695,-0.04800811266144714,-0.0014608771058533144,-0.02295568759560554
HBEGF,0.05083749082354254,0.036596447070581885,-0.0310872134577686,0.07694400992741972,0.06980345092201752
CSF3,,,,-0.005500198015049748,
PI3,0.10091678858255632,,,-0.02670295977710739,-0.01805119527756863
PCSK1N,-0.03274680674547348,-0.05012925364692451,0.002258765788154662,0.04663370730804224,-0.018748207914812274
NTS,,-0.020090781815374586,0.02172790141290023,-0.031055503851768546,
SFRP1,-0.04410312236552537,-0.029565789138334214,-0.016503014703649534,0.06765114293306089,0.0578844216813549
CXCL13,,,,0.030572830455604414,
MICA,0.01975449570890152,-0.03156230033176866,-0.016943657207866707,0.034766051688534694,-0.016370496288884432
TG,-0.03014664846421652,-0.016970716971849497,-0.011943159954413399,0.1539210558930742,
ADA,-1.5129417197711816e-05,0.032893211012413236,-0.01939665223553017,0.018673378624552144,-0.0055770188672685525
LAMC3,-0.05037967214283358,-0.018736380790106665,-0.012029019849044061,0.03695141344822551,-0.002882732823678404
CCL7,-0.012176996371488141,,,-0.019951615451126243,
NGF,-0.020907298071332254,,,0.05552675198964451,
TNFSF15,,,,0.14258534593398842,
HMGB1,-0.10942229674838676,-0.04771786125064121,0.020282218884666893,-0.051778228206776966,0.011896323751048272
ITGB3BP,-0.012035422111769804,-0.026840487612553057,-0.013434441520577536,0.008387805616976296,-0.0007710594566316838
AANAT,-0.017666969134375918,-0.015261864949962938,-0.013767071785757227,-0.017503196396759672,-0.005691552633641279
RELN,-0.016052391067719878,0.033623847904928665,-0.013835580217923494,,0.16170673792198154
IL15,0.05686874888611668,0.0009104217851845348,0.020065511994498176,-0.03206657293429486,-0.03272638737993559
UTS2,,,,0.042696230338819384,
BSG,0.00039184470970931765,-0.01776922761258646,0.011551735819083416,-0.005518870523946522,-0.031032803399555275
ADAMTS3,-0.041235658158207164,0.013271712101203153,-0.0018372295562209561,0.12331151145438898,0.015148008793879892
CD34,-0.033940501783988816,0.04219447656313931,-0.02575781750634517,-0.024374719868203873,0.06320896362037266
PLAT,-0.06999523861036593,-0.00813391755702059,0.005168277466837937,0.0208729895715088,-0.09732192480088135
NTF3,,,-0.02222333805945083,-0.012452293241895274,
LTA,,-0.014698766481889133,,,
CKLF,-0.036785453448327614,0.017128337563769167,-0.01651382113955799,0.05044508068003864,0.049225141966137954
CD24,-0.07684947410059331,-0.04392911590243436,-0.022912353564140925,0.01100025044970393,0.052187932538991025
HSP90AA1,0.12111609954574443,-0.008353689123456527,0.02250582021817306,-0.023581227876191567,-0.08950456104618763
BMP4,-0.00419508875635834,-0.04216033075794314,0.00267596556957477,0.08644900866478168,0.014499361688461542
SCGB3A1,-0.012176995153804774,,0.037625518898268366,-0.03036720216885664,
IGFBP4,-0.06905753011180218,-0.01984533675335076,0.03283445006089102,-0.028152522288962336,-0.058983534399926305
RSPO4,,0.079401738046002,-0.011612658004126036,,
LEFTY2,-0.007740663724189136,-0.04210039297880277,-0.012733421527452137,-0.01693666217597619,-0.03129802545478624
PF4,-0.012631677778432333,,,,
ANGPTL2,-0.0651134306372699,-0.010191585571431114,0.01578748392556561,0.06968368870064053,-0.005465706840650557
LRIG2,-0.05104117931636953,0.01957809383527101,-0.023727329717726595,-0.026170928975298404,0.005507164453248554
ICOSLG,-0.0028405780237584534,0.04400879023482347,-0.008943414624316784,0.05305389799332214,0.026738573878488405
WIF1,-0.02272865387284451,-0.013192238929976584,-0.02185261801793858,,
NPPC,0.015124877233952715,-0.02573386649320542,0.055872662396824174,-0.029784163920994484,-0.024931612758250756
LYZ,0.055368172937354965,-0.02583234005007261,0.03493971277795442,0.013072158931126102,0.0653857442852527
EREG,,,,0.001999312123003985,
SPTAN1,-0.07357642725774813,-0.01623988757563591,-0.004795550068938286,0.029066941843114105,0.04100654727594469
LIPC,0.11690987474335991,-0.013871027429211025,,,-0.03060229701556389
COL8A1,0.018029241458461413,-0.013159636170573983,0.03048132707057964,0.05521323559677217,-0.05572728794389208
GSTM2,0.03178306251299464,0.020466397157487767,0.034968589175784,0.028536066404643307,-0.04405174127538503
