,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.016179706316446035,,,,,,,,,-0.017079224663477558,,-0.024380926779445332,
BMP1,-0.004450652547789959,0.042343011151131114,0.051124951578466436,-0.0004603793921935582,-0.0016718053176932727,-0.05986490542154432,-0.03440197722861634,0.021409017048350514,0.006279512064573484,0.043797021403807146,0.012610038793293754,-0.00911565497315048,0.006193409021294226,-0.025089292797157447,0.07673395190342676,0.03724673358163327
NDP,-0.03609120262131159,-0.006556818211218271,0.07306577985131912,0.05152892472795017,-0.01734180240194438,-0.012561724832480291,0.022898367164160254,-0.037424054427804256,-0.07425007225498946,0.03744858014072627,-0.05597647167413943,-0.009968706863061451,0.0051994603038483505,-0.011521691746732813,0.036590320877169555,-0.002543092079081561
TNFSF18,,,-0.011833027532950286,0.07163074955942496,-0.011533387295684816,,,,0.03704412688956023,,,,-0.01761350292942549,,0.08149009664230203,-0.03210398251139351
RTN4,0.009917296149219861,-0.006698351103543762,0.020064435028053537,0.028784289660317323,-0.018628580499937097,-0.008910283301062206,0.004157200603153056,-0.03153707524806711,-0.08309323899937653,0.021290866229430543,-0.02063989730183859,0.02822755342051634,0.03304045684019664,0.044160148748268235,0.03511446664532459,0.1014202102418082
HEBP1,-0.01819541196647516,-0.02493047901259898,-0.021977994411153296,0.013177377069973843,0.01560178265757579,0.04023416859896189,-0.015993112444988196,-0.04027650183296807,0.07607677436902859,0.07774988225176034,0.05157113967560558,0.0069923417428764826,-0.043295614063215,0.05237107360343139,0.007189429735705959,0.04592263345860909
WNT7B,0.02441679507585538,0.033170287953416706,0.022572674368876982,0.0276566252952746,-0.033059381067000494,0.07937730717970085,,0.007238788826416459,0.0031475260593479635,-0.0582044118757373,0.06380897613124709,-0.0017521690669339014,-0.036831259520739436,0.06659343010708861,0.0488060655198347,0.10087052576975286
PTMA,-0.025172916403172124,0.04586384809814773,0.017786390622313752,-0.06699856085262107,-0.0022895531972829076,-0.018753211610549568,0.014727893961719496,0.020518452503516495,-0.0898960103359186,0.04968346094268381,0.030082424352814708,0.014612544475375465,0.06846706333840791,-0.04695795572516551,0.027523837758464682,-0.03647070742563896
FASLG,,,,,,,,,,,,,,,-0.02114556947813958,
CEACAM1,0.012942477895401304,-0.01620797514531824,,0.00460273754046363,-0.018139270570691642,,,,,0.006060703543075596,-0.027700655758180245,-0.008345882618128353,-0.025308764834989523,-0.025859601010456965,0.08439819607255442,
PDAP1,0.001698805718437129,-0.03219080366114953,-0.03565579259277492,-0.06258503640297462,0.04246215997662406,0.002759053547515235,0.023612835924175114,0.0532707430488756,0.0381390235004995,0.01855477004751063,-0.02071874989012928,-0.04146048223015239,-0.011213956271775606,-0.008203041035222128,-0.014794593519182782,-0.053654326327972006
QDPR,0.03003584345337455,0.008320473200310576,-0.015279447341743297,-0.012392995424630784,0.03089891401971734,-0.014142219232517985,-0.06095125711102986,0.048841047488269736,0.03105670201448711,0.10592116798040649,-0.014096848679867085,0.002930980218901227,-0.04677184260409836,0.0062630499905683,-0.01420237951112095,0.06502300278836821
POMC,0.020123601688608418,-0.008725582339371934,-0.03121791324012255,-0.0407565108301703,-0.013382430579129018,-0.014952433237209952,-0.021768846878773323,-0.012870625778482879,0.000626723566557243,0.06953221826688216,0.008562959045563005,-0.0015083944381944062,0.02889551615644445,-0.024570623259548365,0.07602143288470427,-0.020644681229303935
CCL18,,,,,,,0.09503695782488056,0.1068261514112132,,-0.006468733234786095,0.021953395786160897,-0.06061565498338334,,-0.0029306406715198198,,
CCL17,-0.01649662951836803,,,,-0.014384379439253138,0.022781855372352895,,,,,-0.01965227451100267,-0.024694543106711,0.04477257741190686,,0.002361577232450436,
VEGFD,0.04720014427480671,-0.015506872953334102,,0.031792825201699536,-0.01532533964497221,-0.011196288045363432,-0.031245545935050235,0.044194879232245125,,0.0641248658945932,,0.06155339228956928,-0.02374950939314208,,,
TNFSF13,-0.011379005836299591,,-0.011475568198169793,,,,,,,,0.0070321929781340066,0.03248183601111297,-0.024147611950426584,-0.003970369968057016,-0.004234577144993861,-0.0007993535564272216
