,UKF251,UKF259,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.018219039533483333,0.03836710252511271
BMP1,-0.03685647199127923,0.013616299815512118,0.05441983547149248,-0.004734605316033424,0.00610833764963621,0.026387228825069386
NDP,-0.008603163511755668,0.0025269914967074258,0.05690524786387584,0.024972018574499658,-0.03022117218843705,-0.01426334631092866
TNFSF18,-0.02492196259975969,,,,-0.018788973885948506,-0.016127061199004776
RTN4,0.047393077286725434,0.05835236331223215,-0.054497630061193174,-0.05777960691138963,-0.021386386118308908,0.0020309149498213747
HEBP1,0.004434532610221484,0.0007530832003606106,0.061367827474120736,0.049491157379451145,-0.03489025627145024,0.01384581857342987
WNT7B,-0.015480750617120726,0.0162821958851192,-0.010057810366406812,0.030496585646827706,0.01735988197985299,0.103522920611191
PTMA,0.005417413351706269,-0.00745476965449331,-0.12266628627932274,0.03303445718165684,0.004083851830100816,-0.03934988148122096
FASLG,,,,,,0.01601580672657482
CEACAM1,-0.011880544994188062,0.039703129736631905,-0.009160767013223863,-0.01956087671045425,-0.00788807254108724,-0.031497351069464566
PDAP1,0.06063785128394033,-0.0011384931757058973,0.07398874043985904,-0.07355052241442771,0.048907005275087706,0.007951142011460112
QDPR,0.01828330871302487,0.04804025645679204,0.052123222443556536,0.03914720467283634,0.015477811057991061,0.011610075329014579
POMC,0.008800793620350132,0.002787853012911626,-0.07655120017752304,-0.016907608496750614,0.05974440359213249,0.008925279131001412
CCL18,,,-0.05497260266472727,-0.039194485663195236,,
CCL17,,-0.021165928932630702,,-0.02823735355230704,-0.024020751201731146,-0.02051873850386996
VEGFD,-0.017016497117963103,-0.023581182178566158,-0.023348989935389298,-0.01956087671045425,0.1359652698144588,
TNFSF13,,-0.014599784070251313,,0.049543178499094336,0.03217998177652365,0.030794267952928812
WNT5A,-0.013610855771083931,0.027082300350987836,-0.003729919314341651,-0.03399562642629115,-0.04654136820003627,0.03617439327351756
CXCL8,-0.015933239301310385,-0.011645648065238361,0.040848701567526804,-0.1172320651498688,0.029105735940262976,0.004057473885924282
GRN,0.00653232928170981,-0.031825507051511534,-0.008981791694541002,-0.06585938133160603,0.02650132440874878,0.01720994498811885
MIA,0.02713414827874514,0.03781911867253544,0.0024891187580598395,0.1147932072040667,0.043009730371998435,-0.00918084162481294
