,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.038217172413919365,,,,,,,,,,0.03152819984026108,,,0.03404465669904783,,
BMP1,-0.014527137745851411,-0.035031469344898925,0.06909745291791856,-0.04070331968628398,0.0695935314260081,-0.009032198936514739,-0.03717709567932923,-0.15540079246734273,-0.2949418352104309,-0.02358393429766598,-0.01035932874622491,0.008212311575755018,-0.05891916969217887,-0.16886572975854103,0.08228479458056198,-0.09177834334881456,0.12176017920478643,0.13042076827578683,-0.06819482977989946,-0.0003546188726515359,-0.09295406407365668,0.1192819046516945,-0.058874136670672844,-0.0356334364837602
NDP,-0.05326413590424549,0.002351909390126159,0.08093817978943345,-0.011287494694099258,0.0930614862620436,-0.02954031985886857,0.03745098349559227,0.0379151633548624,-0.09276514455848443,0.00023559869005617057,0.009281952754868273,0.042724171881155286,0.09154386429323617,0.02930952284648796,-0.0416283749049576,-0.04736068604769827,0.10728473066921178,0.05692177293543895,-0.05713954774268639,0.07854296043060269,-0.01601335200270521,-0.07468260830505268,0.09102799240675241,0.08903948023860406
TNFSF18,-0.028284490189122914,-0.03354102131034886,0.05455638738983321,-0.02024176418592377,,,,-0.017811902611492424,-0.09189543461183368,-0.034745617907003604,,,,-0.031588899388436335,,,,,-0.046968853629327637,,-0.05044832163147285,0.01679591538957425,-0.07807245765010278,
IL36G,,,,,,,,,,,,,-0.013499172936280236,,,,,,,,,,,
RTN4,-0.019600699029357013,0.1400115719223413,0.09256350538344477,0.018229421198731416,-0.002785768163867418,0.042915398649034514,0.060831101105527745,0.33321269015574295,0.42587383713415483,0.04486565669484064,0.011944333833352859,0.14487706426867974,0.10741790823569757,0.03299290563539442,0.08395153490143048,0.11772412938041088,0.05882593023955273,-0.019037214004943,0.10996133017942408,-0.02301863294962052,0.09016389945138908,-0.028876293249330998,0.22820328295276285,0.036979521160267106
HEBP1,-0.024935944403872458,-0.08448211498764392,0.0883290217075074,-0.004305682353373285,-0.0006816133994003933,0.009116013633321941,-0.012279692734607347,-0.10545376598018465,-0.11042615838439701,0.003288453525233445,0.028812764338252212,0.09840120354512708,-0.006203703618660658,-0.035884292258609354,0.011923323269176068,-0.004964422249417237,0.014990194536851683,0.15357013288388818,0.05385901574693627,-0.012423610010423332,-0.11706790840999112,0.00898378219851124,-0.07148728369465901,0.061924051257588146
WNT7B,-0.02491774996174966,0.1547052425365006,0.05536812190742988,0.04165539800954652,-0.030100984679766348,0.001324598751198723,0.15501830335470615,0.0561099074303893,0.35253916621750686,-0.043541097328734645,0.01215682204926783,,0.01567653467114077,-0.012203544488412061,-0.005186373281797262,-0.021776233900393103,0.07682243565247499,-0.012234523060349509,-0.04271387498792931,-0.06836540643910624,0.021328304875895914,0.10305710921450116,0.01379768724421533,0.037283201915961836
PTMA,-0.02606916119820429,0.006374398191313159,0.03817445259236796,-0.012188803478611883,0.09790249621056722,-0.08174029352246208,-0.10244700489843522,-0.3833114332876213,0.18882694528129726,0.06771419182073712,0.11904413346746445,-0.050167310978976254,-0.20322645936628342,-0.1437471693075309,-0.04696870593245196,0.10404623468373035,-0.14376125488804903,-0.025647413903746266,0.12177297408537309,-0.01265198915020681,-0.18111293802181347,0.03930725424182987,-0.13415723557565823,-0.01458322078321503
FASLG,-0.024917757005933742,,,,,,,,,,,,,,,,,,,,,-0.02392444607724692,,
CEACAM1,-0.03459852367515424,,-0.017373173815568934,-0.03166664076344031,,0.07368188348241703,-0.02237314892388596,,-0.11300268315832224,-0.03534278005990408,,,,,0.2002101018769749,-0.0358740231256698,0.003906746791851437,0.014539633734482754,0.020672562051196604,-0.024926095098409578,,-0.008006795788367889,,
PDAP1,0.06639403971905908,-0.08020125398449808,0.03579502831120852,0.03361162259715224,0.027126396559236224,0.0330067055511712,-0.04406276268531386,-0.11453792303461198,-0.2834477205181044,-0.028211847338971804,-0.00042294789854985455,-0.04363012261977105,-0.053959179672657676,-0.07973083248117611,0.04981529367807792,0.05507369871857337,0.1188771075460232,0.01947176249888064,0.0067122918663337005,0.0024119797784898666,0.023179784902183052,-0.058059376054503016,-0.051389293992219004,-0.08813743764664947
QDPR,0.010169850512461215,0.13371966091948062,-0.0039345629120144665,0.027607412194191383,0.04617743417532078,0.06502931082071496,0.13450295211517008,0.12754988852858196,0.12256655254623819,0.14264678017263865,0.18577015667625382,0.16219366311329383,-0.02180317049511796,-0.019450048503276415,0.019396323035668028,0.12536243293568494,-0.10123889679700208,-0.06841355636333109,0.05921140620410122,0.06968467832262526,-0.11099624699106345,-0.03422742894524752,0.2362534969300975,-0.08910553712476585
POMC,-0.08078155781809891,0.10334738010313865,0.016407850423688898,-0.002736067727581187,,0.02689034043861116,0.07514941528125181,0.01756680012902834,0.027999076341660444,-0.00045051090544610627,0.011847039640120736,-0.009628356674528904,0.03829189893912925,-0.04097707785067189,-0.08456116227553194,0.04169118872099619,0.0012244842234170588,0.07023792996493194,0.05918268734101973,-0.05898936787230136,,0.0316600810500346,0.020657001514089692,-0.045171915647447144
CCL18,,-0.0739941029190684,-0.04543524711951174,,,,,,,,,-0.10084281674333391,,,-0.05151394063744641,-0.02543527222161978,-0.0017834965149857124,0.14323753542287418,,-0.08466846807241378,,,,
