,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016121213401837923,,,,,,,,0.04405714586883755,,-0.018763432361825448,
BMP1,-0.00037858914149852696,0.004662197752516458,0.020932366864137714,0.057596677428518615,0.019085763548764036,0.02198621475042477,0.13105003124757808,-0.018332216157862746,0.10349510677656025,0.12942933163387266,0.03458288643019154,0.02618791657132138,0.0020394841436325206,-0.04878164774754732,-0.049546066572176646,-0.055725719998274185,0.02653287844552064,0.04400282537042811
NDP,0.1419142808089323,0.041976324367709636,0.0683976068993258,0.010548268178604754,-0.0026292258092004495,0.03786464702232269,-0.022648586245201472,0.014548164998315117,0.055925388823107165,-0.018350472976787654,0.14475961258446596,-0.05088756017048065,0.022079203954250275,0.0178663283443659,-0.040302751141235806,0.034106621681437826,0.11414094591316742,0.027358695125299582
TNFSF18,-0.05634735148232456,-0.034680684776074416,,,,0.06484868274153746,0.03084928373339648,-0.010861286931826412,,,-0.013351717696317583,,,,-0.017122442980962386,,-0.04443738654503387,0.017146875867598627
IL36G,,,,,,,,,-0.015082912803739348,,,,,,,,,
RTN4,-0.06996716865001064,-0.09557330081902064,0.01136209984111567,0.0647964021991325,0.012419096789370749,0.02417477566363158,-0.15209765153992136,0.029264146432571296,-0.028883303532843844,0.010035944958766587,0.005100571411856104,-0.07559267286042828,-0.08540364197442732,-0.019041237254563494,0.01167486359220825,0.0039042502572077024,-0.04315360383403172,-0.044039937956977096
HEBP1,0.08188807513650809,-0.01029204809385591,0.005313185441306546,-0.09776403036863682,0.03650380973963399,-0.005948644914466281,0.0027922932366850014,0.03274012968512986,0.04944517765996207,0.01843473881070274,-0.09964782314469982,0.015654544317385714,0.041434250861479435,0.06054440579401557,-0.021262157472303315,0.027306833310463494,0.08930243215007164,-0.0036049043893906533
WNT7B,0.004783432867571451,0.06120939276577236,0.029401184185026727,-0.020548033170487895,0.027532595223135736,0.051646789188679015,-0.0036060212009435314,-0.013427810983190723,-0.01657785934728936,-0.04510247607966421,,-0.017629333207606027,0.05798796533684514,-0.00506739395499467,-0.006895942177734839,0.03776109381801501,0.016387794462528114,0.09250471001725781
PTMA,-0.05105166998833044,0.000829527952092462,0.021840389950381386,-0.02721408312628539,0.01977186912562409,0.044522860734207706,-0.022575100640161543,0.04513713255401998,0.08576372637421617,-0.05480828026095125,0.022872778597079597,-0.0769009549605076,-0.09117834544387944,0.0173356602926973,0.05834747157275,-0.00445394296670016,-0.08224569135840099,0.012552467928505015
FASLG,,,,,,,,,,,,,,,,,0.010382816826830527,
CEACAM1,,-0.0034169763867261792,,-0.0033857422582107537,-0.006158279649835822,,0.03481192362101727,-0.011214265166165624,,0.05338854647232879,-0.03644313295653913,0.07253094885988726,0.07923838539710266,-0.015175140945307393,-0.00421506482983775,-0.019238779493232848,-0.039342722200435096,
PDAP1,-0.003468373571080546,-0.032840002464829744,-0.022056546110868484,-0.03836111598286934,0.021492470446750844,0.02003549617014272,0.08190604456503876,0.0014482370086430912,-0.023224133759516555,-0.13507198546861818,0.04250614595805443,0.002472594471063939,0.007681432747081586,-0.04747122404534926,0.020259298309040295,-0.027949262341533047,0.030377586612307602,-0.004790618134145635
QDPR,0.03201887327550407,-0.05793088452228119,0.07031818405189663,-0.050120199237410394,0.00016963963683549332,-0.03265047412322377,-0.15953897404580608,-0.01418419648552719,-0.0672717127129743,0.13523929164583626,-0.008483974447435698,-0.03414903719104358,0.05974356870958595,-0.01994805700545188,0.0757336237231808,0.05180190188446155,0.050021774245074424,-0.013135789788786673
POMC,0.005700288633177038,-0.02616186823865355,,0.04980837641762797,-0.03602425169294909,0.05011750687340702,0.002213425575025414,-0.016107015544353145,0.023965621536160216,0.056871417290013083,-0.003994431006118443,-0.05023379121746935,0.11050070147613392,0.003464012776614108,0.02971960442552735,-0.03147211593651097,-0.024219635838617685,-0.014718427597307116
CCL18,-0.07556643145519198,,,,,,,,,-0.04035725272955307,,-0.023484271379029052,0.07537424402145099,-0.037056689296262914,,-0.015254576072374935,,
CCL17,,,,-0.020677852867502768,,,,0.012668319607380255,-0.013778669049965208,,,,-0.012720654135174283,-0.021906268641309012,0.00073276653704125,,0.05947957677831806,
VEGFD,-0.027349727327748236,-0.02887545743450026,,-0.023037411543910195,-0.021408569697384205,,0.009607527484400346,-0.03026132067502436,-0.014767026392204306,0.024590556572479258,-0.04954364064587433,,,-0.015175140945307393,-0.023087379156734825,,,
TNFSF13,,,,-0.014263120123990957,,0.026519337307406167,,,,,,,-0.024409024613834995,-0.023811365061606027,0.0628876657824145,-0.021603859939123705,0.05772843520057869,0.029906194707400077
WNT5A,0.03312432863598183,-0.005678295350886425,0.06184836398581818,0.024605089374436683,-0.04510663310405846,0.06108197181877709,0.1427973535375035,0.015456067458193161,-0.012600705253547702,-0.043449403391497894,0.09509748621735901,0.0508380670683277,-0.019987712367738657,-0.01591048836944112,-0.02823024930294621,-0.042853610932495324,-0.014121827553141104,0.0007849544522944397
CXCL8,-0.05195665939323524,-0.02703726683872096,-0.04167925826283398,-0.02168591976089686,-0.09538925228513777,0.03625809388633192,0.0732043219359767,-0.021540173706266878,0.012044151706213323,0.05406124725593902,-0.09644711256268253,0.04687396891573193,0.03783266914221612,-0.05993868170289296,-0.03107927801615058,-0.04447901397736681,-0.012563004194826697,0.04734243911028481
