,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.025121093388298255,,,,,,,,,0.03828314575093545,,,-0.014001197512994525,,
BMP1,0.006291113186806916,0.03593029334570291,0.07022406679547527,0.04995098704007741,0.09875491914019935,0.012267791307244062,0.038513165526248866,0.2338267602451954,0.258176201567794,-0.042823370215459615,-0.05249091387470725,-0.02241151459674934,0.007585621693684684,-0.029781586856618133,0.1551140690248058,-0.2231702528426855,-0.1865123194694803,0.04244760355216629,-0.2304090951756789,0.10009398527872247,-0.018495847886731066,0.08828106759228772,0.021815196931439757
NDP,0.07471762775458425,0.03547979955753753,0.10498121819673632,0.08779948198352702,0.05302569980724715,0.037953491491734964,0.04378558986967942,0.033469195889177794,0.046223912608547676,-0.008153530076965626,-0.0026253829042264445,-0.075417051971221,0.12444679815804481,-0.16559119414785378,-0.008843793804807898,-0.05630711960296401,-0.07253879926125895,-0.026881095658033923,-0.02376323431828623,0.07475424389175964,0.10851670385619919,-0.0012151498305262574,0.01823267166446392
TNFSF18,0.0866042627684629,-0.020071152534432073,0.0037661076536620844,-0.0018481946710340008,,,,0.07001362745928329,0.13496888879673974,-0.02389039053165857,,,,0.0620257132764228,,,,0.03443274648115656,,-0.012501730529363247,-0.022695603053074238,-0.0018929443501056148,
IL36G,,,,,,,,,,,,,0.06059603692091452,,,,,,,,,,
RTN4,0.07578405192090973,0.04676349849861938,0.05042802265987473,-0.04124863627309176,0.10484777234545246,-0.03455294452378514,0.05327949015820018,-0.43518844697265113,-0.29537491927406007,0.0282758600945089,0.04681116996664553,0.18926995112896403,-0.025355291384823186,0.03323709825704828,-0.036934605851085406,0.33443985427995343,0.282224501577647,0.030326248818225227,0.4148576138669461,0.02890238337711933,0.03056956185014395,0.14634067677117935,-0.012415408508114859
HEBP1,0.04633138281589771,-0.06022571358706707,0.019400462255792186,0.006761911441724909,-0.010006019687141364,-0.03868490610699507,0.0012624623343132758,0.23964356355174138,0.14844567741831913,0.027336658757510506,-0.022445598954250367,-0.06985117937457704,0.03860140100122457,-0.03280051998507977,-0.07751530833029537,-0.04836408725477313,-0.04523262642969941,0.029335676027073567,0.006711715397477075,0.11849748682474472,0.050175147500647464,-0.0681985483424756,-0.04504346372645029
WNT7B,0.04536090774442453,-0.009436398143961463,0.0020031275181654744,-0.020384021610656975,-0.022807204706406656,-0.03702799366001382,0.08459706369711054,-0.056683711249873474,-0.08727879152067772,-0.0018488681428523173,0.01459145724597729,,0.00019541163172823398,,-0.06512692744843068,-0.07383481945868905,-0.047096075877038145,-0.013423412842337834,0.06448558599708547,0.025249994725964574,0.03162856517885246,-0.06085741413166137,0.017248869695652695
PTMA,0.07197477004422555,-0.0795865412805349,0.13184351807956782,0.20426928582650225,0.3575357951405513,-0.035032301163648874,-0.0073607808217333644,0.5825851882800057,-0.19950863637897628,-0.024358215880060242,-0.0006337608646903273,-0.2032793391694442,0.10963131918753648,0.11308493790638752,-0.08741918001938304,0.30512343681135146,0.08075049958695862,-0.004056718557062511,0.19291273776629547,0.02943291982712755,-0.06270645117649488,-0.032872584242374,-0.08271496718603048
FASLG,-0.01057450548762283,,,,,,,,,,,,,,,,,,,,-0.024912838074525052,,
