,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.018276100345207002,,,,,,,,,0.03606145993944358,,,1.3257762481870382e-05,,
BMP1,0.1013738012178099,-0.05755005342075391,-0.013367867621685178,0.005386725378834805,0.14283483558419008,0.003678789775250863,0.03605313444214939,0.13981708492149,-0.005917611428486161,-0.018273064191723507,0.03335177050395179,-0.03954454878065952,0.18530026791564075,-0.016436646018113652,0.003564115307196437,-0.004039099533786687,-0.04419441899066178,0.14776050451700032,-0.021049155518522166,0.05212850722292241,0.09245582217251144,0.050134451643771866,0.052312991030491314
NDP,0.05615047773518502,0.007803763387984733,0.05106464588382897,0.05916979165763761,0.09178658647378936,0.07582003197064091,0.047298895404041245,0.04681959029738854,0.0011821221462938473,0.07394623976885474,0.07077882491552029,-0.01824657912169829,0.10903856792292596,0.03889782706055075,0.05755095475854495,0.14581973682371907,0.10362997685717659,0.07906755978620467,0.05587805174698615,0.030022515839111474,0.09389923922626367,0.057936208136453816,0.0873037375889953
TNFSF18,0.06878802307166564,-0.024096556255628787,0.005834007403790759,0.04326104897738036,,,,-0.033505145681317426,-0.02713946034906499,-0.03591578584129061,,,,,-0.022002764804071068,,,-0.014626960876471992,,-0.06724074651950626,0.006400759581951184,0.045563457727761596,
IL36G,,,,,,,,,,,,,,-0.035901880604824445,,,,,,,,,
RTN4,-0.08086836852478013,0.12810801271893374,0.026434450267928504,-0.0490844567641632,0.03994754100618879,0.013838070522996808,0.01872722696393161,-0.13432848192018504,0.06567873689805674,0.07161017518011024,-0.08150875116742766,0.08190582618003514,-0.06374084572825939,-0.010259032007082702,-0.13482843739447725,0.0005328797709354226,-0.0024934698532294813,-0.25021913090723785,-0.00035226105595917705,-0.026045300443961254,-0.08818696709146133,0.00965099657597446,-0.00563573937449615
HEBP1,0.04797494727607407,-0.01612002363847482,0.021873490914688532,0.01764127819804905,-0.0547287953462628,-0.0069891095719496615,-0.0022022727761750877,0.08753607803398122,-0.03658595366048764,0.02557370160725547,0.04740753025866093,-0.022964405004204384,0.07249436146450675,0.03673688430120298,-0.0748118159711818,0.07516208879230196,0.042968684765754,0.0011228647148615943,0.04166740381409263,0.04045466328252176,0.14359958993102265,0.07020484075483584,0.08302723680573315
WNT7B,0.045229656670070284,0.14495247004553535,0.01144126510653184,0.022733743924191956,0.05844742476372033,-0.06398975635637945,0.03773121067264973,0.07996415151754288,0.020994630118109255,-0.04149443441340094,-0.052335406765596844,,0.05095051216702569,0.023065811487526414,,0.08542796925589635,-0.0014238427632486804,0.06963574067556312,-0.008728492919466067,0.014629670906456798,-0.005873585671183151,0.1320964780427588,-0.03860988651955771
PTMA,0.011792451108885767,-0.00799790269494963,0.11320020982799886,0.048372803857026615,0.14047229063685787,-0.06268970054890265,-0.03573346108925138,0.20921798482462067,-0.01660224128289419,0.06482692087807991,0.05753468721765892,-0.08783902449300465,0.3004616459288763,0.04231690737841063,0.025328105130684803,-0.04661804367894169,-0.005297710796963904,-0.21035361305648811,-0.0046720194159168065,0.13715342431084337,-0.027975825401557807,-0.024672150424303024,0.085347999121778
FASLG,0.04404291970879812,,,,,,,,,,,,,,,,,,,,-0.034945655162876815,,
CEACAM1,0.0011690851692569948,,-0.011333514234436442,-0.01790008479711654,,-0.06392626078324083,0.005123748778722667,,-0.035713984071287806,0.018245544406438084,,,,,0.0019294216413733266,0.04019930485560162,0.07148138776772378,0.009290920992892748,-0.028809141270233752,,0.0019501465648681972,,
PDAP1,0.06896418074371549,-0.06764703889169227,0.011242760322374682,0.05883330117525039,0.03432501082059337,-0.03955595836598122,-0.03130348143400108,0.12968649467828813,-0.010914775697562624,0.004448025023633339,-0.049688042431070466,-0.09626233133692626,0.13193688146518306,-0.008485681034082253,0.042635947922635246,-0.019704974109895378,0.0005849651289716906,0.011814306283960015,0.008285397241996692,0.0363816030454033,0.027754279649871937,0.07700562668359322,-0.022318709779742308
QDPR,-0.044603836008985015,0.08833231205743282,0.061403747403670605,-0.01973780506414262,0.10524097204900222,0.02406554797643052,0.058797457506123946,-0.08055108169834124,0.009031676246161064,0.1315893572966759,0.02842424695149536,-0.036812791844983685,0.24233482343265467,0.011360226353851154,-0.04460957706628994,0.07420646119467281,0.11327020804791599,-0.17037382925643443,0.032250747235804234,0.07934899025859393,0.029005873924865495,-0.02917963425833315,0.09856109519353515
POMC,0.0027665216584870462,0.13579582425692072,0.042320983094317616,0.022825509978874583,,-0.01042653199187761,0.059042904963786336,0.010203428930854262,-0.02751455715837924,-0.04167383773679107,-0.0127762326069747,-0.034870702305945356,0.08761185056420086,-0.010041595635821672,0.018848311242850066,0.07245886408250873,0.05423397749094525,-0.037857001479130216,-0.03464770805440087,,0.09681528534545612,0.04823055312677466,0.058937081274216326
