,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,-0.015859546627710896,,,,,,-0.061735195175326864,
BMP1,-0.021259956947901316,-0.06288474607731356,0.019693330886910637,0.028197840328775026,-0.04751116174653532,0.009246829275025544,-0.09367672551218613,-0.06231783763276175,-0.037888984559631855,-0.0382286607213795,-0.11819059213069998,-0.014677581637992435,-0.06615635098682104,-0.04738006937437706
NDP,0.007924531015914877,-0.011937488458295151,0.020003078294712477,0.0035083611884690904,0.13469057508879848,0.002968360054893856,-0.009398829803495731,0.008482591958535146,-0.025046607528155698,-0.008807991970798427,-0.018761761886714114,0.01726374012068355,-0.008007932352583964,0.025083939703797048
TNFSF18,-0.02385245830765712,-0.009161782777646014,0.012742326763188237,,,0.1544456439745353,-0.023550950625513878,-0.012224652445352417,,,,-0.028743005242060925,-0.02489699451804289,-0.027630982925919114
IL36G,,,,,,,,,,,-0.028814346346923363,,,
RTN4,0.08327435169236033,0.009633161970474107,0.032451562455422196,0.03854270409684609,0.12034847856683326,0.01773545801180181,0.11066085612935571,0.02065268288036596,0.028517851808604337,0.16822360865731736,0.1299612857732833,0.06985359148193772,0.08475273804118232,0.02972958356913559
HEBP1,0.016371100099966607,0.003912563656854432,-0.003980996998474408,-0.09416627822016817,-0.020174710158481317,-0.012730262234532589,-0.03622764443481246,-0.0062816765542028875,0.021042535596877677,-0.08057548619092403,-0.00011549675036271084,0.12109220103016242,-0.03537913067480722,0.019382174806921712
WNT7B,0.14793951162725535,-0.006146262306989677,0.04211365004587116,-0.021747764247880632,0.11866650409870441,0.05255617678899303,0.07667278391932873,-0.010570741191974618,0.17728465021046425,,0.18192540244843522,0.11116547008841741,0.0028603910824701764,0.053673491716860616
PTMA,0.011594313314495279,0.0006233283594186072,0.06265606283156072,0.023536100370629934,-0.1257347903271014,-0.035581376264977205,0.047140636143640176,0.05186952341586788,0.03962175381026091,-0.211855955049055,-0.1380042421125792,-0.028366741627332537,0.12558527526658655,-0.13879504604014428
CEACAM1,,-0.020060548091604093,0.04046082353630237,0.02582605675147241,0.026474137884937292,,-0.030991709661325882,0.009783753310857256,,,,,-0.03201272210551155,
