,UKF266,UKF269,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,-0.010464974733619592,,,,,-0.024544934885801138,,
BMP1,0.017931000914628334,-0.07656944086546484,0.01511584462286319,-0.08424285643084804,0.01915360333722476,0.03270282047437572,-0.04870069575816956,-0.038443940552089655,-0.01852859084803121
NDP,0.025107002924748194,-0.0539025662145761,-0.02149903443625361,-0.03892956125473877,0.03729303080097094,0.0777133853314673,-0.027526879298486625,0.11152088998565418,0.0941858147258975
TNFSF18,-0.020956606826045783,-0.01554017331227446,,,,,-0.025312758104183736,0.005171463748916671,
RTN4,0.0960044822101377,0.1011185590610823,0.022071023855235152,0.16099365823184775,-0.05692162153622706,-0.004513181320375214,0.08037738286006295,0.017263838668627057,0.11155600998411447
HEBP1,-0.08372201671734346,-0.06971814566428386,-0.02133407895496934,-0.1309799011106561,-0.005857037540990491,0.0065279714497275656,-0.01743338653899512,0.014457711694537002,0.03935975076045207
WNT7B,0.10191228951215356,0.03683538487386441,-0.014137970295762579,,-0.014523736419702999,0.008207068178220481,-0.014509244599805467,0.06490523629136065,0.03946014797973715
PTMA,-0.1657055287495785,-0.009622323942193789,-0.0067416922302643845,-0.19887400817910902,-0.03809102408041394,-0.007004528963540872,0.0862465958858159,-0.05723334135695819,-0.03229319705803696
CEACAM1,,-0.020449982976862794,,,0.11747598990182341,-0.000443747535080903,-0.0363717907079973,,
PDAP1,-0.016389467925200074,-0.039304966026610745,0.049278904847006276,0.030767968236189065,-0.040145171478899205,0.015818875591417154,0.04538875371111165,-0.012740705094935861,0.006439580987441882
QDPR,0.045317173421782785,0.053109114414163126,0.02420309982273613,-0.15637260145864817,-0.041774905819984595,-0.014639431084291147,-0.04319393442049313,0.07843465610326385,-0.01867169137017357
POMC,0.03154253209704542,0.005433838408423771,-0.02229175402765896,-0.036281066551436675,0.046655640733972714,-0.0005355943199283222,-0.010198447162820206,0.014425309585836543,0.043252457805706176
CCL18,,,,-0.033488900189900014,-0.039017281688082835,-0.009806711151123446,,,
CCL17,,,-0.017498843957810685,,-0.015126261429446425,0.011720619752683575,-0.03236107880829632,,
