,UKF248,UKF251,UKF260,ZH1019T1,ZH1019inf,ZH916bulk
BMP1,-0.07439258707448809,-0.005156768084863115,0.05377384137427344,0.023032920970760346,0.06116869741089634,0.06604098682993745
NDP,0.015087708892777593,0.003126815632489135,0.03936074140823707,-0.024317779312721628,0.10695062021193197,0.026150438640991303
TNFSF18,-0.028831494563194192,0.038976103340788354,,-0.0309696130387395,,-0.0003710198310232187
RTN4,-0.017120878790401535,-0.008833921087142592,-0.020845701769161794,0.06660804535572497,0.0052512383363184515,0.02841694962955724
HEBP1,0.0076745819922153825,0.012189486962146409,0.030505292084354298,0.017594250023290164,0.0027779273961473856,0.006281594888892018
WNT7B,-0.005455202365860178,-0.015709239525174813,0.029003848603738707,,-0.04288071732682991,0.12092324904665136
PTMA,0.015006597947509984,0.06977076877464579,-0.007945001595670036,0.035342288127838274,-0.006189405822933714,-0.018466771129655925
CEACAM1,0.09453148352215517,-0.012055896488437145,-0.014777317706463807,-0.04397968809936157,-0.003078113406669482,
PDAP1,-0.028218753935627058,-0.03537218327327249,-0.05700408308061995,-0.018291772254400724,0.03742319301874922,0.03898397919312385
QDPR,-0.006282496249725649,-0.0037535531704564816,0.023374662989430067,-0.017177950943000595,-0.048279774572685064,-0.03396261344003961
POMC,0.02954274080644243,0.04157332548094395,-0.015994215639952937,-0.052890742826871534,0.0028900903362197652,0.028190113886104325
CCL18,0.11704192453478018,,,,-0.027266017200233236,
VEGFD,0.007894877932781829,-0.01726765295281577,-0.01413810091702787,-0.043753080795608676,,
TNFSF13,0.06262527432452075,,,,,0.05743523871586045
WNT5A,0.0006045767805607478,-0.020470639513259715,-0.07657611738993772,0.06887513602745518,0.027009484367324952,0.04521626246392943
CXCL8,0.01525813879821409,-0.016168406738585335,-0.025324648742862263,0.04205088784856819,-0.03248810262510119,0.029197148562049618
GRN,-0.04081909603267812,0.05263678499015012,0.06428654296214556,-0.0399471276035989,0.014646815816798322,0.011761838147020877
MIA,0.005472294114897123,-0.015356642960508524,-0.005228405054545514,-0.11429189796960741,-0.013135777619980164,0.012484403565336618
COL4A4,-0.02750227610992487,-0.025825299536687808,-0.036772758856567056,0.06115119119206461,0.12997790754270988,-0.008894910195436076
TAC1,0.010809565971198198,-0.0067515299321313955,0.029730853703356597,,,-0.01230756256856853
RARRES2,-0.02680470169109802,0.042221504537771765,0.015766193710176256,0.07971028073619849,-0.05667830152239324,0.0029445638852503516
FGF7,,0.031060298765858096,0.030286597575893852,-0.004245332647974007,0.03470308306478549,-0.05666382262170729
HBEGF,0.013016323480601288,0.018304097864524443,0.038692238644453654,0.044200725441483686,-0.020119677737915103,0.06604099318537544
CSF3,,,0.015156450033936501,,,0.005886947288428639
PI3,-0.024091381972262765,,-0.00273191195142784,,,0.05945284177700259
PCSK1N,-0.026815695311898907,-0.043048272965179595,-0.05534795691258598,-0.07681503553256501,-0.10233342688229981,0.013664772140897044
NTS,,,-0.010302264136674,,,
SFRP1,0.044075852377780424,-0.044441480250975864,0.006807724615745451,0.03918628557112682,-0.034402998594579036,0.0720364504996133
CXCL13,,-0.02915219202316253,-0.01598416861039772,,,-0.02331839470317902
MICA,0.03631788175789087,0.0038712081212810704,0.006614946400422458,0.024129075291064107,0.07941042504629982,-0.046521238234475924
TG,0.0016356646342362625,-0.016393590150347106,0.04849778874456144,-0.04885162443662904,0.02000048368547766,0.1524740433406055
ADA,-0.028219084335579556,-0.002723622623620917,-0.04085150418276075,-0.009926706897706774,0.08344728469260701,0.015194036701226751
LAMC3,-0.04692463375690788,0.04110102827106631,-0.02291156580869488,-0.0758467536473995,0.004502165421426067,0.018584299493756614
CCL7,-0.014566102650218323,,0.048347340988527734,,,-0.03691828964869843
NGF,-0.025009274911077253,,-0.022620314580720752,0.07782149437327533,-0.040519023003878885,0.07571454132960209
TNFSF15,,,-0.015690526694250414,-0.03953476875329671,0.062328503628223564,0.003594668620633841
HMGB1,0.0239653000414517,-0.017203090200139656,-0.04922015381563564,-0.08857521109180039,0.008420990702712119,0.07419805280240342
ITGB3BP,0.0047118917834761435,0.06383805120681112,-0.032397425848708375,0.04456055250474109,-0.0929026532796356,0.00782779042309125
AANAT,0.045386887468406134,,-0.014138102935321452,,-0.02839869985477819,0.010783601780319367
RELN,0.030904497178579005,-0.02918804528040253,-0.042562344957730515,0.05070664883249998,,0.04248280802602343
IL15,-0.031609626755879236,-0.020885183044233493,0.033731032660181286,-0.06829517114358408,-0.01749338403760408,-0.04618034848530502
BSG,-0.013757101419990059,-0.011958226847504774,-0.02249452002588209,0.02185957283721671,0.02055253028280574,0.042760804214014514
ADAMTS3,-0.005594699798188459,-0.028804726455766993,-0.02111143388670553,,-0.03400455196860986,0.014729367098363111
CD34,-0.007121652358911798,0.011600184664124089,-0.03346372885382201,-0.03189301980173928,0.10323613808086084,-0.004699638644440315
PLAT,0.00982607110725466,0.0038168394551266337,0.00505654166107853,0.02501607488077221,0.0015187775458417596,0.06543050833669087
LTA,,0.1721450521656979,,,,
CKLF,-0.019848017035015677,0.06307003724830523,-0.002764358426100599,-0.02862331227046633,0.11234911750532288,0.050560287316780146
CD24,-0.06266580543437947,-0.0457164451274295,0.03965506197220274,0.06303521287765956,0.04035798894293226,0.01379053623010819
HSP90AA1,0.007724250142631472,-0.0007812294107644124,0.018599616278793966,-0.08249214755865412,-0.08008448269693222,0.04410284007847071
BMP4,-0.029290510458762353,0.03775247310741592,0.07221320220979253,0.08584402646100071,0.02401277831364848,0.01682417108163945
SCGB3A1,-0.014566101193627518,,-0.01683673525278236,-0.06415270063440108,,-0.0352736373902906
IGFBP4,-0.009837911517368852,0.009307791840108225,0.03941717307651403,-0.08171028273422827,0.00704387710483816,0.03413454721905734
RSPO4,,-0.019489735583127124,-0.01943232937995382,-0.027570316950733108,,-0.022134128492726685
LEFTY2,-0.054478969849750127,-0.012203962492385409,-0.016933264295920097,,-0.03629113162933846,-0.017444781767247813
PF4,-0.015109991787132421,0.10621816826324079,,,,-0.01733891530112871
ANGPTL2,-0.022663855277417808,-0.027183827652512395,-0.007510300938580278,-0.026346352984573357,0.039176669419568814,-0.008006103315391531
LRIG2,0.007628709791278147,0.008324166976791962,-0.014847038148393856,0.02247587303776822,0.05046412964706732,0.051445916523684604
ICOSLG,-0.025422706030124715,0.0027240531311070217,-0.01686595448266331,-0.08381139323076105,-0.046352146861542314,-0.02098859137430782
WIF1,-0.02718797766814771,,0.019696356653657487,,,-0.014887351898662412
NPPC,0.04970593758769157,,0.04916031836424189,0.07626852961376973,0.008951023171295865,-0.0018145706538753184
LYZ,-0.02867385863954358,0.08524389375926046,-0.02920231530853445,-0.001130925430201905,0.002142585311612262,0.01520497324999386
EREG,,,0.00031667730344553743,,,0.028923783028980216
SPTAN1,0.000539687543107795,0.004572221368791871,-0.02875014871152989,-0.14082407111124667,0.03405265519412324,0.01618864555347614
LIPC,0.0191513357107422,0.022722182094160423,0.05901007375649281,0.019006491761312482,0.13221938777125355,-0.02703900052257464
COL8A1,-0.029276405264315623,0.0380698888451134,-0.010290519427433633,-0.023872251436586084,0.06797557641099511,-0.048175069202405656
GSTM2,0.01752126888528592,0.0710521850053227,-0.038094881745829465,0.15696759416937375,0.10351969060035165,-0.04156284301332088
SPX,0.018963242032648996,0.0032491626556998194,-0.016559350879826136,,-0.001333315581707139,-0.017939502454221958
MFGE8,-0.026656448766139065,0.026623541463458713,-0.045830832271426654,-0.05524108312639684,-0.002997110480334385,0.03874169271397258
TGFA,0.0268303831661869,0.05842923958020788,0.01579161130758037,0.06331970306702316,-0.05570635595847279,0.055288218651743
SLIT2,0.05557621184893089,-0.02859474864671745,0.01192378282768541,-0.0488480378717803,-0.019640248338048144,-0.0384283708687925
PLTP,0.012730720502603802,0.029310685537245727,0.021099864575332104,0.05784483026883553,0.06558555506773277,0.02409353046939135
APOD,0.02417125881791385,-0.05711902038755569,-0.01578944379247875,-0.005091261162407958,-0.045499847660557265,0.024333548304608377
B2M,-0.058768595189751444,0.005174758694269512,0.041454298229319946,-0.0369155900739666,0.08002444713813697,-0.04833972787213963
OMG,-0.025192542704400914,-0.02785857531935646,0.0008407679583153379,0.08381460605682382,-0.024794995369676692,-0.01796812446504708
CXCL3,-0.01865858388222974,-0.022546034181293823,0.0026000089137651855,,,0.09736598500545016
CXCL10,-0.02502247566353403,0.03599066914406779,0.03967244294772996,0.02531180326874964,0.017049503530118026,-0.0020505988690095655
RSPO3,-0.0197861977019355,,-0.018813681618671137,,,-0.005267948814630436
CORT,-0.016273495499763455,-0.0032449919682007596,-0.02283324323178695,,,
NCAN,-0.0008698713168167869,0.047650600001879324,-0.017776135432544984,-0.03019302457090499,0.06536687231282984,0.024147962999311653
