,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.01537728887899764,,,,,,,,,,-0.015352606938797529,,0.02040604734280971
BMP1,0.028507327295802663,0.07729422153571515,0.021045973897520172,0.0028552722456093083,-0.014053281492744266,-0.05576658153860904,0.028483447985716136,-0.026510643922959324,0.17988492729531624,0.0034546897894169692,0.013172953762745767,0.02709676608284145,0.059491411846269514,-0.048585572327782676,-0.021666172942496224,0.06097043463181985,0.03289629062085879,0.02460178023079962,0.03759527458104243,0.0418102797863381,0.06700071036617163
NDP,0.05987033231741933,0.01239313709516085,0.021676517797461825,-0.02034837430111179,0.03452496490679486,-0.021820429307106103,-0.006210550985015667,0.0053914354511528555,0.018542940112788633,-0.03526520731983836,0.031342543804738096,0.005350512069200151,0.043651157890771966,0.005518178449899548,0.04810706907759578,-0.0012644870208714605,0.06680917468378027,0.09032349921623131,-0.013722940022490028,0.06697922180551742,0.08319194013682936
TNFSF18,0.05225426602699673,0.03143591079733263,0.010624021021753157,-0.03596362926563836,,,,-0.014292936312621057,0.040711689125174165,0.04195167856510534,,,,,0.06195075270902074,,,,-0.01583287254655556,,0.03151925827696767
IL36G,,,,,,,,,,,,,-0.02275885949220167,,,,,,,,
RTN4,0.03640848636230771,-0.028873214003039226,0.02713590100201741,-0.050550242948201936,0.014584171905338011,-0.10090619304380687,-0.019246212008590176,-0.011566568117420784,-0.15502416770888394,-0.05710540150319493,-0.0815090081410865,-0.02067648496028599,-0.06351655766474383,0.019307654411365862,0.02886162137046276,-0.049411425431934025,-0.02208488681829808,0.061106484598385656,0.021637446149386303,-0.025341999586437697,-0.020943606200257557
HEBP1,-0.06789371857505765,0.05120903850336054,0.056019838304897956,0.010679369059077933,0.009341192566493179,-0.026735892432860762,-0.01600069789575666,0.03008289534173884,0.048483475389086886,0.0114293128469439,-0.02721391823887627,0.03547729704809078,-0.0314985649616496,-0.18037170208061015,-0.05573696052683939,-0.039852359492287395,0.023644508177494604,0.00028295806048890716,-0.023362517195342696,-0.01663889765858655,0.05893507333229674
WNT7B,0.0002587981609733376,-0.047915912225023095,0.007377326679303975,-0.02233949167202829,0.0010968461037842011,0.028089249059480032,-0.04461291645362719,-0.04736414305710539,-0.03556358615034842,-0.020377163078438704,-0.016890629207862277,0.0029775463567657547,0.06877301834928716,-0.006039772039527125,,-0.023392760093722046,-0.010960597758712484,0.0009068040741568369,-0.01650352462672122,-0.022338908370642938,0.048537747846978806
PTMA,-0.052032055514139426,-0.027158427154326325,0.01340573988278011,-0.05709594832889185,-0.02383501145343982,-0.01921083979455801,0.0005780595149117193,0.06983024984986398,-0.12400494370674009,-0.02249057745368044,0.01383446117695752,0.08010585960648496,-0.022367394343088234,0.006667858096956449,-0.00721280882663741,-0.043027143724990426,-0.011173761874663771,0.020120464164440306,0.04968155276086703,-0.07753968713154755,-0.030043151119335483
FASLG,-0.0211888700370302,,,,,,,,,,,,,,,,,,,,0.030515355466418526
CEACAM1,0.04887672647306974,,-0.023608665000060904,-0.017144216228333283,,0.03746446948620693,0.009362730768104918,,0.06826556978592425,-0.0292804532503368,,,,-0.03240016461029569,-0.016012178830274542,0.019960936619534544,0.07426231917214889,-0.02539481623456321,-0.02275018487513355,-0.014826658375987376,-0.032402924467815106
PDAP1,0.030817018763254607,-0.05597199260581381,0.001246609587487772,-0.014267965687807652,-0.05893266679703522,0.006061110342898438,-0.007110510595712576,-0.024027305212875,0.11697018951212017,-0.019097163025256804,-0.03458495295756071,0.044825620208383606,0.03840096371984474,-0.010276305140494825,0.012618871971852864,0.031463919078423726,-0.03223268364496548,0.06736325620588533,0.05648286960570776,-0.05440363674461015,-0.020938417441246016
QDPR,-0.08879601565324077,0.07838667589387192,0.012722379648798118,-0.010603934340412461,0.014841518045872922,-0.03829531290841122,0.045236517538881006,-0.04845958453456602,-0.1809664214302644,-0.0027549600241164166,-0.023215435357573803,0.06613926295932607,-0.02982222168509339,0.014803781558722409,-0.08769624815325114,-0.08551147293449624,0.0003825917583188953,0.05851922154074981,0.09074087989081572,-0.009308629513000584,0.06711635860761707
POMC,-0.007707265882187191,0.036380877102884,0.010698878056981446,0.04478387520359363,,-0.024338615584827663,-0.004594017947498606,-0.026753358872864206,0.010686094021664238,-0.021601950939591948,0.02766379572850547,-0.020300665919310294,0.015235089118310051,0.007420612166902992,0.003173086330991027,0.04855623366516176,-0.050801200837701746,0.013881642377927795,-0.02418794491643628,0.03712440713348345,0.006781611697350713
CCL18,,-0.023685688031797117,0.015018752956475687,,,,,,,,,0.05399656130316612,,0.03156653568568668,,-0.03223682724639261,0.12286569423817865,-0.04570973784675754,,0.012132316492837275,
CCL17,,,,,,0.056359307277503636,,,,0.04926781443838847,0.08911035617685799,,0.07734966855282684,,,,-0.020837750996699267,-0.036659011506779006,0.05594260452262958,,-0.021108668232113974
VEGFD,,-0.001811391504413178,0.00800804117454499,-0.024555650113852977,,0.033676948247358396,-0.014138102052563162,,-0.048365463393414077,-0.024738199326778773,-0.015334704099592186,-0.03148339724329397,0.07074795816343325,0.00770497436176507,0.025465002503973867,,,0.023098129222092943,0.07310168819665905,,
TNFSF13,,,0.012047000949944826,,,-0.016290343990599542,,-0.013861166548531307,,,,,,,,,0.039652069051729986,-0.02914882557985202,-0.02170641830002276,-0.016649343636000156,-0.009032119451100532
WNT5A,0.012607793345819207,0.08426384582307961,0.08163412246863906,0.0023862937890967123,0.028084909980178107,-0.0359345024562871,0.03987650484108878,0.017578818059663413,0.12583293080698332,0.016264381126596967,-0.0060118812499337084,0.014937950019031854,-7.325736223983593e-05,-0.061359962557826254,0.0011112096240779984,0.01233287108934516,-0.031508140264305366,0.041273944678032366,0.014011689354014563,-0.013878221427719157,0.009569081947948187
CXCL8,,0.01368007902296849,0.0027117198167998123,0.06065180999400632,-0.04466378938248474,0.14140815812757526,0.058387703896707985,-0.019716610391727903,0.13098493792824567,0.08429202992612081,-0.014280343232641615,0.018242159184286833,0.0002465040737818411,-0.029136507911991197,0.009611427558762866,-0.05675800983758474,-0.08239485488829008,-0.11703776537817136,-0.028738553734171675,0.033722224159885975,-0.008377089145817787
GRN,-0.05098881924418427,0.014143243888903766,0.10266909234292532,0.04499092634316399,0.018997331177792228,-0.020134587311881332,0.044533515370507426,-0.04115224149001087,0.1622376088353215,0.01959656548985086,0.04962125746042317,-0.04080698979547868,-0.005265118518003249,-0.08751547824538324,0.04171587624889214,0.0887644141982631,-0.029208898052344685,0.014293397118988296,-0.06411702588289973,-0.015250419154638603,0.020422515964661412
MIA,0.005123307660712812,0.020800955741454352,0.0771633134164622,-0.02183807796531605,-0.018745896633289776,0.03748337385022401,-0.015949707744316737,-0.02506366240113341,0.14397458706494487,-0.03950291820070964,-0.017439996454673104,-0.007499383948135033,-0.007275251055949786,0.0355212906036634,-0.011465260370263542,0.04839016289206355,0.1517612491310934,0.038051957620496124,-0.02438004073629264,0.021026867108917956,0.09357828187512995
