,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.020560845914508786,,,,,,,,-0.021302992120495846,,-0.0240565604502577,
BMP1,0.013627762396465974,-0.03407587731402424,-0.06253060619628373,-0.07906101274972391,0.0014777987770463797,0.11575219716024047,0.0510463050631717,0.005540775917610934,0.015409918131966916,0.007832170882266376,-0.045513808401333664,0.015506911741562573,0.0630110635523141,0.03173522392738185,0.11293863629473344,0.031193415117973237,0.02652028694850864,0.05116934006160889
NDP,0.0008400906663561605,-0.0018827299251959742,-0.0005492315662099028,0.01986523150782714,0.0945572039051591,0.11445965663920835,0.027037636111244018,-0.015873280866435985,0.028223387476770386,0.010552025264020477,-0.02413418930590283,0.04861760390852435,-0.00290630192189238,-0.023759270430507504,0.0229140984892873,-0.011439114950553934,0.0655558318681691,0.045458925035895784
TNFSF18,0.1541575734128176,-0.017317170391840882,,,,-0.019545627720562835,0.019265949972259052,-0.0033718547528753737,,,,,,,-0.021969399753974654,,-0.01930272340969029,0.023377277116017656
IL36G,,,,,,,,,,,,0.06114361605515336,,,,,,
RTN4,-0.05706580472027077,0.031881829255978496,0.0062627068963805165,0.02175146212515497,-0.007366416719755149,-0.05908656349270568,-0.05036366040266364,-0.010412833787329354,-0.059020190335515324,-0.0010655677170129992,0.009632111729516302,-0.030265806715043343,-0.0132362003535122,0.012677856407396082,-0.05422237086040927,-0.008122445571179013,-0.030991861325449628,-0.05639594883153935
HEBP1,-0.06170306410006109,-0.05181402535421074,0.0281495739881885,0.027130484287097,-0.03644609682961431,0.054064131700724445,0.03224627453707362,0.015389517492115196,0.03480917659231155,0.05671565685066964,-0.03593141165784884,0.009978869432098532,0.049674029798887735,0.02902885854760345,-0.01255867716354674,-0.01621911550495897,0.037634454549245834,0.012825715569086776
WNT7B,0.0007649160502545191,0.003857095312232776,0.029030867090524298,0.003620517552662372,0.04308611878014009,0.026528543036841823,-0.023887573581688977,0.0199467675018788,-0.016442654499030363,,-0.06810813480097987,-0.01901142336348324,0.0003766058126897232,-0.0142951395296218,-0.02131304449198123,0.007766961402166432,-0.0434300760000679,0.10045069047857452
PTMA,-0.07251098603115684,0.039793355435685775,0.004683104285795247,-0.008489188507261651,-0.06190839690204957,0.13087442752237652,-0.03723753249190195,-0.000856408153375489,0.04252649153364884,0.038732741551123225,0.03763324332695622,0.06249381144991722,-0.058754106431578884,0.0059872149248497855,-0.041900728865878485,0.05696579046608354,-0.016833660771032502,0.07314216087978284
FASLG,,,,,,,,,,,,,,,,,-0.020864246671494315,
