,UKF243,UKF248,UKF259,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.020322177118343412,0.0099914931959156,
BMP1,0.08441267702918555,0.016580255711501332,-0.04057716613762454,0.0008798312547842171,0.0006126110226874256,-0.049664349748067944,0.021936916352945635,0.02785194236030833,0.036359351512028265,0.08004020437798519
NDP,0.018666318427654167,0.039942064609191565,-0.013884087745677587,-0.019458969505047767,0.042917671586989795,0.054700959571478296,0.046488923099699125,0.12939906779640717,0.11616861995342671,0.07542564627476021
TNFSF18,-0.02642754515047331,-0.041766472858302685,,,,,,0.07505905890295789,0.04631018930214221,-0.02193254354523212
IL36G,,,,,-0.01579520492969711,,,,,
RTN4,0.062310033213849605,0.039646474219941205,0.04249076813420315,-0.030146354129789173,-0.023935613077901197,-0.0028202661797625283,0.06126186927133176,-0.13861176553969032,0.0346399342727165,-0.14011830389092098
HEBP1,-0.0006345541251078006,-0.017646627452353666,-0.06957853579760452,0.0240355669527678,0.025716564564875883,0.04264324378496115,-0.013554613030435519,0.0320224083646488,0.07033728098012391,6.415057735247202e-05
WNT7B,0.038552088064849194,-0.01652930396736633,0.045840515200365105,-0.010578800745396764,0.021553988046774362,-0.03348586478269031,0.09640781171546574,0.0009549832810281432,0.00037402711828945357,0.013066780145110769
PTMA,-0.1352192336500787,0.0493042749073787,0.03927544447038486,0.04364921197141085,-0.0029362218284394305,-0.006027471880023927,-0.09008464745763191,-0.12443690266980448,-0.05796065667287533,0.011642462878357334
FASLG,,,,,,,,,-0.0236089578492218,
CEACAM1,,-0.00011745161414583626,-0.026141781070970323,,,0.004767101462957399,-0.017888125970142475,-0.013705052139621133,-0.03278452752564003,
PDAP1,-0.012815304796113392,0.047589410282045067,-0.014010753657162096,-0.011204848059706757,0.014432832963935145,-0.04308018518130447,0.03555746143849492,0.05671243711796877,0.012631342937538169,0.044622495585538276
QDPR,-0.03546728499602348,0.009563506146488626,-0.011837644599095093,-0.03266601908344246,0.06984943701398204,0.013966898270610411,-0.001749650388409734,-0.028255824141049532,0.08734520513481078,-0.05761957197000747
POMC,0.033502227199076605,-0.017655791183089378,-0.0020130826177817015,-0.028452776549200778,-0.03384139585698989,0.1109101321411958,0.07112965156235075,0.007084734320139094,0.09515586756969764,-0.058900120662086455
CCL18,0.04376302950332896,-0.033173341048849565,,,,-0.034337490202590235,-0.003954598875698958,,,
CCL17,,,-0.0423266818603339,-0.013093589789190065,-0.014429368128994225,-0.013311994869034569,0.09027784681969514,0.04654422842780696,-0.032725152354699694,
VEGFD,-0.02568672562943606,-0.022669946972590407,0.012518111582888859,-0.009604306456724117,-0.015464400749521408,,-0.017888125970142475,0.009414308596094434,,
TNFSF13,,-0.025033675631093814,-0.008134712862414363,,,0.046567431821169195,0.030224047940247144,-0.028732688790667583,-0.03677456189823347,-0.04048814043922836
WNT5A,0.03306288040553013,0.0210853742325389,-0.05026034500966924,0.0072121170655479825,0.0014400129737610731,0.009654555287388393,0.07469837724008481,-0.035213922980042334,0.05874128961126321,-0.023509689377697686
CXCL8,-0.047424510883489576,-0.001210892211653455,0.03679988159823146,0.02275716565001699,0.017571739261785606,-0.0644907870266684,-0.05595501826661665,-0.03804109500354404,-0.042099902716478683,0.029694480096066015
GRN,0.0470286489340293,0.06026950807772771,-0.05935647284858955,0.06497000587493065,0.008802404820325785,0.00020577526594479925,0.05523001987900191,0.021955507717008185,-0.03680627931827465,-0.11107828577242204
MIA,-0.04269865319309977,-0.013941508360415399,0.005849406470078288,0.0942378807779313,-0.02117920552222667,0.055839596962776364,-0.030201054498692554,0.08273666418912774,0.1861335839223445,0.0006970788119977471
COL4A4,0.10461554056641606,-0.004698329327278948,0.006880602088741117,0.04252202425759392,0.03027822733171905,0.04274643140271588,0.10380447845751448,0.0947478448676624,-0.08169494614913507,0.044904239279661536
TAC1,-0.05034580342812745,0.05019271381647224,0.06250614112759716,-0.0067053809655304815,-0.03640935755573723,,,,0.032966723692088175,-0.04056557097675492
RARRES2,-0.020383171361033174,-0.04957093358876677,0.08984672017400959,0.0074048133982295835,0.023934668809334994,-0.030865806844583708,-0.030922576135738906,-0.03351841157494073,0.02050696486023812,0.09758444683790134
FGF7,0.038019776720929155,,-0.043723536734357825,0.055620601881070264,-0.02677217609728308,0.05079881448377788,-0.007123724629435792,0.007642856583387032,0.07561076969071752,0.05845247072863203
EFNA2,,,,,,,-0.017001466606185563,,,
HBEGF,0.10407224971017352,-0.01671321284683437,0.007156214996851784,-0.02466477986681158,-0.003918072556404215,-0.019788024879944348,-0.02529817548318938,-0.006889787574466543,-0.09689476006277375,0.10625654735180484
CSF3,-0.010061305591082557,,-0.016238254075410914,,,-0.014972558752575034,-0.0004941006285860547,,0.002013849005443233,0.005252091920271567
PI3,0.16477323395644045,0.007899753277229181,-0.030678718766256066,,,-0.0735168259075839,-0.001943101924858236,-0.00018599512790958193,-0.06288973826260666,-0.001748535607027509
PCSK1N,-0.023834987469298557,0.0014925571876100486,-0.005897910615652158,-0.013270833875353627,-0.0565636856732592,0.009315037895457665,0.01328771589845991,0.09421819956409958,0.11887853746067407,-0.09814109573238283
NTS,,,,-0.027065774387180993,,-0.015862620238151808,-0.020713060803123823,,0.03909181264690663,
SFRP1,0.06627347298176943,0.0064184936595943895,-0.03693166600136871,-0.013093589921053268,0.010734539970149035,0.03148280415921879,0.00040864461356652593,0.016376777141882803,-0.03179109860420494,-0.04131843762398477
CXCL13,,,,,,-0.029901469817215656,0.029955306106681557,,,0.050699361027696226
MICA,0.024345444142385552,0.021706191439418702,0.012161764722777746,-0.03228264151283245,0.014202681818006643,-0.03781697546596299,0.08357536133049025,0.06493752959255934,0.04495834465755953,0.08531722423632426
TG,-0.013637085564043451,0.048229654883268344,0.02138341386930904,-0.009475774069937182,-0.021674946955997216,-0.01768831299148508,-0.009847177507253587,,0.01325777032502779,-0.05470383365887299
ADA,-0.047389018952987125,0.04869416118590093,-0.043192032064098496,-0.01538941913183589,0.03319030828044476,-0.023494304697988386,0.04297972447308649,-0.05087120380507607,0.1128340075234481,0.01550507068857423
LAMC3,-0.026935768327072594,0.04404286674716469,-0.07827767711687135,-0.03435974927842197,0.0038338796315628716,0.00349083241476665,0.06104114727054251,0.03986041013566512,0.012515242754910422,-0.030959126734667664
CCL7,,-0.021101047316785148,-0.02881518725522768,,,-0.019951611885587296,,,0.014646506821387366,-0.025690488394219623
NGF,-0.023159625622958903,-0.036229450384191765,0.003331550247686747,,,-0.02304251448055497,-0.016772938291977835,,0.01331697574022962,0.019367966412361905
TNFSF15,0.05623274907410794,,0.018127108907170935,,,-0.019450581215658708,,,-0.04334061344200337,0.0611038766667173
HMGB1,0.07243953454421835,0.08494779034138103,-0.02711264394106004,-0.0018376472993921074,0.022847989003087613,-0.008352960455921973,-0.014656442136057242,-0.048890517506648815,0.08122548889395262,0.0032393611054388127
ITGB3BP,-0.013840717035262714,-0.032964140435487156,0.017152329380132277,0.004927141835052019,0.06769525743838357,0.060307813497696705,0.03137530168990624,-0.004930907792863143,0.06390130658154655,0.045127483711599185
AANAT,-0.04150996693759997,0.03964662221459983,0.03430401349078839,0.0909648927106191,-0.001965015481897838,0.00671335234899757,-0.022879369278919436,0.04178859429035835,0.056283408963001685,0.041722104184452165
RELN,0.045906373631894856,0.08768529152920901,-0.006634738466605929,0.01138214638727862,-0.021428338849147126,,,-0.04144717023714811,,-0.01995550208534412
IL15,-0.04072739561815552,0.05670357253610205,0.036806151423115926,-0.010078828755203842,-0.01795144031482587,0.03868789789344127,0.021851806180406746,0.02248830931620036,0.016072899689512615,0.030488439374365763
UTS2,,,,,,0.10174922358591253,,,,
BSG,-0.08117349129272736,0.04040675500102076,0.028551037264656715,0.028650790237048647,0.05447940412571657,-0.00289069000710288,-0.020539293427633547,0.06324652599903506,0.11509515570168094,0.07983566636421319
ADAMTS3,0.13008309114626793,-0.011974432043113025,0.009564817271351913,0.009786451556375133,0.03011477170489045,0.011334067856386682,-0.0036709372018757657,0.009675532549348213,0.07814385712942869,0.04122995402453295
CD34,-0.017500670155143703,0.02412400013739866,-0.039722246505735935,-0.020436405453533726,0.02416226780839285,0.021474458972934162,0.06717400303443102,0.0755103085121497,0.010511599445743718,0.0807400674761169
PLAT,0.055805733307462004,0.07082834649259923,-0.03413422709368149,0.040042421866709865,0.022157160744568038,0.011477483019220448,0.038852360051530685,0.08072446150799835,0.09694525450380267,-0.004746639657411533
NTF3,,,,-0.017632128459719294,,-0.00035070418203527614,-0.014225216371524473,,,
LTA,,,-0.020738735533332452,,-0.01795144253076004,,,,-0.014955452137643014,
CKLF,0.06600384222859736,0.02802848861818446,-0.03225096579354725,-0.015188262352760518,0.05149800718929287,0.019014167886508174,0.03321142137674439,0.002357769353182827,0.0827986196403574,0.14977933313410463
CD24,0.0024167335244702362,-0.0033112531601231245,0.040058246805507854,-0.023654300842840353,-0.040019173622584794,-0.0013740879633743837,0.01595637789911098,0.004505636899435415,0.01744988185848959,-0.04291450175143267
HSP90AA1,-0.07944545965958197,0.02021134087606833,0.039383416783081625,-0.03566435867908821,-0.02915401826767641,-0.06159689126097853,-0.059305248930562805,-0.006558027238181542,-0.06108880373535146,-0.14201513806928065
BMP4,-0.00025254617214170793,-0.004597390466322835,0.010501664118355535,0.0411377910911069,-0.015296483140635708,0.013797967535489014,0.046607943444112794,0.014447997829530407,0.07010249696109794,0.03188155356996807
SCGB3A1,,-0.021101045206708607,,-0.009213553206542048,-0.012526279200065507,0.04489700283420707,-0.03254517609490206,,-0.03489603441794874,0.019187476311171625
IGFBP4,0.0318229081151741,-0.021343135322134985,-0.016608181256444327,0.029186927454519486,0.070065493597872,-0.019072141222463566,0.08516259354892004,0.028692055697233564,-0.03386902062936366,-0.06993341358053226
RSPO4,-0.028291857110690547,,-0.006553402781758626,-0.009213551858851468,0.01802179829579491,,,,-0.0072551745411340305,0.10887731147646776
LEFTY2,0.06928944570022615,0.049949222452605156,0.039044921335373864,-0.010102772297445727,-0.022160855329077266,0.03354198346029354,-0.019548631991984384,0.08230205229082231,0.11182481797089239,-0.0086208016963918
PF4,,0.024681116349069956,-0.025140683187146972,,,,-0.015583021210936415,,0.10194042898991935,-0.04656396244811806
ANGPTL2,0.07536033648239907,0.05520376272819096,-0.053972449938041386,-0.02217371539793756,-0.024841640242932922,0.035322506717004175,0.05935626925652532,-0.06109735372857164,0.032071234459326914,0.00796256194452615
LRIG2,0.09952327905700427,-0.05022423997775727,0.014659822421169703,0.026207192735822376,0.02345891211348576,0.021650703143836696,0.023486919845998846,-0.002158489645909333,0.1068778815785409,0.017773083849676602
ICOSLG,0.060715656208465106,-0.008511569002866428,0.08631331637525104,0.033582420439625026,0.031051506748518604,0.012896521684378026,0.06931471705982503,-0.01291761595087426,0.07007034990343475,0.04201059508908419
WIF1,-0.02958551321377937,-0.02158371810492742,,-0.017337996976093832,-0.03622137238532963,,,,,-0.002286425341332437
NPPC,0.040357557203477674,0.02543740329937691,-0.031709215705001695,-0.012804582331981933,0.0014152863451654997,-0.029784158598287817,0.05466480766299906,0.031039566885524287,,0.046997692921343745
LYZ,-0.010121997955052527,-0.03850165595385292,-0.007436728798713941,-0.02102115834872109,0.009581166856549106,-0.047806794545550466,0.06891488568158226,-0.009570414554498488,-0.04041839168184219,-0.06128700772467579
EREG,,,,,,-0.040498194591491905,0.03568123068148761,,-0.05608650271729335,-0.023408817904198097
SPTAN1,0.08402379585549073,0.06868463739069036,-0.026232373560706623,-0.012333817532867344,-0.03227711281088756,0.03658825513695809,0.02827730850830093,-0.06217674877840107,0.06529879463236833,-0.08255238051151628
LIPC,0.20621267306881305,-0.026797824754795595,0.016487627495789255,,-0.016051631889290065,,,0.06684532378469372,0.05090783347408654,0.03612680044194173
COL8A1,0.10045910072096026,0.04454199588337484,-0.010555184041160773,0.00536869536125429,0.05768923874857875,0.08193260998367104,0.00574023543590886,0.08258178687321893,0.03597863767198251,0.18124340861462457
GSTM2,0.005297537005439503,-0.027315087839451725,-0.01481383490702721,0.05336735983734629,0.013980693307837952,0.08009925989259224,-0.0012474672014410955,-0.0379365128800177,0.03507848873721209,-0.00986016527745329
SPX,-0.07252974995494411,-0.02672097098551244,-0.02134390628818635,-0.05230030864415923,-0.004661357958201699,-0.020116134162166167,0.06373206799848484,-0.02831094830814485,0.09381326028121362,0.0197974954740652
MFGE8,0.03907122126173365,0.01337962673855135,0.002602270466381962,0.030502156464581747,0.006791584800462828,-0.0025389583161697536,0.02763916928919647,0.04220660659459199,-0.0030722778590918268,0.05269962437450359
TGFA,-0.03899812100223055,0.013973661387977272,0.0252350118160114,0.008990467340691416,0.03537626974331484,0.015447403744350332,-0.011632021116313054,-0.07187261629782203,0.07169163299873257,0.04152205389756272
SLIT2,-0.036964663662886955,0.054425372697588556,-0.030283690776915683,0.03796423670685028,-0.006029400583638112,0.1004455385115127,0.013653179285071874,-0.003335609560935941,0.01789195879304615,0.007019464664407712
PLTP,0.04227855828140084,0.04882362199153625,-0.07727015955435335,-0.011401077115614612,0.03355073160207133,0.03684383032576574,0.06576921024001996,0.09804213444444812,0.0040679410684443355,0.015907135935361784
APOD,-0.07232510434790577,-0.0010652536354085426,-0.008624784586304852,0.016959859498779956,-0.014832145795627695,0.06967788095831859,0.0597933402488817,-0.10480010998166837,-0.091262248298113,-0.14081575134524565
B2M,0.0790305853940735,0.07907231523548976,-0.04508686201964188,-0.004810850023458668,0.044344931610401726,-0.010154232408336971,0.0649949205862113,0.08901386175485243,-0.05510762812487356,-0.06973876721898917
