,UKF248,UKF259,UKF260,UKF275,ZH1007nec,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.020915617574470483,-0.016653375148844393
BMP1,0.037367283642585736,0.014548209564149277,-0.03434446938387406,0.0299490077803598,-0.02708654142969612,0.014528048573975896,0.10111070345955683
NDP,0.04069627458895328,-0.002937624236086172,0.02348205739826713,-0.032760611879270846,0.015933805907492268,0.03081501473464514,0.011839266547269271
TNFSF18,-0.02883149340179522,,,0.12831007198848846,,-0.02156990722222097,0.0011579236205399401
RTN4,0.05732737578000367,-0.029451239656905336,-0.08551282564090602,-0.01321961353072375,-0.05500718092858742,0.014052572270742325,-0.0022868606073897127
HEBP1,-0.0038078731678210095,0.05352980394329033,-0.0509932972138701,-0.015871261333682943,0.02113817301789888,-0.0210602423761203,0.015043968148492154
WNT7B,-0.024706837475211112,-0.012848713258568348,-0.022397096024000085,0.0006754947364953755,0.00800770104542519,-0.01184172237941222,0.0622492124722945
PTMA,0.04989041366515553,0.035357491294096564,-0.0045057763239125595,-0.03321964516676076,0.03002623685040479,-0.02372478148826735,0.06473201232703239
FASLG,,,,,,,-0.014443466585211713
CEACAM1,0.019404700272570154,0.0017176289799677293,-0.014777318839390426,-0.018581427682392813,-0.0031831647194250925,0.002998526755177149,-0.02009596239421495
PDAP1,0.050554785336444766,0.0031071428002644908,-0.04188012877309978,0.015913286212668267,0.0033656653955874915,0.041646328165410564,-0.0249326874322123
QDPR,-0.015258549341784826,-0.05607599640614614,-0.04830827214555666,-0.0057012812301829065,-0.005301298292027359,0.03556820097223122,-0.010563861056629707
POMC,-0.03546500966210685,-0.026829562242784637,-0.017745890502658422,0.005989378714257144,-0.06885822231626113,0.01893825272281956,0.002447478286493269
CCL18,-0.0228996345181032,,,,-0.04194784321012515,,
CCL17,,-0.01669895680813275,,-0.014735008514534163,,0.028548958854105154,-0.013091380174831656
VEGFD,-0.02289964178980972,-0.01860448194539237,0.08737085479578943,-0.015698905268068924,0.04924965400798813,-0.02908420410385961,
TNFSF13,-0.017280804539784977,-0.011518566672560836,,,,0.004116247037630628,-0.021331311301783333
WNT5A,0.03668534548771194,0.0026462259808145107,-0.014781588569506987,-0.004461751202720409,-0.016125272516288976,0.021859733059421498,0.0022342127488168485
CXCL8,-0.007886703172575267,-0.0583067053262309,-0.03743023682390828,-0.04437712794662977,-0.06250062611118207,-0.024628582350325206,0.02060340063237668
GRN,0.1173244516260516,0.012219700144247534,0.08897028806176346,0.03611398976985637,-0.09012915527018728,0.003327543912699275,0.042874445576882324
MIA,-0.03790731465579314,0.0006568830419052943,-0.04289988660194129,-0.028961854148665044,0.03609411158759168,-0.007474056894636042,0.02994286725907745
COL4A4,-0.015144158593870327,0.0465446083673288,-0.019339224451706088,-0.015383804770761607,,-0.042478650621973216,0.07756706440014935
TAC1,0.03697516167902134,0.0026092091872315496,-0.049415368016284336,-0.03087947273508532,,,-0.017209950427382183
RARRES2,-0.04745845567040771,0.04861532125973405,0.05229790647091938,-0.028412835133852135,-0.12261216713044933,0.01100120810931941,-0.03257909477855514
FGF7,,0.03186642755308685,-0.0005014548626326382,0.01614617288537717,0.027837836934963008,-0.031605841084563505,-0.0003169518626769319
HBEGF,0.07425399443732683,0.03228313245001017,-0.02530851187598634,-0.0021447821880167563,0.009383251361312562,-0.0515886234593686,0.05200818196934503
CSF3,,-0.019903700482529502,-0.04710443029350184,,,,-0.013783203740336734
PI3,-0.02409138100180644,-0.034347777918672544,0.028368878675104688,,-0.0020700779400809177,-0.0018341238291476303,-0.02994632270720943
PCSK1N,-0.030395302581695507,0.009492765262360424,-0.018174853296173438,0.011971348821795976,-0.004234794961376711,0.0485141859969535,-0.011058915416015854
NTS,,,0.004271928076254847,-0.017574208697852662,,,-0.020411045244995814
SFRP1,0.010297113936626214,0.167490241276923,0.07541804033371764,-0.006714797231562395,-0.059282485635529326,-0.07116829381689209,-0.019936744263698906
CXCL13,,,0.0073411299345202356,,,,
