,UKF243,UKF248,UKF259,UKF266,UKF275,UKF296,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.024882333276545942,-0.020753582164034296,
BMP1,0.08986342716359419,-0.010519583074779015,0.0032228675944264945,0.009713907221787119,0.02099559093574117,0.05427285274156033,-0.012683938458709012,-0.017431847894061648,-0.05722012962845664,0.028223375148001256
NDP,0.005905780549032131,0.035036713403307385,-0.01927664804476536,0.032725741265691895,-0.03452470393184594,-0.0007573665992352176,0.037451191959240925,0.037752552063719046,0.14790684770393428,0.1313485607851647
TNFSF18,0.0346921800551853,0.03256150858728714,,0.016948227722434827,-0.011674764661574738,,0.06214043579016909,-0.00648055796592297,-0.03500758275109478,0.22610860323319365
RTN4,-0.03552990066937506,0.009696622346617185,0.01563692381928712,0.001681957586004228,-0.031648435936501365,-0.0021578216745819527,0.04395619340034613,-0.03313166761479532,-0.054359461755199866,-0.11227422361508316
HEBP1,-0.03070884359122847,-0.017701562819500624,0.001538891798150119,0.052163599127651596,0.012687554602262159,-0.028175785041110988,-0.023794009517711184,0.012987714309121205,0.0846547406187797,0.05434319987855533
WNT7B,-0.0034742930281259975,0.03585736603438688,-0.024648099689990766,-0.006682265143279541,-0.03346462612583523,-0.024230062104525805,,0.010500585259211019,-0.011682669386301994,0.03796648101502901
PTMA,0.027889616390193755,0.05731695954360258,0.03451706734588034,-0.005768386204075526,-0.007276394230136722,-0.0035351784927660033,-0.13785654201120912,0.03306162117673632,-0.08725442269700753,-0.06541942189814422
FASLG,,,,,,,,,-0.01799957473068008,
CEACAM1,,-0.020601166602833943,0.04279282498764038,,-0.01836162348633581,,-0.031932032093627175,0.019816285856954656,-0.025043764581417247,
PDAP1,-0.030796099146599375,0.04315141195414014,0.029417860098273428,0.041471546716115394,-0.031945199832058666,0.056674451197660125,0.029880218294444018,0.005073658089876857,0.019979634487053182,-0.03031634298322865
QDPR,-0.010650807919818461,0.051318975836962946,0.023256165899882213,0.036401212849641436,0.0002248124259020364,0.00872154794841748,0.02834386610864009,0.014335094860742541,0.030964234268967612,-0.008883908036990936
POMC,0.04255320032187146,-0.0028818212354005707,0.03233235670803954,-0.03271133575160886,-0.013546473694648937,0.008721488620420688,0.08237141031116807,-0.022617716237833287,0.05082620947714815,0.051964397455817914
CCL18,-0.03588821811625252,-0.025708309439151762,,,,,,,,
CCL17,,,-0.016496630839604783,,-0.01456070453984554,-0.0018593270341645488,,0.033365102629464634,0.08441575475999301,
VEGFD,-0.019144259929310802,-0.02570831760274411,0.01358188362826782,,0.03866471573186577,-0.021998045668700755,0.04480360667068174,0.082911248627262,,
