,MGH258,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.030098160833514333
BMP1,0.12249209195283987,0.0007413260039884331,0.1054715814150906,0.1270188779195962,0.0198686509606416,0.10802360864249166,-0.03361716986035758,0.018886490989071376
NDP,0.03836939818888758,-0.01747207599302475,0.02379348141840731,0.06592482709154636,-0.04625327105332501,0.04579325967419213,0.016138207687133213,0.029361424480772242
TNFSF18,-0.03443720859933503,,0.06778019422390527,,-0.01421744584242686,,,-0.03461352633716419
RTN4,-0.07354689643423026,0.00562682753358159,-0.1826118256080564,-0.007082071562192785,0.09814896249813544,-0.10079048089797286,-0.021608463595951432,-0.006025811263669581
HEBP1,-0.005629826963423637,-0.01621611480361631,0.03331341900908524,0.033990399439514166,0.0064264625150198765,0.09295599549619792,0.06199389328849774,0.025122095354548197
WNT7B,-0.030338102172647104,-0.01156694242827754,-0.0522303713902656,-0.0718455619575642,,-0.03710217368020039,-0.02365267817776414,0.0417532085202403
PTMA,-0.010453712501280901,0.049681843012670285,-0.018148091438868218,-0.07985766615084702,0.03718556371144745,-0.06271412433667828,-0.0181166404257629,-0.02630009330109722
FASLG,-0.03033811074915087,,,,,,,0.007730633800459454
CEACAM1,-0.008704250217952342,,,-0.006835499234993592,-0.05783481041074613,-0.029723153460376628,-0.01569862650404825,-0.013228838153160543
PDAP1,0.06043973727797772,-0.007666721885750984,0.13722946697293742,0.022938042334063803,0.10321118416928772,0.04570402076024147,0.030687385124627084,0.03657192891935705
QDPR,-0.14103614298764192,-0.004269369173052525,-0.01331923818683592,0.1065720107210335,0.06258712981314891,-0.07187096705086765,-0.003652677568571672,0.05028318414871646
POMC,0.03183654486546952,-0.021957216354452663,0.08605871829316282,0.06872672018064149,0.1012636290795957,0.09083156872466966,-0.01093351151121879,0.02708931673598976
CCL18,,,,-0.013033991548114342,,-0.032623566713449716,-0.024442909257072563,
CCL17,,-0.014316632188856279,,,,,,-0.023660456965212028
