,MGH258,UKF243,UKF296,ZH8811Bbulk
BMP1,0.033417382206675374,0.040613837534448846,-0.02082275483268274,-0.033668262956323664
NDP,0.01096109834488547,0.0469085671582331,-0.015948274836953512,0.00253059220215981
TNFSF18,-0.005780825314174401,0.07183059307866435,,
RTN4,-0.08014441560566136,-0.023083732854076694,0.010510384232143597,0.03276297997481598
HEBP1,-0.021478392159614966,-0.011784101438206757,-0.003640643364866273,0.02205848480376193
WNT7B,0.021161730113575937,0.03128980987907154,0.15850808560596924,-0.04000709920585201
PTMA,-0.03083336958300965,-0.032777503117184775,0.04120937825109456,0.06434046214683162
FASLG,-0.03532310814510689,,,
CEACAM1,0.06277592622927403,,,0.04404074123930733
PDAP1,0.04724247322594851,-0.03491995090343509,-0.03608005252943524,-0.021114681963550264
QDPR,-0.08873774228509379,0.08695146026627228,-0.0007752497641891131,0.026728177140494608
POMC,-0.006856630522158572,0.19108204734710485,0.023714847716222776,-0.03569816068616103
CCL18,,0.005156423195562382,,0.05945361046669798
CCL17,,,-0.014510830837593292,-0.027978523142050182
VEGFD,,0.07362062209105015,0.09582261378331791,-0.019381576984841793
TNFSF13,,,,-0.03041169810013524
WNT5A,0.03867612095955838,0.05190816592361549,-0.004319780056120097,0.02668914368851393
CXCL8,,-0.13901576078815278,-0.009912034466410872,-0.07086810363691873
GRN,-0.11048063976669219,-0.007512850095737537,-0.042373083328044986,-0.030632227531608342
MIA,0.10769175072400523,0.1140899967502573,-0.012105160438838136,0.1256932551413237
COL4A4,-0.028467799448161853,0.0576437950424578,-0.020335706845773644,-0.031032935235034968
TAC1,-0.021839194942799834,0.11580853860759631,0.015082440726804395,
RARRES2,0.07637501274089156,-0.01498763722349464,0.027797203858266614,-0.03922777456787515
FGF7,0.09328690175945992,-0.020972216187104212,0.013417439208438246,-0.02960777248792456
EFNA2,,,,-0.018420891849319745
HBEGF,0.06932397547290074,0.12880283909065604,0.016816058225572778,0.07486814139692911
CSF3,,-0.037021107000079954,,-0.08209828600171243
PI3,,-0.043857021865474195,,-0.10243020393896078
PCSK1N,0.07065477820516074,0.07217079742188547,-0.04854959699364009,0.05041094261566149
NTS,,,0.021229883752304987,-0.0033382631681514526
SFRP1,-0.02368158559529466,0.11087319121496443,-0.01451083098372928,0.01956644775540207
CXCL13,,,,0.015169002358495534
MICA,0.01602693452661966,-0.005122605144825436,-0.01311824723352845,0.011933823223458954
TG,0.033106935440402226,0.009198902020695314,-0.010501425262125679,-0.027640221021842763
ADA,0.09960678977599738,0.0371230575886725,-0.017055159150873783,0.06032700482616521
LAMC3,0.014508868986485726,-0.005746504403607233,0.05571597633056711,0.04056847843640609
NGF,,-0.021328912123187608,,-0.018173284071823875
TNFSF15,,-0.00370167954926886,,
HMGB1,0.016733816244650257,0.04519094112978807,0.04628008896584404,0.022505674578549704
ITGB3BP,0.008442054226478405,-0.00785531128850189,0.030736731459602876,0.013767772812187482
AANAT,,-0.03822870246101058,-0.01210516111215807,0.04434574957256095
RELN,-0.018683868078930608,0.25464038433189046,0.03111812659788692,
IL15,0.017682158822430842,-0.005097917175215919,0.020435906623742225,0.09298034882441243
BSG,0.09438436342229153,-0.023092506048998394,0.02159866222098445,-0.002898149644533317
ADAMTS3,0.04073432618494892,-0.0011791227428109192,0.05393054473896514,0.06081506287034929
CD34,0.07286888166387437,0.037943899380371224,-0.022648427760393483,0.008629405388243593
PLAT,0.07035245019509222,0.06603765904117048,-0.015300676920722494,0.08702729162059597
NTF3,,,0.009840859434453106,0.0637027476812542
CKLF,-0.04831933576438627,0.05135626590796554,-0.009310732364845791,0.04808200473046865
CD24,0.002451376212862222,-0.06483678768965404,-0.020923596436494017,0.04553509968278778
HSP90AA1,-0.0817982622920306,0.034657329094760096,-0.02791513301724791,-0.09510407835196782
BMP4,-0.019334496972390258,0.004957046643476428,-0.006668103152825182,-0.012879741023953867
SCGB3A1,,,-0.010210821794927107,0.0034397103743213117
IGFBP4,0.07754651819785828,0.00977594767946247,0.028401546679841454,-0.009608560541430033
RSPO4,,0.06747670957957994,-0.010210820301363435,
LEFTY2,-0.02914903031127057,0.047894810812748385,-0.011196289341521138,0.07371303519454714
PF4,,,,-0.016884022717656495
ANGPTL2,0.043062587627233556,0.08313281907064479,0.05122833482342856,0.06980836465668121
LRIG2,-0.03057112191457856,0.03192969337834966,-0.01166607914725257,-0.04610871076860954
ICOSLG,-0.005348430955407006,0.03283839724009908,-0.01937823014398353,0.021233113673026435
WIF1,,0.03344297966935547,-0.019214649705194736,
NPPC,0.03188898918598274,0.017131002267777966,-0.014190541414305228,-0.019452852889690998
LYZ,-0.017692445992362124,-0.03660006179925865,0.03469843719384763,0.015580432719181683
