,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
DCN,-0.05131879745024234,0.024390324862442622,-0.043030931738832906,0.028856247502417973,0.023049123813225,-0.020586546625193703,0.006212651133793106,-0.10582505858610892,-0.024024739865371306,0.036706924084611695,-0.1904643092887134,-0.07507960364579706,-0.07960526932646841,0.03443606781456738,-0.023322478532706727,-0.03846814292217454,-0.13882916536776344
RARRES2,-0.009850182166894235,-0.11902814940644532,0.02809987457329181,0.040194346546901995,-0.04338612224846551,0.09292122245018829,-0.00362209789021178,-0.09560058584760364,0.0596919502070903,0.0511379722775004,-0.1267100220818141,0.09488680680686151,0.06800802927878939,-0.0051960951562716835,0.025156043589136354,0.08706773716709781,0.048053640852385955
SEMA4A,0.0702633725942485,-0.091202812039225,-0.024236104916130246,0.017817100342462255,0.02178544440100483,-0.014960616497403862,-0.01627016449443127,0.003812267037713479,-0.0180970011283965,-0.009259018654054424,0.1061525513912899,0.08811446227904729,-0.03580397171269986,0.05967247639315212,0.025631037253198253,-0.03375361492462977,0.101828220263036
GDF11,0.03658835516599718,0.01864773056297449,0.046932748296852705,0.1583672920976064,0.021210878052270263,-0.043207229293991,0.10633214626589366,-0.05860197895539542,0.061702193298163704,-0.03419695117897265,0.1298466515991962,0.0017244603455366376,-0.02556244329960199,0.020814752617978004,-0.02355543222554527,0.019553845220695726,0.073154566725774
GPC3,-0.0100754628712927,0.1468399506559724,-0.02191462008912873,0.00741627786956105,-0.019205148437846712,-0.04544823606934581,0.041258715641750765,-0.022264953087665306,-0.017095566095844665,-0.03886537258690675,0.032539048199667395,-0.019137782105727297,-0.050978090205674086,0.0538177949741122,0.020076972715032778,-0.018112642479616737,
OSTN,,,,0.014848098754999005,-0.013339943382853566,-0.01307766935148095,,-0.017071961940151474,-0.004270834177054746,,,,,-0.0161138052418621,,,
GRN,-0.018173764931564893,0.02859914475062426,-0.05425701571220998,0.14108893552946727,-0.016148522191659756,-0.008945227961104425,-0.02916977132884646,-0.0686519793192302,-0.04681351539605929,0.11224113663170807,0.028080629029882658,-0.01558911107022314,-0.06848332856292906,0.07860292335266351,-0.013566453486974004,-0.03404200493474764,0.0014374228439770415
CALM1,-7.268472376740885e-05,-0.06804895310183307,0.020415067184495483,0.016465213003311392,-0.0003465771883901727,-0.008380636817154388,-0.07134691069975188,0.07665220907852535,0.004241714751004092,-0.15781785725397576,0.03752112111991081,-0.060206570540363276,-0.012880775763549394,-0.02425125715876386,-0.05953160721913108,0.005226328350342732,-0.07833824202303084
ANGPTL4,-0.01584028378187163,0.09416057655636527,0.022058076974201434,-0.09552825703738335,-0.01974076314373787,0.06669778760655187,-0.006088977096368443,0.008648592716911652,0.00044836663833110283,-0.012393982115213188,-0.10266094772442708,0.07292943341921662,0.13398474821216527,-0.015369910693541452,0.07401768341423025,0.005741254567089017,0.05270039716508505
BMP8B,-0.04132066857117893,0.02426983327696343,-0.01940543672787479,0.07303023614557898,-0.01896697232128674,0.03364430785057995,0.013527063055651881,-0.027253218612720526,0.05486019160745832,0.14677206341856644,-0.03314927306121369,0.013798440645643461,0.07964962549694286,0.060826451611928234,-0.010928721306898401,-0.05697482104754637,0.1300090728857046
TNFSF4,-0.024988975276790504,0.028588610912839877,0.03834972564991118,-0.018093348304024964,-0.029503716352497506,-0.026376877175601048,-0.018321214637023582,-0.026144364049509827,-0.0023590167110039174,0.05409308963217078,-0.00527290546723648,0.0006559357934136108,0.04979110632755301,-0.026672795127670696,0.01897224580772669,0.11574155953036876,-0.042263857933072725
RBP4,-0.04232789936324122,0.0034445052800867464,0.03017335766588427,-0.012659506274874962,0.04934926587806676,0.07240040226703873,-0.01164363331597919,0.027432666489516366,0.012094969916646799,-0.07586631370280335,0.08155468775467108,-0.015348788524961925,-0.03362595426754855,-0.02168418451596305,0.013112832544751924,-0.022373624454514927,-0.028425205453854106
DKK3,0.017994267464755256,-0.06681668298254995,-0.0326103910313548,0.1451525312995331,-0.01003568665069601,-0.050499288740421394,-0.029952705973291964,0.05828098964859753,0.044644466361585304,-0.18109020481462684,-0.09397795675099292,0.03724808001467342,0.008848847602194964,0.07571029905575852,-0.015265328537937503,-0.03546959391331458,-0.08333103143815737
COL11A1,,0.038041719021249,-0.009729832320864521,0.04743795392451695,-0.007838377083315532,-0.05245029925498045,0.08679406634973608,-0.029944621352524424,-0.026671268291727102,-0.04872267520997317,-0.06980159975375674,0.15228392153284998,0.07968331693031272,0.08324167221340947,0.06937270358609224,-0.01280273145573576,0.020425841811395635
COL5A1,0.03093197808696239,0.06797910754740501,-0.022677658090578454,0.0020155943715102183,-0.052628201849433676,0.017374854999853553,0.01589554314826214,-0.03548362963688173,-0.04286571322524895,0.13031796441548568,0.09908719389489871,0.03541499002504937,0.03559863429489356,0.07817631499483535,0.03409852164851704,-0.03742627762740024,0.08666839615887163
KISS1,,,-0.006633574814352472,,-0.01932323778432225,,,,,,,0.04249577755587534,0.014223438706869852,,-0.02937903802651036,,
MEGF10,0.12994917590748006,-0.008263185061918867,0.06419978832313979,0.03354438906497754,-0.007039128782121344,-0.060777768077809234,0.035283966848758494,0.010598210591132739,0.03275715786503039,0.053002326406692,-0.01825098162325856,0.09487673528222726,0.013617367345325806,0.0016755742273887955,-0.0006065888293106212,0.04697454472863139,-0.0666428559713513
CEACAM1,,-0.026155770952435747,0.027429051148960285,,0.011433608090038808,0.012551145698680172,,-0.02970389904776379,0.005654380000098149,,,-0.02226729252993656,0.04506240647628483,0.042121824324287134,-0.023595993297348777,-0.025928567785922983,
EFEMP2,0.008612002666272755,-0.05531263586091596,0.00889518729861006,0.09518721481387944,0.025473123386998288,0.04352868928125107,0.0417578424762806,-0.06864189132251373,-0.022177705271586457,-0.020455461273783372,-0.057697320902838654,0.11369183656210388,0.11960264897410117,0.01104264588339599,0.08275442470666877,-0.03702773721825763,0.06740283354279586
