,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.014513716635950628,,,,,,,0.03726497000114711,
BMP1,0.06465326451209356,-0.049665656232636406,0.009171892869567,0.08200008357128682,0.011592553409608894,-0.004133524362410783,0.0025642229127289377,0.07913896426498718,-0.0420412598420736,0.01778802522002623,0.11867545646967612,-0.011005691450715558,-0.027848446107113588,0.011775079978473683,-0.03419195937270268,0.07112124741494799
NDP,-0.021425815869527274,0.009936147273326111,-0.028751047977425344,0.017551712917468376,0.00917225010598867,0.04028039036410312,-0.0070057438945755135,-0.014199980879302127,0.0019871121598679454,0.014315772133974069,0.011378385077391077,0.06603331220606207,0.028456778422465436,-0.08362291993597985,0.053189255401980544,-0.04632198383415737
TNFSF18,-0.02450430544503359,-0.030427362234391683,0.1350384138441072,0.01055228066641189,,,0.039797779638982726,-0.021552433490673397,-0.0187081973878124,,0.10063419582999157,,,,0.06297483060077712,-0.04677379949508872
IL36G,,,,,,,,,,-0.01777128029647116,,,,,,
RTN4,-0.03460852604125651,-0.06481302363710947,0.031711070900136626,0.05635488981748851,0.0013532237986074722,0.013082605235846778,-0.09844956677544704,-0.055806927308018416,0.02247680548000403,-0.008479636163767837,-0.1112450339381567,-0.04853831148116393,-0.07528471561559008,-0.05424094858895173,0.05340422341947613,-0.014602994725905556
HEBP1,-0.105955530381902,-0.057219627887908124,0.04035490068411131,0.027797442259161413,0.039419636609332696,-0.02563716932495043,0.0747908814012059,-0.00533282694663596,-0.02741102900637943,0.02360314198963257,0.11342972483655224,-0.04348916863584804,-0.04592287931286344,-0.002533035794673311,0.03693511927808041,0.06604207784065026
WNT7B,-0.021587525600885574,0.09418203870660119,0.00682879439434264,0.059983905736337065,-0.024950398708535736,0.059884620180819664,-0.0014999031842895607,0.010474787291021378,-0.04186263117991656,0.08426897097544105,-0.025697305747978166,-0.02016726419708862,-0.03849414759312808,0.03836240466361106,0.12958656850549205,0.05462194374736432
PTMA,-0.04024538442727472,0.08857324012467808,-0.005726419519272327,0.03179061663365084,0.004866382071892033,-0.025980420013449038,0.1584266780337453,-0.017635976339700394,-0.003322068906903111,0.01318218807532522,-0.01566217574500414,-0.06660217858645812,0.0443600523710299,0.07404116847334628,-0.0821957792392786,-0.027732512934767986
FASLG,-0.02158753170362376,,,,,,,,,,,,,,-0.018320050760778177,
