,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.017312741420181948,,0.036305086340094814,
BMP1,-0.020392558536899603,0.07618518800375583,0.0115362121852838,-0.10334696149291893,-0.056504335318340225,0.047622441904492656,0.019497550760492355,0.01260025389218595,0.0746535771711525,-0.061217300347099234,0.0631062321717214,-0.06588330823701756,0.0620821399729604,-0.0019327582441958405
NDP,-0.0005115984432141651,0.07954736990793379,0.029204765323952265,0.004796830239334735,0.00956559236055384,0.04410519244051655,0.005282299378796255,0.07534450055813677,0.05064127806534642,0.04749275424161007,0.06761728412873154,0.08032856887672507,0.02921045328543087,0.0028917719484239744
TNFSF18,-0.02288514842079886,0.0231145356489747,-0.02723213112352285,,,,-0.013506324708277803,,-0.05610292290599292,,-0.01785432463880192,,-0.02731047903978646,-0.030906818072852314
IL36G,,,,,,,,-0.018385989607651265,,,,,,
RTN4,-0.0406463709485318,-0.12714552550743213,-0.057659254489847545,0.02155137557182089,0.02647989773540769,0.028083678044939255,-0.02541580499935892,0.0377774056818851,-0.053976932976606364,-0.01261897874430955,-0.05857935614314212,-0.010536694898903387,0.029934408047907507,-0.0141310425950923
HEBP1,0.05771483485657281,-0.003772378318096792,0.007981080755814865,0.017296624281338314,0.05196291192245414,0.019783674658353064,0.017355461881303248,-0.00823612972313788,-0.014576808973546301,0.003792351559144781,0.03383898402363303,-0.0027508150742831324,0.04688094566031838,0.0003995345440765817
WNT7B,0.1210187334940713,-0.022787227262746162,-0.02229206789169143,-0.035287103047161664,0.022430827386973703,0.04277305119451476,-0.00683892169540611,-0.02020832140598204,,0.0026785632840285655,0.029968396104505586,-0.022338912311980718,-0.03455725761682425,-0.03932402865683651
PTMA,0.08155893514575777,-0.06878686361031211,0.037357977463660076,-0.004953006562332354,0.09815419242911552,-0.019473781136716807,0.05089979274523936,-0.001659183048573486,0.017473905464202907,0.031975276060664026,-0.06713829441561371,-0.0013127502398863765,-0.0057105717836622915,0.07282501043286464
FASLG,0.07633399751851985,,,,,,,,,,,,-0.01404201518003797,
CEACAM1,-0.027993870285522048,,-0.01733250514458667,,-0.017751362036075573,0.06887962462080055,0.030409245209848328,,0.23119093920795994,0.07453117914949624,-0.006516895159305629,-0.014826660991910582,0.02321011366225905,
PDAP1,0.06730370238952996,0.05861502930978401,0.03071326136660171,-0.03123286766564756,-0.027828422820762352,-0.005364859010518359,-0.048271379716815235,0.005187234919873847,-0.08586411650597754,-0.0058583989737061495,0.01621440671913198,-0.014385230911566835,0.02344939468065016,0.03485040321762021
QDPR,-0.009475960310273096,0.06306429329798795,0.043775572686665994,-0.08412037034685634,0.012154787186397781,0.028278984936053336,-0.05270595861048913,0.012901203594213678,-0.050242617084061345,0.07092125524224356,-0.09496985403241216,0.07054371773393249,0.034677978347953324,-0.09289924659009079
POMC,0.09987881286489109,-0.045955188230653345,-0.0052380520511122785,,0.016353959702140215,-0.040740387286228814,-0.015671671136486404,-0.0031749381814405423,0.04468387978928933,0.047771179392720874,0.061876041013354165,-0.024254469669081048,-0.009503076464135788,0.0486488628121644
CCL18,,-0.03263995703010626,0.08907748218751471,,,,,,,-0.019950739925097435,,0.008665247091785453,,
CCL17,,,,,-0.016496629196115213,,-0.01684501651187221,-0.016796123484657415,,-0.04131638010263351,0.020220561810683758,,-0.012727509566910506,
VEGFD,,-0.03677569141112249,-0.005781109690445903,,0.10889203708994348,-0.019370534452348525,-0.017946940322300795,0.0012808572278355736,0.044796481994975434,0.00018960644410521055,0.01875441826912633,,,
TNFSF13,,,-0.01632219075818291,,-0.01137900561401681,,,,,-0.007051068407321942,0.11991739636164404,-0.01664934657350659,-0.020738414517221422,-0.001473830698116053
WNT5A,0.0010326866139279997,0.034557090773240845,-0.017088497201850728,0.04224044924409814,0.013309507346960446,0.0031300121415183033,-0.009275513078867717,0.029397816716662643,0.025065587423160302,-0.043589004755811525,0.03448855374590784,-0.03732896430169264,-0.022378497225853743,0.007156254932229784
CXCL8,,-0.09699804344561908,-0.07310693080092165,-0.05241534635752947,0.03161238796023813,-0.04427805005433965,-0.02357741678275237,-0.027998108431902983,0.009787025438359808,-0.10838855067592132,0.00012364820527452957,-0.04262708980718998,0.012338157396973273,0.027423014921040514
GRN,-0.0815731478722779,-0.011747726809130806,0.008310992506807814,-0.010916923038852727,-0.04606621206052498,0.0034605974951720064,0.0203709951035716,-0.026070978768510923,-0.05865047593188363,-0.017930400116160015,0.02429320746165023,-0.05464477857156829,0.01741806337942872,0.03329536118630573
MIA,0.06224611312109621,0.03875248156584921,0.028382253724895064,-0.04702569342522912,-0.0014013033449753768,-0.005440470406446146,0.04337319636928755,-0.024653092781205022,0.038311518157151246,0.09041984400009138,0.05136008181052265,-0.0850639913840433,0.0372980706990384,0.053984478533112806
COL4A4,0.01880117059334962,0.24857668478133502,0.055012591837999225,-0.019790722747793973,-0.006313475935802066,0.06106037659471829,-0.017586718400826817,-0.009685202238184663,-0.041994318945750765,0.00978840984930209,-0.006511738665990318,0.022008712957292516,-0.02617371846258942,-0.00953663696011611
TAC1,-0.02016109370660654,-0.046366106092134665,-0.02962173201188368,-0.08085005940860045,0.024391413379712443,-0.02874788083108336,0.0023883898856494634,-0.026398960703548843,,,,-0.025580214067182718,0.03262663075103072,-0.08177128678156584
RARRES2,0.01920717502183149,-0.0349424186715059,-0.05359982821287023,0.04483474698917952,0.003748709273663744,-0.05096134714097581,-0.021768639471182325,0.04690584345659794,-0.06261451165632881,-0.08370325144857424,-0.0028883937171270695,-0.015057100122055782,-0.023988672589911497,0.01721410343216202
FGF7,0.006822388065981667,0.020400600716586163,,0.07918754299213733,0.04199231268738869,-0.037088939982974564,0.00184940602832757,0.037982375304570035,0.05325770676748983,0.01857439433709872,0.014431710105206044,0.06511701150847322,0.07757394129910546,-0.028685221671736615
EFNA2,,,,,,,,,,0.11463600730445674,,,,
HBEGF,0.01923717160994715,0.03022907239699877,0.01139708616377215,-0.03959005530008031,0.0342679283748516,-0.011672423002063607,0.013858200208504609,0.04449055922159258,0.054526386117509956,0.05573482742552003,-0.0029834294224161556,-0.030931333631764653,-0.06503488471609947,0.06711642003118584
CSF3,,-0.03702112222464647,,-0.02504740762939902,0.0551734368784936,-0.005968868208371689,,,,-0.07495085135021755,,0.049108550721191246,-0.013400104123862422,0.0008922712917869798
PI3,,-0.043857039901243525,0.007551228061234781,-0.018000366020241434,0.0853024112758389,-0.02853546887986335,,,,-0.1260437933994497,0.007494697355094825,-0.03333657139178844,-0.029113974512981287,0.05330679810005354
PCSK1N,0.017929243256073254,-0.012003306950766022,0.05500734797614107,-0.016721482227430282,-0.07729254873291672,-0.018715164435585994,-0.022954903750459506,0.020822052554814646,0.007255157892280177,0.0025627767064722033,-0.01358398589334399,-0.01950571579351496,0.020306290952088423,-0.057593697218304526
NTS,,,,,,0.02344990411408715,-0.006526446049612887,,,-0.03314103168294794,,0.025529621162907384,-0.019843726952927482,
