,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03967431402200305,,,,,,,-0.020255340637868265,,,-0.017760867335046948,,
BMP1,0.02383898652258125,-0.02462883678637175,-0.035845067912558363,-0.03215808125367954,0.0001898306841479085,0.020856817344412134,-0.1364016152048346,-0.26813096285935395,-0.0576778809835423,-0.030791664704578177,-0.18239386350342998,-0.224870644336689,0.08810348078434141,0.034651666146358895,0.038782818544022,0.11138652449516906,-0.004727854668809216,-0.0011456871840501168,-0.06071874153623697,0.02819196954340398
NDP,-0.011295783556088599,0.09374069322923434,0.022990706069719508,0.006650373466548817,0.07051302342421618,0.03979567012465034,-0.005977525480936932,-0.024237339784831877,0.022149167085336936,0.07789830929084259,-0.06864855721977604,-0.09074148754102912,-0.07718877001870765,0.04775608462435353,-0.07261052512906353,-0.04535324018932547,-0.005518968458859138,0.028449866337731437,0.10285545089579462,-0.09118161080585252
TNFSF18,-0.03750732738002252,-0.029826106817126948,0.01734195963587781,-0.026442032169889135,,,-0.032626249834532134,-0.03204283386803914,-0.024839981043064053,,,,-0.03219186056238776,,0.12256888173877438,,0.05826174262522134,-0.014781636171477352,-0.08340687582017739,
IL36G,,,,,,,,,,,,-0.03396781353184854,,,,,,,,
RTN4,-0.028616045226957782,0.060330946362098285,-0.047283837813827084,0.02768748000979585,0.05543179759818884,0.11180773657029505,0.23530818912140516,0.30203491275797556,0.06052270985615888,0.1446701440268409,0.35713085987976473,0.2918197822319629,-0.02970001753989478,0.014668029050840827,0.07838581227649351,-0.10338388867412483,-0.06535990787378418,-0.05584385484419146,0.13877413368665598,0.03024036434263266
HEBP1,-0.0818925585096314,-0.06368335458178966,-0.023622690392481868,0.023381733567761128,-0.017321898241056413,0.03065769293989562,-0.025076490884234696,-0.14068719954684436,-0.02634053334400974,-0.03689126468537785,-0.1852650237517245,0.009206123164377371,-0.017022367520610537,-0.009918670360280643,0.004153142760575819,0.01871140536655067,0.010852447410353194,0.004573789036310534,-0.019109081613529186,-0.10658180761027818
WNT7B,-0.03304278065963859,0.14073747625354183,0.013578643166533679,-0.033351123527946606,0.02026125840165968,0.0829243391669957,-0.007866176061327296,0.2231282320717659,0.013711894314471356,0.03508613800051828,,0.0861498993698186,-0.03544009637944446,0.02287957399968466,0.16749835646485756,-0.012663143659940354,0.03267079632221851,-0.03790907418898167,-0.04433257529196126,0.03155629942507775
PTMA,-0.09060156044421297,0.019906429206465733,0.07528693584272793,-0.008214164817625,0.004405050686537909,-0.045917432108522796,-0.27966256141814744,0.08209961471043013,0.10620175755403931,-0.17131772314101598,-0.4584271922796618,-0.30965314383340065,-0.02838167296655244,-0.07621472489215529,0.12218719835368014,0.014099041277022354,-0.004308896369177697,-0.0436541798995445,-0.13593780566532307,-0.21543385211561486
FASLG,-0.002481868494796437,,,,,,,,,,,,,,,,,-0.015403994180478768,,
