,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.09324343441932328,,,,,,,,0.007942618638519097,
BMP1,-0.07050038702294048,-0.05692397041961224,-0.012796580842515441,0.06856464426625014,0.07671395342838437,0.07634649752462373,-0.022921278017672946,-0.018560666891293785,-0.011883719555395111,0.02468015112323141,0.030076236185748062,-0.03204629576213427,0.007144251760157704,0.02342324721808693
NDP,0.028790466943633564,-0.026370888483116466,-0.012877972276618172,-0.03017277383198471,0.017777176210519087,-0.012326419526660685,0.05513326957650218,0.008049872726589283,0.09044884381862375,-0.050374689739778086,0.040157642933324744,-0.04591401847059164,0.06535543877624132,0.04054364100148654
TNFSF18,-0.021544826325419795,-0.018682019934708943,,,-0.02102514286370726,0.008295817877077971,,,-0.02488529645096877,,,,0.0018123391529905409,-0.0025382413171524433
IL36G,,,,,,,,-0.006261859248939509,,,,,,
RTN4,0.020446245259750657,0.006711143198131705,-5.6603086759915285e-05,-0.00464781780526027,-0.11387732068975959,-0.02598415981971958,-0.0409040941204063,-0.002944703528478073,0.10832639654749975,-0.04809533201132374,0.012668162042890101,-0.04530458710924767,-0.08039136758605718,-0.10131203296818117
HEBP1,0.004263104542779182,-0.018839542800440166,-0.022353322064234953,0.005284775994170825,0.05171136644780035,0.005445562397385734,0.03856096881173654,-0.035136868449311326,3.5563820594419257e-05,0.006618919005741892,0.03210387751288296,0.011653765796580885,0.022054581964324808,0.02275949715426974
WNT7B,0.08492440508423953,0.00045244798692467596,0.01948346108694899,-0.011997265008574023,-0.03323174414060924,0.027491992065990793,0.060246966593770844,-0.023894855431228695,0.16523703619480676,-0.008978530136664215,0.0001758060511343638,-0.020366673885378588,0.012466378460301386,0.10674973044327435
PTMA,-0.017138275301959775,0.017510821662725422,-0.0839905300247765,-0.0026289300442305917,-0.07681473720342466,-0.02868884743415601,-0.0030824998239584295,0.06637550474594649,0.11599271024083717,-0.05054468694889611,0.021317835641633955,0.03310541375802076,-0.019552477397864535,0.04460562112636651
FASLG,,,,,,,,,,,,,-0.014443461604581743,
CEACAM1,,-0.012471339926251233,0.0018532942317629484,-0.021637412836179138,0.09931830341180994,0.014215933680209236,,,,0.13966337189515396,-0.01956087749285854,-0.01351765766452986,-0.02009595546439987,
PDAP1,-0.023514189237043282,0.047380600554013066,0.039414805623216885,-0.02246353608444797,0.0907981152994714,-0.028656436030067907,0.036516445413112025,-0.016754774528289697,0.016014926173637145,-0.0938650458160824,0.037057224828796115,-0.011270742579416971,-0.026395856234559215,-0.016611969124529523
QDPR,0.12521356413433718,0.04299909543667377,-0.018348685206376007,-0.0018275457738901354,-0.11288967006541123,0.024701444182375555,0.01024172884021365,0.05158002483999478,-0.03200893523336373,-0.03048868761837645,0.0041799979355141344,0.04131639160974791,0.0207306106446071,-0.018591230986591604
POMC,0.10382176457960092,-0.0159291022362796,0.03717468989756804,-0.03412659722133098,-0.014395575829237965,-0.02333884068229453,0.0007300371397780099,-0.031385227109603724,0.10556426935943115,-0.04985480030712769,0.008688888620851664,-0.02211311218353496,-0.00883708733821754,-0.006363563119144908
CCL18,-0.028893383609069078,-0.014782272065604935,,,,,,,,-0.00428720254786644,-0.010546990302596699,-0.00850124116690803,,
CCL17,,,-0.017520583837214505,,,-0.025086230641089703,-0.02156475533922104,-0.019860182070943776,,,0.016276137903062066,,-0.013091375660450011,
VEGFD,-0.014587961702352808,0.04135933614622269,0.06810158077867592,-0.02070145153118584,-0.006792965289786888,-0.02672725692550072,0.029212433079146925,-0.02128477226153785,,0.017006756499213186,0.023188570543214975,,,
TNFSF13,,-0.031077132607876066,-0.01951610584384163,,,,,,,,0.022600468874949733,0.08189807946899177,0.09628756832362757,-0.006628317305000833
WNT5A,-0.028902712855549035,0.027620889342799312,-0.016957581892069886,0.06751398876202414,0.049282889263767844,-0.018961014087604797,-0.03579561876092211,0.0631207595853203,0.05791316977851665,0.0393080565504083,0.07051932755637536,-0.03054732879921424,0.01786826253619858,0.044814002469020474
CXCL8,-0.012022432476607644,-0.08134406024525179,-0.004874748707433182,0.04781206028115505,-0.04716351835061611,0.023319983558761213,-0.02102461778980312,-0.05345032257583284,,0.07928213378753927,-0.031969067444808805,-0.019667398427316816,-0.05037717191528085,0.005122472993296687
