,MGH258,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF296,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.014665461341267493,,,,,,,0.024894763986176252,,0.015484420607785989,
BMP1,-0.030201756688828952,-0.00857904133487799,0.0922702894247608,0.12103860448066074,0.07070520996594731,0.023503184954846067,0.16987957447810337,-0.003693142048727784,0.09298763057762043,0.10001187928646445,0.06355335668811275,0.047944628703012804,0.057404207872585315,0.11739276503360364,0.08956841766415238,0.23408865931433143,0.15265627966207188
NDP,-0.022953076485373397,-0.047824257715307295,0.012926437306886482,-0.006985375165019046,-0.020980681770565834,0.04388726708660158,0.08112621114562112,0.01584654483132512,0.05826941701857967,0.034899762566742834,-0.018970859086862465,0.041807633487535474,0.022055382408627713,0.041616028639372936,-0.005811050801172156,-0.03734275396747323,-0.03393268478900684
TNFSF18,-0.017829522751058625,-0.01898587156715039,0.06718570349030392,,,-0.009952226147035372,0.13598491565186255,,-0.024507793190574216,,,,,0.06721104695201653,,0.042209123714206855,0.1265349311162641
RTN4,-0.041526361135547044,0.018271337295192754,-0.0047699408483039924,-0.03626584583240549,-0.04738618258817864,-0.05648508431925671,-0.1404997978438353,-0.04615216508501356,-0.010599734799268188,-0.10327465088538547,0.0021321904602371877,-0.06335458186713083,0.01953334031307095,-0.11987618595417007,-0.017329528653282928,-0.06370854524293999,-0.10900702284627135
HEBP1,0.08539049290263807,-0.09696235688344902,0.06660588694791901,0.0043354564137216885,0.01428332938445338,0.06802404312403128,0.06236878458098219,0.006918798806392659,0.09434309403498194,0.12286082013237648,-0.030322320087055446,-0.003975248884126356,0.05630308808142206,0.009986598356765509,0.030334688753859727,0.060036970174726735,0.04364289123376231
WNT7B,-0.015707251107501128,-0.0022382690201180853,0.011636527676408544,0.04936910467239589,-0.020320213878147017,0.004112085714841503,-0.03592358608758454,0.04331703947510037,-0.00024664639269234066,-0.045428904195826104,-0.007509877637497117,-0.0186768523364651,0.005312973679947855,0.09813390575355824,-0.024237995342068382,0.04134786689794459,-0.03595458243124706
PTMA,0.02061870887037345,0.04530920838699496,0.06875812470201056,0.09495789554916766,-0.02765635428170219,0.019701423774780583,-0.08249594177952617,-0.009820844063947582,0.05177018092736002,0.1553488635046692,0.005512120056206326,-0.05938817632848888,0.008202713326335149,-0.12050027701429315,-0.004506344935402744,0.1216665453424963,0.06317878702647756
FASLG,-0.01570725554790078,,,,,,,,,,,,,,,-0.011312675175321689,
CEACAM1,0.020831241772017763,,-0.031192988456900776,,0.018187914777966014,,-0.03429694147694617,,,-0.03420910407295408,-0.02732357321999759,-0.018859713450134923,0.003387816972031175,0.028134857876949755,0.016307917693237382,0.08986286221579722,
PDAP1,0.009265783235070086,0.027704879942856808,0.040404479570343016,0.04968637922442171,-0.059689252982324636,0.04391010460882351,0.08574392898921958,-0.03516316128161083,0.07350777982765416,-0.020549400473859242,0.02651762548167958,0.01269251012778969,0.041170057155088785,-0.031575959018221106,-0.009845248709683906,-0.07724109912080264,-0.060973059597113514
QDPR,-0.08781180228569953,0.0488043343380884,-0.06855967433122324,0.03425026189003962,0.018008342467929712,-0.06610224542944806,-0.17261774649582348,-0.09885952904600757,-0.08294472241043378,-0.04276402103878323,-0.04706516805366729,-0.018669386896475584,0.026965041802266273,-0.12742679581740224,-0.0775482575415274,0.004923958179458241,-0.05252152262375084
POMC,-8.111435720588513e-05,-0.0358484940079751,0.12020445220202322,,0.022988423777605058,-0.026255979844472376,0.13972553739694688,-0.009601536557413583,-0.008108396201308583,-0.048149914543529744,0.05558545292664566,0.0012907864605000545,-0.020011792173272293,0.053135502950643794,-0.018021136593712923,0.12247409876739945,0.025490217331252875
CCL18,,0.06408400146934887,-0.03892590235504334,,,,,,,-0.02933251829500005,-0.01937286265561616,0.024492627622033452,0.05345768457348159,,0.017772646547363075,,
CCL17,,,,,0.00886071619544371,,,-0.01813410071685586,,,,0.05228372998761546,-0.017269470583023437,-0.028837712368752006,,0.06339665890419746,
