,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.10483549034787831,,,,,,,,,,0.1384229070501668,,0.06276405008770193,
BMP1,0.05363722138819583,0.16211319691925513,-0.028708929290299716,0.03229178391602021,0.02772148927590526,0.0958260349113573,0.1585942742923583,0.05459396462303275,0.0635410917492431,-0.025088039113283767,-0.008685308733261317,0.07583327342945591,0.09580685345488842,0.06684363868772389,0.04204131876650459,0.02758778543733916,0.04406220806220486,0.03965115474048913,0.16892451883146092,0.09826898894879438
NDP,-0.04380224826118058,0.02420813362083234,-0.06064872331513542,-0.00011380036645815728,0.035034552571539805,0.005760579848805923,0.013232865194005218,-0.006474971513334465,0.011426628793112504,0.027605696804454422,0.07114124655810737,0.10695358476331117,0.040022240954815734,0.002773976094014854,-0.0071940058358636715,0.038934454151667665,0.006897303966442995,-0.0222819064246515,0.03650863172964069,-0.015288143363076852
TNFSF18,-0.014959169872601203,0.004084995388480771,0.029299430363066647,,,0.1438674861154635,0.06749119718823611,0.015182347705771333,,,,-0.008677431299451173,,,,,-0.01990036733195578,,0.017693893928811794,0.014868066771704484
IL36G,,,,,,,,,,,0.029359644651010607,,,,,,,,,
RTN4,-0.06085228395190286,-0.0566221764994311,-0.012944757890633651,-0.009480449422893158,0.03798710134807065,-0.06714521431509195,-0.16750369971366907,-0.02487190899922429,-0.00787261241899988,-0.013937041832799379,0.00784136722005483,0.008404615069059712,-0.08006518806522278,-0.040481471262224185,-0.04843357717890354,-0.050157735107039296,-0.0884398651902636,-0.014276206492167823,-0.009182860426272695,-0.09552597457910533
HEBP1,-0.01684314765928744,0.03167488438557274,0.0005114039406661616,-0.005007091096933874,-0.008531867640638126,-0.05103714031798495,0.047572008047409395,0.04753005606867355,-0.03557233676987094,-0.05338525945207318,0.027035478296996575,0.08550106799344773,0.015548152720632764,-0.0407116871309994,0.0176628870811068,0.06846242951351217,0.04246567014978706,0.038253564186269316,0.07752089684193851,-0.01170760543884747
WNT7B,0.002245385197215184,-0.0004337966540295211,-0.031102673776169577,-0.03148580726556995,0.04089550445861771,-0.014430853226305914,-0.0972670921071891,-0.0005818864848709021,-0.03576113875263809,-0.03229714205215848,0.003452845823837521,0.12793546598771655,-0.04096747135666324,-0.03613093834072014,0.0623514481259734,0.004032277766820657,0.017764736418503718,-0.024159454834219152,0.06136012542823673,-0.025670014991511416
PTMA,-0.03598277735088524,0.113007338578322,0.0009885183851701784,0.012142705792211978,-0.006649481647041411,0.057345948144635776,-0.11711020797196518,0.04627247666406287,0.013933439003857146,0.028216323061875433,-0.018572484031010455,0.13335165298710708,0.15157415990089998,-0.03927648857651507,-0.004517517414310374,0.0003354492732584104,-0.041028118962994,-0.0197585068306613,0.07077000401074852,0.10435891652672588
FASLG,0.02502565301130882,,,,,,,,,,,,,,,,,,-0.01955217781188496,
CEACAM1,-0.03455432344792658,-0.033749034913755714,-0.023869431423349314,-0.018897578938559804,0.00729212982237847,,0.030106000269183496,0.06699334846406572,,,,,-0.046434626499193866,-0.010850467780442128,0.037495190771236996,-0.016268862837094566,0.006209803769187748,-0.01603498154134533,0.059121113913496656,
