,UKF243,UKF259,UKF260,UKF269,UKF334,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.06673070847701476,,,,0.06085059513363076,
BMP1,-0.010632484766522272,0.023774827860722315,0.008336606746607116,0.10389631030485176,0.05202085134249872,-0.045403709669326525,0.010669143716022962,-0.024837824718679305,-0.019448072323880607
NDP,0.000497902945241112,-0.026978565066317132,0.03261717834552513,0.01075143464183904,0.0049659051939549784,-0.03859259024716023,-0.021964178937592664,0.04598919351097394,-0.03918261784017207
TNFSF18,-0.034571973876313035,,,0.1670084744746677,,0.09644227607368944,,0.04056218026481604,0.1351574766195972
IL36G,,,,,-0.0172970260725436,,,,
RTN4,0.05290009968313166,-0.00611791003893856,0.02120399318405002,-0.09693044430707111,-0.03625342568693071,0.0650793068765208,0.01983277059370586,0.0560986063420158,-0.03285289375082538
HEBP1,0.06644602647895687,0.01564056248551725,0.03416668095776794,0.02357161318667763,-0.006704843473241961,0.05130110837106601,-0.005802168116010226,0.04054938272789584,-0.006017085477416064
WNT7B,-0.06514530577952184,0.06043823581030123,-0.008734673815362344,-0.05713496059934679,-0.01901142498721695,,3.504213013579487e-05,0.033466958537458694,0.030203411724236177
PTMA,0.021150485861400153,0.055065530246147604,0.019295845630883816,-0.04883430777779597,0.021900856252870526,-0.06640916927705659,-0.02781800567582878,-0.06887319992245615,-0.014194739920002069
FASLG,,,,,,,,-0.017837388279237504,
CEACAM1,,-0.024023132160614396,-0.02266610355290291,0.027790077023673393,,-0.029222894136514767,-0.012918325625832842,0.06155091400293778,
PDAP1,0.008062210251448855,-0.034293654686150706,0.046501072230673506,0.07908881572025256,0.04984394203878796,0.03470791630822513,-0.035628118731880605,0.004105824343448707,0.01766486720905799
QDPR,-0.04816256737457972,-0.014166262755375572,-0.0049694571793297785,-0.037427307146427696,-0.024729033818714108,0.055289000664015105,-0.01717316025032926,0.021728198031170307,-0.0055241994847912805
POMC,0.005953818912621692,-0.0031534222808255502,-0.04560956025033304,-0.015130798867350592,-0.037059063752257884,0.046297657150846196,-0.021132683699858393,-0.009752246021466114,0.03857461891708937
CCL18,0.07026805205305163,,,,,,0.026067477484916588,,
CCL17,,0.040533134916812825,,,0.0701639267150962,,,-0.01616758898647471,
VEGFD,0.03847552292607712,0.058986264605852136,-0.02168564456637306,-0.031323179115932145,-0.016934768757436058,-0.039727884193121496,,,
TNFSF13,,-0.013326838021673237,,,,,-0.01450641385887563,0.03598898481814002,0.18887866826670582
WNT5A,0.027180095046639156,0.05372491672975,-0.03912319261221106,0.1542411698437099,0.028779972060403315,-0.03153684610649724,-0.022642542323725184,-0.03840510128316194,0.0434330646929238
CXCL8,0.10686571648434186,0.05750810551881162,-0.029751174342514296,-0.030625496345254823,0.010757470284423896,-0.0308623179305969,-0.03101048950785059,0.02357243976544441,0.03963985503852314
GRN,0.08012451079825358,0.0024474164115565007,0.02563325376106346,0.13338726376499335,-0.00578122988627503,-0.04099143914770759,0.0251068602477104,-0.015601200253247578,-0.008266100420958019
MIA,0.03865687083452401,-0.012127166830386912,-0.006858216045248186,0.08152853911112741,0.03635309423912708,-0.0343541437144727,-0.025493458264504824,0.07905540757500822,0.019853082508146755
COL4A4,0.024964542613271103,-0.0001334197540418405,0.041799217099120586,0.023969767872987893,-0.02249801407290456,-0.031107715733359433,-0.026034891122647997,-0.00885100946188051,-0.031229382523961232
TAC1,-0.05615575984166022,-0.04167284821523663,0.05138875894881985,-0.10057717210998589,-0.005962822073044215,,-0.02228779190936324,0.11624724925401131,-0.020401503395210407
