,UKF251,UKF304,UKF313,UKF334,ZH1019inf,ZH8812bulk,ZH881inf
IGFL3,,,,,,-0.017079224215651424,
BMP1,0.05884590376424572,0.13528891091816989,0.024793276001438425,-0.050460982965304095,0.027495250918478282,-0.039937381977987435,-0.008441997605110498
NDP,-0.005210378278617681,0.10198973428457103,-0.01920058046943479,0.007864098243786245,0.008404156273701278,0.0021258423072690147,-0.00019757610751863078
TNFSF18,-0.043204737052921514,,,,,0.1248296604250395,0.0887268527084191
IL36G,,,,-0.01729702617561174,,,
RTN4,0.02566255431873349,-0.09015932857239986,-0.013570137979645866,-0.01208566979190072,-0.010027015469707051,0.03322614198571317,0.04957835622925937
HEBP1,0.024412241112392343,0.10916859083119579,0.01487328096682141,0.011380670041992705,-0.010863217120053214,-0.06828123679778648,0.016444963715247323
WNT7B,-0.007297586338141004,,0.04103089621599128,-0.019011425100500714,-0.03046731179131912,-0.036831258555004694,-0.03214811819364886
PTMA,-0.025290400286537226,0.17193663302368123,0.13806764794081702,0.040305804680370656,-0.07583212024401112,-0.011889154256486808,0.07944910686563378
CEACAM1,-0.026722524640649815,,,,-0.0021784813524546947,-0.025308764171380574,
PDAP1,0.0818258309518945,0.040739642573377165,0.03428630470066928,0.022648945173375682,0.04273480035233795,-0.023208643835493006,-0.05808078130348564
QDPR,-0.026399357556579277,0.1764915248279367,0.09644258658566708,-0.010495484587401158,-0.07036774053426523,0.012704508540652774,0.106013213896706
POMC,0.035782992786959025,0.04046557956471598,0.040853745763874225,0.05637292445288616,-0.0022530006708773686,0.03160268040250062,
CCL18,,0.055781691730562764,0.15414859970253486,,0.12771047600377736,,
CCL17,,,,-0.015801324473827958,,-0.02251797054662338,
VEGFD,-0.028748256911360688,-0.04404855659811496,0.008429769380362133,-0.016934768858345606,,-0.023749508770417618,
TNFSF13,,,,,,0.06017721374286922,
WNT5A,0.021088376513770726,0.017841359147203063,0.020889913683904787,0.019220044454021156,-0.013001093946309208,-0.035221415431652,0.01968493124165077
CXCL8,-0.03583811854110444,-0.03716695607757904,-0.022981110132763813,0.15696129392007854,-0.034108974831345555,0.002211975574745046,0.059252229285231245
GRN,-0.04387811697549792,0.08970764871396207,-0.004894257144709778,0.046157283843492894,0.12332486368993308,0.005286620483065132,-0.06194391922266452
MIA,0.08302302604938364,,0.016170348455742937,0.0668625144727589,0.03408796775936609,0.011470935632419953,
COL4A4,-0.023611896749978083,,,-0.022498014206963932,-0.024493351511013527,0.028657638739634308,
TAC1,0.04182388169625868,-0.10008183065351378,,-0.039871189609875526,,,-0.025175854319554273
RARRES2,0.059573663485314475,0.05548930817930894,-0.03867805021792099,-0.05359021572679381,0.012458070143907984,0.04154393292458155,-0.011530113676648704
FGF7,-0.04320002570825668,0.006217821320597251,0.105465226810774,-0.046975832172992275,0.019844132530391544,-0.03396235095538118,-0.0520737068515935
HBEGF,0.01849982083809962,0.12541667523226274,0.05506786560639489,0.021722996713090602,0.008787987817582376,0.06507374165681869,-0.028450276578048238
CSF3,,,0.00830366696169238,,,,-0.02889385056426728
PI3,,,,,,-0.019132688577381523,
PCSK1N,0.015462117652070763,-0.16200083917568142,0.06226419012291214,-0.04887023464571439,0.025743318585054555,-0.01979082928700673,-0.040065900555895935
NTS,,0.06461526533317355,,,,,
SFRP1,0.022346272220488496,0.0610906048086752,0.10292457352483819,0.018135848966904837,0.015412660570128396,-0.012456481199307852,0.09614501558252231
CXCL13,-0.04399983412462823,,0.08226222703245317,,,,
MICA,-0.013089929769611701,0.0877512126855063,-0.05982689797027165,0.04605449847371228,0.12728318385105353,0.02994435176353453,-0.04806540778013239
TG,0.0008364885122646314,,0.07885627752653007,0.033790886240233,0.059934749462556475,,
ADA,0.0125899545860127,0.04610242991268784,0.11982335485889964,0.009773692596936438,-0.011534094474204754,0.04556003077808484,0.03523426507929084
LAMC3,-0.023698914519479482,0.029161662747870697,0.06333491853705639,-0.006932161897709679,0.05863213926501512,-0.051636333006756976,-0.03872818012359369
NGF,,-0.03965787664033201,0.09503817275474967,,0.01945925728475397,,
TNFSF15,,,0.043597898299067454,,0.06881541556744754,,
HMGB1,-0.0024516793646438668,0.0724376185415328,0.12332212103032712,-0.015748033548961274,-0.035866145830041773,-0.06090554752329912,0.0706763313725366
ITGB3BP,0.020385337315541107,0.02913092961145238,0.09954727974793653,-0.018778888679621908,-0.02593406157001228,0.05073341052514038,-0.04152120773013234
AANAT,,-0.006952051108679567,,-0.02119596536862914,-0.02017764853019965,-0.027854007142884857,
RELN,0.008100547921336756,0.054004971808241646,,-0.023465763161876454,,-0.034833153429490005,0.06732730249489176
IL15,0.012294360323530908,0.09650683486115041,0.004121829410474323,-0.019658278217820454,0.02916069185305262,-0.006450435229973636,-0.030559638023399956
BSG,-0.006794787235663595,-0.04872862659092329,-0.07462436228829895,0.018107147517931216,0.09922260154671457,-0.049120087439779386,0.0056778506228439525
ADAMTS3,0.008792936853946472,0.036934165357682354,0.09235084869478172,0.011408354991267834,-0.024160679945144533,-0.019966871916447342,0.10929132504386213
CD34,-0.024620333343771516,0.0036039793928222333,0.08307205741425318,0.045586257738863496,0.06919552433490399,-0.06912777880929782,0.04589936115832404
PLAT,0.041631215722716025,0.05728420116894334,-0.013172460598612976,0.008224941287212715,0.034904196507948834,-0.04436894583701911,-0.030284096908355408
NTF3,,,-0.03426226092254404,,,,
LTA,-0.026722527382859493,,,0.10134571572399723,,,
CKLF,0.021276800693944622,0.14948812362278516,0.08523586101249803,-0.006668007682339224,0.035354119010298134,-0.02775249426517086,-0.021856571910073237
APELA,,,-0.024515032900440596,,,,
CD24,0.044827125634691156,0.021775925088725456,0.05690030551910485,0.05156147068553145,0.0410567085414021,-0.009781177877306773,-0.008398999898814836
HSP90AA1,0.040633619221912505,-0.16812067840735698,0.005139373398631913,-0.008530080231055334,-0.012491732094405876,0.03677900247173232,-0.01086275668180404
BMP4,0.019178496994642247,0.015433010483499925,-0.03450520899532333,-0.01675088550329136,0.04317739007340271,-0.04926384638513012,
SCGB3A1,,0.0016147274379125344,0.05424475164308341,-0.01371728826380658,,,
IGFBP4,-0.0005289433631841094,0.0652755438967055,0.04671791040619976,-0.011705086755837158,0.07893262807058184,-0.07043991560318702,0.09144538638877454
RSPO4,0.020326348643981702,,,0.04927961795810543,,,
LEFTY2,-0.027050720676734315,-0.03965787664033201,-0.02652191208311361,0.03389115283805777,0.08449985989605117,-0.005086478400435164,-0.04731718425854412
PF4,-0.02430777062605231,,,,,,
ANGPTL2,0.07949120361035901,0.14099550413228826,-0.01797481105194026,0.016731158910348497,0.0161199399292332,0.03215869900845067,0.06308090689288888
LRIG2,0.004449500954816583,0.04025275949628421,0.011464823849382607,-0.006178863148133307,-0.04706335876103002,-0.007163696129533393,-0.04661259617033434
ICOSLG,-0.02313646715017196,0.04351911209779786,-0.026473587863320384,0.04309763200253507,-7.093321762585345e-05,-0.005501235555659494,-0.013394472822408786
WIF1,,-0.09084494684308118,,0.015052188581952102,,,-0.03109707963263139
NPPC,,0.007383914710294877,,0.06993783206668483,-0.024160633543111917,0.030971533217496905,-0.01653470345240285
LYZ,0.015225287224588307,0.10048555491805275,0.11616923585921851,0.040976532271799544,0.05998528340357477,-0.007305648178971868,0.08598852340796061
EREG,,0.08887046196536054,-0.03101323665010854,,,,
SPTAN1,-0.06232608695124754,-0.12185793931029733,0.02110276928979778,-0.09678288012329546,0.042582914047127204,-0.048977142078481424,-0.0560764651391036
LIPC,0.0012445151766456036,0.017638384742398518,-0.018766437319211363,-0.030881320555615096,0.00754202724118609,-0.032435758937187635,
