,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.023844271477664023,0.015594718278852164,-0.013094170732243152,-0.0341872175711004,-0.02072641804233458,0.18340713541018405,-0.015518132082999344,-0.09566790781409226,-0.08433731180496913,-0.03709090540370174
NDP,0.031885748455538154,-0.03472420903420744,0.029353183315187173,-0.026446044903063223,-0.02979077732946077,0.002075059477566886,0.0029911778573117527,0.03264899347787954,0.10863625261214983,0.02023153650665309
TNFSF18,0.04787888275441985,-0.002132765118586499,,,,0.0683536005723454,-0.020702783111429975,,,
RTN4,-0.04364888531449519,-0.03168128412099216,-0.018937562832016273,0.038475166305097806,0.04032142512658964,-0.23150708584592447,0.011703570288598851,0.029365283785463905,-0.05681301357992102,0.07728885312851828
HEBP1,-0.006113291631714646,-0.050686056268750314,0.02766683862740612,0.03153946352384094,-0.008135395370637809,0.0978712411542996,0.006520277091063954,0.052940204145348425,0.07975771238324855,0.03467462135855557
WNT7B,-0.03154331460009531,0.02872575880515812,0.020111959520860354,0.029476840032535746,0.021335703961458976,0.0422995626676223,-0.037776180735972956,-0.015416101363779923,0.044437185961908016,0.018788077053966852
PTMA,0.06838823490460337,0.05540977611673371,0.08515785834750365,0.0318516052296303,-0.038127144606420416,0.31858145200566645,-0.043368413093153306,-0.10131498944403916,0.037977622535183685,0.021816682622546334
CEACAM1,-0.01733250514458667,-0.022330701165882403,,0.020758523324855446,0.060335822582078744,,0.02116844899944491,0.03966764419190598,0.020565333427112534,0.020822300610221334
PDAP1,0.008999807130409607,0.03545483753028755,-0.006846898584299474,0.01187689849178313,0.026330052776359244,0.11425626823705406,-0.02129238491689082,-0.10171064112713654,-0.03799968948203471,0.043168106555978275
QDPR,0.039093281651294,-0.013450109171786266,-0.04867773046680889,0.00600787554013464,0.0013977028032411808,-0.05487053943523157,-0.007334148599769444,0.12334512971677675,0.1301861285074645,0.013112334486942021
POMC,0.00523170355261022,-0.039678093273703356,,-0.024467731281694095,0.02714606520303289,-0.029026225337700915,-0.02402187238497879,0.07653429103874418,0.11876539232630998,0.02584269929329943
CCL18,-0.021629328775557188,,,,,,,-0.005540231684020297,-0.04917621005078077,-0.03538006039788332
CCL17,,,,-0.01522893233101075,,,-0.014717161702028605,-0.0589756710071196,0.02441820136837513,
VEGFD,0.010509980860491534,0.021014604754667845,,-0.016966712343486373,-0.01795063076261726,,0.045048996491283064,,0.03806589215536683,
