,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.08604822483034438,,,,,-0.015090845297142849,,-0.0387116093456865,,
BMP1,0.07579722399815034,0.04805391879934448,-0.028085371996921016,-0.03808565911973243,-0.016100704404747996,0.004078648413976368,-0.12443487792329368,-0.025089121209987193,-0.02240151442294168,-0.10476012599108207,-0.07352285691993442,-0.02492762604169032,0.02360605503397793,-0.06645768670279875,0.058663021566339,0.019499667937507556
NDP,-0.010956677289256186,0.01235997143405594,-0.01956632710091549,-0.041254074766268745,0.007311689416710152,0.05382208317101025,-0.010455218030556901,0.028950193281441085,0.01242983516795973,0.0023252160787679745,-0.033365448972666883,-0.037125533572823145,-0.037435618129812165,0.16736039161022423,0.007720347890247083,-0.007781086761134853
TNFSF18,0.03157686510631801,0.006372147061844434,-0.02528979701665318,,,-0.018224271656025075,-0.022572332600575725,-0.015129093701496845,,,,-0.015562922385881393,-0.0028912452528708785,0.09142100577949515,0.0712755921224755,
IL36G,,,,,,,,,,,-0.013349793915735968,,,,,
RTN4,0.12460154831134512,-0.016540793034767774,0.04439264966180834,0.005321736239614273,0.06295705968527972,-0.019819545642507486,0.13114934209583173,0.07796708496559779,0.017952370570185616,0.21203390722835616,0.104104414765594,-0.01237023452484069,-0.004589912312733793,-0.03358246865221964,-0.0904654641594445,0.10504722514896704
HEBP1,0.003013896021190519,-0.02040074839612565,0.05336138591146322,0.03612671944150672,0.01944485116985535,0.0018986078236358011,-0.07461798892100467,-0.016838161945307087,0.007926572518708782,-0.08616389987106995,0.0028295147768896654,0.012087148494433672,0.10760474765768643,0.13519659299825967,0.07152389595436541,-0.025154099303026513
WNT7B,0.11651430726995908,-0.03399231632616166,-0.015709237954485446,-0.02047855303957516,-0.018617297400242767,0.013522000375175473,0.1320582872274415,-0.028462374431812147,-0.025970485432997396,,-0.014672961962327518,-0.0325433297165392,-0.03264742328994885,-0.060788344054155036,0.137336207722821,0.03844283481136064
PTMA,-0.051482334948347974,0.031678275891573106,-0.07101413321507663,0.03506110696787239,-0.07935636929352832,0.011318464443994545,0.09759637818889098,0.042911675829852405,-0.03954148426451971,-0.2432128909330155,-0.11681988238982981,0.019701146245511145,0.0835778239047399,-0.1295024048121508,0.02746555266827453,-0.17571202926492885
FASLG,,,,,,,,,,,,,,-0.007973334960315447,,
CEACAM1,,0.03110027987512676,-0.012055895283027524,0.029662152152762758,-0.014122257647601768,,-0.029703904078422296,-0.02379446012737953,,,,-0.022362294677423004,,0.08067021151935909,,
PDAP1,-0.08657767032588652,-0.008340091385515738,-0.04352484531788567,0.0154239173088979,-0.05471318996704962,-0.007382815107410134,-0.09290728771900124,-0.0014895029171688198,-0.04356479852152434,-0.0186416190097777,-0.0837181848648181,0.030466631711199718,-0.05597164580333591,0.030751787279291388,-0.04017688860592785,0.07782952625001656
QDPR,0.07514897480731475,-0.050920200602224505,0.0074413316696990885,-0.033319708782681576,0.0958117873627606,0.045144894605159906,0.07263640009767156,0.05845287882733792,0.06442799749084,-0.13145434321937205,0.018122355617254407,0.029098757100086477,0.04802710466123129,0.021944586301356137,-0.043941292674308956,-0.034357444647176584
POMC,0.04639352733242067,-0.03464972208419585,0.0432135147836598,-0.03268983243327821,0.027873513733260063,0.011499842354509475,-0.03828997913393636,0.013876526884945653,0.03557183087235643,-0.07137010406686735,0.03278213364435776,-0.027478970718445087,,0.01945451176948816,0.052553022820213124,0.07288606145440595
CCL18,0.08812266801472961,0.00026528309986580714,,,,,,,,-0.11152102353298232,,,,,,
CCL17,,,,-0.0203464408002116,,,,-0.0188689253898348,-0.02405359171559942,,-0.012195415742545571,-0.019896407801316025,,-0.0026089793547143425,,
VEGFD,0.03777138173253438,-0.018243694174481403,0.038348201120806176,-0.022668181903205877,-0.013511376541002935,,-0.025464967321687716,0.1024774633980627,-0.02185397608399017,-0.009930857425937039,0.09078106863930349,0.02715342923570883,,,,
TNFSF13,,-0.01376727706077566,,-0.01403451949719459,,-0.001457483975137865,,,,,,-0.021336324301569735,,-0.022671281006188898,-0.013479810230122062,
WNT5A,0.0021627630325039434,-0.0040085733444336896,-0.016923418701198734,0.017135914730120952,0.005127257845355639,0.008062791208353822,-0.11656100760732777,0.004557603481830804,-0.014728496592325451,0.06481616419734255,-0.021419411074396894,0.039889138432253946,0.058520909511876,0.006569394739830864,0.02566258592748312,0.035720772150566224
CXCL8,-0.025472081084580583,-0.0242495320048469,-0.016168405121986102,0.00474403819333399,-0.03231325121996899,-0.001565826409705712,-0.012852085188390866,0.005207724117492438,-0.02987836393020794,-0.08936468849440371,-0.0013088462488337453,-0.02824856196702576,-0.02600544293279474,-0.11014784867558229,0.03406939306064421,0.07219821125914551
GRN,0.016316248716885296,0.0031474468341453924,-0.008690021161420777,0.0015086916320650211,-0.009127236705519348,0.032449468940650324,-0.11232360343761452,-0.008110253078969685,-0.013785101223643941,-0.12094885761404894,0.06504033572508557,0.023122220064114782,-0.05292489118515225,-0.10239138411182358,-0.0477805862073343,-0.0061973738508816914
MIA,0.034626222609690595,-0.03634773313612664,0.06727032614404856,0.03570327332249077,-0.04099818500434448,0.05562721646783775,-0.04342172047504559,-0.03708712245014369,-0.0047692068902172695,,-0.017900244427291837,0.07453576730016978,,0.018354237657137305,-0.02729872572643394,
COL4A4,0.03598977249424489,-0.021910521520189116,-0.0258252969545435,0.01454891554677652,-0.03357644537634099,-0.027904940884983267,-0.014978995302672854,-0.01969974188647168,-0.011811674937812745,,-0.017363901177402608,-0.03064880789128732,,0.07421675599751079,0.12358459957555176,
TAC1,0.10416197127859185,-0.030077369803628514,0.012162830055606616,0.09524412247952081,0.172528565474298,0.024597626820949785,0.09607492532661727,0.047665286649000854,-0.0180491537529492,0.19316101698824456,0.12861027714525333,,-0.06096847324065622,-0.017975062450839904,-0.08588566172905335,0.19547339708228026
RARRES2,0.01078806906643982,-0.03165149075741478,-0.0414024022552445,0.06404713319340913,-0.09059707213915902,0.04271203678314908,-0.09965620813882081,0.07503016534611925,0.013668504456465806,-0.05177615553902411,0.006569428724495404,0.047279882173258195,0.030389735143292594,0.0825598661087353,0.07563518968124569,0.009221517554289625
FGF7,-0.008912531193484965,,-0.01948973733457,0.021704335853723902,0.001772326205448176,0.09024287481349931,-0.04268785593608267,0.010824661060112636,-0.005843341714381489,0.019554565914873867,0.008108696193273248,0.04844072995448772,0.031409334186955365,0.09223427938442809,-0.04256352643873819,-0.03847422034863754
HBEGF,0.12343277404218415,-0.0006089865333904569,0.03386380602873417,0.0048525437794438835,0.003669921464990044,0.10202493792905469,-0.09685731725558111,-0.011450452705798048,-0.009755453934791587,-0.13674500356633326,0.0071340625795069754,-0.004457077738347425,0.03833830845761734,-0.08022292639791319,0.03820213219995973,0.13031104594888065
CSF3,-0.03277162332488594,,,-0.024251183365879524,-0.019894674600793458,,-0.015847488720369812,,,,,,-0.02934261234719861,-0.018243165535104116,0.08920808358142439,
PI3,0.05063612707953054,-0.01919312936298644,,-0.00437558499935159,-0.023929931515598992,,-0.01784448146334746,,,,,-0.016905243458018752,,-0.01800298905731637,0.00805853073031348,
PCSK1N,0.01887919373770917,0.003858662061440044,-0.02370304092770272,-0.04335681174573195,0.05418776643083234,0.04749016035119408,0.07552111593801575,-0.03887787240073596,0.02510398925955934,0.21682762403651856,0.09474655452719831,-0.05501570974469632,-0.04320799380355804,0.11808666014564181,-0.14564417696216234,0.2007735249799337
NTS,,,,,-0.004560870909382874,-0.034065592589795614,-0.019478469953381265,0.0018719868114634272,0.005703085762917805,-0.04704636453462954,,,,0.025384562076623575,,
SFRP1,0.023365740873130713,-0.01163416733572725,-0.002063295951805466,0.08333309758452566,-0.015414140775954077,0.028187029405597062,-0.024388427110330516,0.015361163237884078,0.010194579583400039,-0.1086681974659233,0.08959094482718352,0.013842611489375779,0.11600597559423936,-0.03736538437574514,0.040012510784241805,-0.04665906765157264
CXCL13,,,0.037478613769771706,,-0.015275610356540327,,,,,,,,,,0.10631089557530468,
MICA,0.047410265666776426,0.004437903508899009,-0.0017151379250886876,-0.01530715271172242,-0.012305817399307594,0.10964595455843447,-0.027812411252228785,-0.02650216560453564,0.018712688237634407,-0.013093155324149947,-0.06953895842429163,0.019928596259422653,-0.02864543397969241,0.07809436125281387,0.037779297081302995,0.01531905316697818
TG,0.062229182961868724,0.044094078877795206,-0.016393588511232893,-0.019158360182015888,0.07173129338922743,0.050942289098049265,-0.019126501042755855,-0.004024575570614363,-0.03165499543317107,,-0.0183192352543045,,,-0.0059986941074863034,0.06160206497125301,
ADA,-0.005510900961821102,0.009435247583577534,0.0744282101194441,-0.01105164210326901,0.020604511880610125,0.02099105994033535,-0.03621161839370004,0.01878022608784701,-0.045459742651165494,-0.09062198382003157,-0.04699543475899159,0.08007949299297272,0.18996721992645255,-0.03396776677049527,0.05379638030309978,-0.041330680192478514
LAMC3,-0.0026401623414514805,0.008151971251400497,0.017314410233416316,-0.03707062237392088,0.04683677991962661,0.030227484611664093,-0.046516780053499344,-0.02969961231545201,-0.013963524538430418,0.004057905593589195,0.04169534703612955,-0.02344196281302203,-0.0016238247292359102,-0.058097010042273786,-0.02466163175725338,0.0007522008037541872
CCL7,,-0.01160452699650262,,0.06907588010888743,-0.020252639041022653,,,,,,,,,-0.03357455364014277,0.05224882246274294,
NGF,-0.018880663779967135,-0.019924396582788176,,0.015238307212021922,0.07773727629241382,0.007052863853094644,,,,0.06496450440917374,,,,0.027848544326710804,-0.009992521861839096,
TNFSF15,0.0016372750582332534,,,0.05820095403422841,0.008879702549619601,-0.0023150016900058868,,,,,,,,-0.04012794186708298,0.020119966749818464,
HMGB1,0.0046076385391054355,0.02161326931792083,0.04125465657684793,-0.005374254759780885,0.01572421417659223,-0.04161787702877629,-0.0578069645236789,-0.06097948093785793,0.025761260163891925,-0.06013130660004423,0.017675098500247993,-0.018757102360286527,0.017357241061101373,0.026687637873307815,-0.03717382606551809,-0.02533167512597121
ITGB3BP,-0.07397117648125837,0.006148510535513017,-0.044112327463749094,0.020782565927691555,-0.007160541250434466,0.01281325331950475,-0.08474173217833379,-0.002905881686672292,0.0418337044169801,-0.03892678308094498,-0.09483044455336061,-0.04384787122106219,0.03479524586210444,0.08347462565147516,0.043058954656963286,0.06500422208031631
AANAT,0.0021542814329923257,-0.01683640316640654,,-0.014034520995072143,-0.013511378469828078,,-0.01429486368925448,0.09833601978536503,0.06789440201944538,-0.0295337791534802,0.0660535219557786,0.017453821915882524,,0.024431558698401797,-0.019105140857967877,
RELN,0.1290315241008262,-0.0363477234318358,-0.03847037306778722,-0.011941305377319373,0.029710578952783877,-0.012126865670519533,0.025055119528028278,0.015292167548307476,0.03364150131944704,0.07469149343551092,0.0789728579324394,0.0213749882547951,0.04347638647552751,,-0.024937054283058098,0.04002066889170483
IL15,0.005041930641304173,0.026782345440810765,0.011336193500505852,-0.028888214153642663,-0.029718343239021096,0.05563657945816986,-0.03728682959859546,0.0009122872295309387,-0.05154013671399155,-0.055863915605141284,-0.015172201295279762,-0.030648804007274693,-0.031034271808004527,0.06769979243772986,0.07760702263465472,
UTS2,,,,,,,-0.04715367041276814,,,,,,,,,
BSG,-0.10462775558210494,0.020304461060390928,0.005617295137598347,0.029553231068849873,-0.03802319166074903,0.05884448112026179,-0.01155024562649194,-0.06854991578570067,0.05723833138835695,0.19562590268736216,-0.09387975629069761,-0.009016258754265802,0.11537689367923068,-0.026206793095027096,0.005550993078036219,0.15199095221744668
ADAMTS3,-0.06192854516163204,-0.06045031547206048,-0.028804723575724483,-0.007519807962844947,0.0006468453597435388,0.04165348194478089,-0.1253635557355814,-0.03222818105974587,0.007776197166065636,-0.016314676087656264,0.03064433769155516,0.016684242460837394,-0.03568033457552834,0.045083788003132355,0.032891756453431974,
CD34,0.10348837313782887,0.05679361858114471,-0.006829080037319689,0.016587793981643534,-0.012588245197285047,0.06425353472964031,0.004187362016293774,0.013736559310212901,-0.03684814305473244,-0.025295775565976206,0.03882872384753251,0.009224242068185206,0.0329038184409109,-0.00107099962763233,0.07173014626694611,-0.0019380373602806418
