,UKF243,UKF269,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk
IGFL3,,-0.014860833484021719,,,,,
BMP1,-0.05386500074199706,-0.09089597453602115,0.0471721959848224,-0.11288488450731186,-0.029744267393144227,0.056508576962098,-0.029967108632055494
NDP,-0.045940661817912586,-0.005300989665801153,-0.016935826779984547,-0.019199439021868984,-0.021147919981617285,-0.031220313138593178,0.034993026816402394
TNFSF18,-0.02127447155326269,-0.02206789158932563,,,,0.025231840179404705,-0.0349291826314579
IL36G,,,,,-0.018234101421449513,,
RTN4,0.17160845089729487,0.10945479055748406,0.056611431850661594,0.18969867407910512,0.09746260598300263,0.04240816817132376,0.00974843062812198
HEBP1,-0.060388423254166865,-0.03193219782400492,0.010168273109365864,-0.06316071994404625,-0.0026132957143664365,-0.009521100100307682,0.05990745389681605
WNT7B,0.1869352545342582,0.039810656610586075,0.025400115697782884,,0.11563078265010673,0.08296814982975584,0.09433694171471355
PTMA,0.0015895592840344866,0.012689579372238505,0.09601761900414502,-0.23374352237901597,-0.13489258099164947,-0.0712144645028352,-0.011727711240013462
CEACAM1,,-0.02904008843842889,,,,,
PDAP1,-0.03639265935502314,-0.05040886886790479,0.050499143910397795,-0.03077141223055818,-0.027362404607294468,0.0664112350767691,-0.009992589392306989
QDPR,0.12389774165264622,0.02468355469113587,0.1494925937553964,-0.17136210535471239,-0.0018214729143626622,-0.028822919107444632,0.04638179794794675
POMC,0.11111515407888449,0.07555270618686567,0.01019103146871628,-0.090348857433574,0.05147504153332844,,0.04635667325062654
CCL18,-0.028530815629894356,,,-0.07594830583987879,,,
CCL17,,,-0.00285978692274693,,0.1458099481117052,,
VEGFD,0.006823188216249496,-0.02489588241165608,0.13892284087621262,0.08473587814877663,0.05689813347909915,,
TNFSF13,,,,,,,-0.02449008045848088
WNT5A,-0.0975507676378048,-0.05459885584521894,-0.009881522269208286,0.07450946554937313,-0.0500829695388607,0.03533329883504673,-0.05707063872381513
CXCL8,-0.052413677970191405,-0.019781550047718588,-0.02082381846252481,-0.0951846926844829,-0.05367479051407394,0.022297118308938768,0.009582541704031269
GRN,-0.10452987360865787,-0.06990994868774454,0.043839831313081896,-0.14616882597906203,0.02136492193561118,-0.005105662764225014,0.019964924697322747
MIA,-0.001256556664911382,-0.04245134240317134,-0.025431273901671436,,-0.024449431535511598,,-0.007281004852384749
COL4A4,-0.032360448509787344,-0.014644248350654343,-0.002184489571877153,,-0.02371685564131279,,-0.01708526497061385
TAC1,0.22866373769020076,0.11275972206173385,-0.005004848962877876,0.0655229654244639,0.05356774399959153,-0.04848568718053243,-0.045093693931781136
RARRES2,0.12091910460459428,-0.07512856204711577,0.007930278298700933,-0.11985903021097645,-0.05168143342871633,0.055407220085068036,0.05647391764706104
FGF7,-0.025253374434007506,-0.04173387809083566,-0.00025420258015166036,0.07221957939147702,-0.027559519715799122,-0.014366349753678098,-0.039979134858900214
HBEGF,-0.015724093350887806,-0.06179721577199928,-0.00046023588051984137,-0.09888574718465644,0.015522575014581881,-0.0054733561413092624,0.01579525257913023
CSF3,-0.032360422889923586,-0.015493332888212974,,,,0.0014123336130355479,0.16507802501009164
PI3,-0.03833574653119652,-0.017445697321987832,,,,,0.05530121356806834
PCSK1N,0.14761886692194745,0.07801296164097264,-0.011664435831509553,0.2678675975924115,0.1312005474749907,0.07228253576283085,-0.05094254864565729
NTS,,0.06099009298514923,0.021086291272237087,-0.05154984550538427,,,
SFRP1,0.014342665719711576,0.050018429190963845,-0.030485256197356054,-0.11908545370488353,-0.026119066162890083,-0.13101184982633812,-0.045494179074948696
CXCL13,,,,,,,-0.02216956580159719
MICA,-0.08352045539989418,-0.004411366394553545,-0.004321024831367216,-0.01471151434449356,-0.03615390369749829,-0.050993964815407425,-0.04673793265219104
TG,0.017946673064700113,-0.01869906663894782,0.005184923150671142,,0.001518977479040138,,0.013693518100354112
ADA,-0.038148694095951424,-0.08345129935244147,0.01570223840103,-0.09834991049474402,-0.02527475018342818,-0.04379089396023636,0.028781120845539337
LAMC3,-0.0381863088639663,-0.07699250715056534,0.020828187900790635,-0.08021966411318504,0.003129452636949061,-0.007857157471292748,-0.07529459893511317
CCL7,,,,,,,0.041284347940840675
NGF,-0.018643759520396787,,,0.001975686670375997,,,-0.0506270702944173
TNFSF15,-0.023064657331425552,,,,,,-0.00671134652506934
HMGB1,0.09650622345108478,-0.10779580183000306,0.08573008653237468,-0.15295017657622031,0.018601298145672414,0.004699740023916103,-0.10758604073951722
ITGB3BP,-0.10194535405870207,-0.0920961973207861,0.057408519080720824,-0.015648334837623297,-0.07674494037085183,0.006523744883434603,-0.011709246146313804
AANAT,0.03780971404834088,-0.013975405544512013,0.06611375897762292,-0.011701021257319384,0.1115979213379963,,-0.027276659225926255
RELN,-0.01312301333662194,0.0956377817186896,-0.03378738529159367,0.06886726193343565,-0.024737032891160343,-0.055576914138964574,-0.05720265208032784
IL15,0.005136646536972328,-0.0364535525792525,-0.008035065993809702,-0.010373840521269731,-0.020723275501554977,-0.032421593368463716,0.012517471941863492
UTS2,,-0.04609989162933111,,,,,
BSG,-0.05402402722954271,0.021017157568183772,0.02181116782593289,0.1995341199628592,-0.04878486940649105,-0.018148783166650723,-0.09811040495379181
ADAMTS3,0.004037323535023613,-0.017064668740677528,0.028276517701529988,0.04552257561966473,0.004117629771138952,-0.03727534855707956,-0.07032486638732353
CD34,0.04911005297049974,-0.058545676486007635,0.05965856170846386,0.032646005229716904,0.002722802367238517,0.051012280617828934,-0.04826151493366267
CCL23,,-0.015901793060040935,,,,,
PLAT,-0.016592094908145304,-0.09732792727173215,0.004074069260253989,-0.04805764701021982,-0.048032874910143235,-0.013816411156104524,-0.10237630080163339
