,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.04838066906391675,,,,,,,,-0.029418023698605557,
BMP1,0.1019018324981682,0.04770533355294819,-0.006081671257344757,-0.030925934537292393,-0.009931339659033275,-0.10436791156814318,0.06003441931422079,0.023123233305374365,0.0660823449042412,0.007510326891063521,-0.03131476328373925,-0.01964941491470855,0.007350502331951532,0.03744244127018938,-0.02370208661495145
NDP,0.010838152679568636,-0.008653088687599186,0.006688143797302935,-0.05141795869318506,-0.05295756751395972,-0.020722549073197514,-0.02881878856966367,0.04258143605657771,0.08461382109192382,0.007910902013622096,-0.05576267297916627,-0.011854004681365623,0.01678708466532507,0.057553466168871796,-0.061588457051277024
TNFSF18,-0.03140815363869639,-0.017719835504718773,0.06387288486264395,,,-0.009759646249093286,-0.02159965610420431,,,,,,,0.02073959984073567,-0.02634857482846696
IL36G,,,,,,,,,,-0.019128753698514172,,,,,
RTN4,-0.0003480742736638162,0.0029720386683421128,-0.012920313136471758,0.053118527496172636,-0.07048162207599068,0.1305449092992341,-0.06179427997412461,0.015287988007215128,0.02067211548101461,-0.056259849033598826,-0.03646962334914093,-0.04388561253269379,0.07905187898182683,0.03655143530069788,-0.03408332550224027
HEBP1,0.057761138846295655,0.03762679033743431,0.03590814304208619,-0.0011318178639425273,-0.026502369758359002,-0.02431908699470916,-0.037163588377971235,-0.009262951367577139,0.04404266946588178,0.015317555385309075,-0.008770812785126144,0.01223586684967814,0.01986655448508848,0.027619393458042634,-0.04586680483773097
WNT7B,-0.07330697973102526,-0.005037066356340195,0.037393353698737516,-0.007875813422455148,-0.0010508781884561028,0.09809667822954712,-0.027366622962772574,,0.028919396859506844,-0.004374809494938757,-0.031998366990143176,0.07012020352761225,-0.013026417615546277,-0.008273783769581615,-0.02676559278153002
PTMA,-0.03755500435904511,-0.05915514086219122,0.026117671837193303,0.07240667395040554,0.06592731855285372,0.0038821480985806187,0.05803523564698148,-0.025125082355706027,0.0892179387445287,0.03768426482943569,-0.01998742943793079,-0.0482390935255035,-0.01537395611057053,-0.03713068851122072,0.010863078313515302
FASLG,,,,,,,,,,,,,,-0.025514241917696794,
CEACAM1,,-0.027282565681761812,0.05700733957093242,-0.05165412891861803,-0.02379318930652512,-0.030455132180390684,-0.0008463309556147979,,,,-0.017930263243773854,-0.014481555113045405,-0.017930078555661963,-0.03549932026843969,
PDAP1,0.0018654119989953179,0.011373045344961348,0.07931581668122649,0.03570660913934452,0.03814282231816838,-0.056630294673109136,0.0009183825818924096,-0.032079489482395245,0.02432080268031605,-0.0027080855333356754,0.02912082492124386,0.016210655697466977,0.0011587648994859545,-0.007852084081498343,-0.0007875027841482002
QDPR,0.016320622782096488,0.009826691136866215,-0.0881913739332431,0.02985749623523703,-0.0301537790743091,0.01698573883014167,-0.0906228479827504,-0.014762323158208102,0.03825958536085554,0.02495246572265926,-0.07486102518291958,0.027928934430684286,-0.009125341156100537,0.06880984426260546,0.023279984064851583
POMC,-0.04833571392024265,-0.015173482439916034,-0.03090443563194684,0.06007838437844051,-0.04787752331099507,0.0017174462185983572,-0.013604847164013584,0.045805868248616204,-0.05034877400822009,0.05925974334188852,-0.031560437685910915,-0.020520172069452905,-0.02933125312097014,0.10233217523685692,-0.043813451018997224
CCL18,0.016114935798747114,0.07902757786394006,,,,,,0.06730698142976858,0.07112170149826219,,0.027744053821373744,-0.009657392214389266,-0.055465711209680545,,
CCL17,,,,0.003673449285174498,,,-0.005446374011132232,,,-0.017474659568726066,-0.012720653922321926,0.05565997919984112,,-0.023125794548462867,
VEGFD,0.038422086075385956,0.007064985459679661,-0.024911861681798524,-0.005530392738568934,-0.022763976401918906,0.02177707407855203,0.0499370547586842,-0.021864772948659097,0.005811086483940949,-0.01872813390831932,,-0.014481555113045405,,,
TNFSF13,,0.01487597988096451,,-0.022712046397064038,,,,,,,-0.024409024205403296,-0.004058105462285039,-0.02013427649868632,-0.03768155198507852,-0.028663491060926877
WNT5A,0.02256493228358467,0.04179229574503127,0.07851478520727402,0.0357409158417723,0.01819866065250467,-0.11614743712821578,-0.025214426397235652,0.006783798052446436,0.06736951551064582,-0.008893713995890458,0.06515609239464785,-0.025681428223037577,0.005558314226627533,0.07179718151469096,-0.00968899102633415
CXCL8,0.03135703247768785,-0.013859901406521831,0.005116238637307817,0.05789193741495018,0.0935974396734758,-0.027988430532686605,0.13730477398934984,0.08651515435008862,0.02931392115216447,0.008115343615967918,0.10368336049306592,-0.013028770032372601,-0.049990172944400633,0.026011168712406968,0.018032194585687958
GRN,0.023611636887858663,0.07636766177034844,-0.03572532252627491,-0.0313196474082388,0.04198031013752297,-0.10386843394365886,-0.03779352059547817,-0.010818899303551592,-0.039022419818595055,0.03751251007305406,0.041836700152126184,-0.042496024552280506,-0.0388641225430077,0.001227752244633374,0.018632365359716366
MIA,-0.024568424631706408,0.12059503240255871,-0.022154867622966114,0.01166119443857664,0.027106139594882114,-0.07577253795503056,0.010137816270225492,,-0.04746306531771675,-0.025649037652128396,-0.08508077875729594,0.09488483340603741,0.031621143857881374,0.02240508395751097,-0.011349166025558655
COL4A4,-0.04777472079942923,0.018850881837642608,-0.00011645169469458967,0.05144574400904799,-0.024082299152319648,0.041889121077499425,-0.02812512490733523,,,0.0020772819227995246,-0.01942101025767521,0.028796626066780583,0.006609943461503496,0.05407222215109717,-0.016433887425880134
