,UKF251,UKF259,UKF275,ZH1019T1,ZH1019inf
BMP1,-0.020734212381351817,0.027645032844113033,0.02485097200564495,0.021768033975278156,0.05329383645745979
NDP,0.026068614903370473,-0.030087966058121137,-0.023420597356498617,-0.0636133967513902,0.04092877012999977
TNFSF18,-0.02528979954525549,,-0.010647509681371023,0.10964707514313528,
RTN4,0.012423190410217463,0.08337873396483853,-0.006651733693901383,-0.01583132028075709,0.0144751735495715
HEBP1,-0.06187017650881884,-0.009007957549046371,-0.013896769502637647,0.02177164382987872,0.011245411599432757
WNT7B,0.025710050244613966,0.023481388322714337,0.01683412771217085,,0.021479419574663636
PTMA,0.02134466179837764,-0.02295055550610623,-0.05346566459012535,0.007559293191754814,-0.09278557368193957
CEACAM1,-0.012055896488437145,-0.02846148652757731,-0.016745996129576765,0.011848899697400392,0.07597811991842646
PDAP1,0.07873110774421803,0.04552069174042107,0.040189783193756184,0.05863181328167288,0.02292441090928127
QDPR,-0.029793635551590973,0.011083211413348254,-0.03479482722992938,0.0750919340581071,-0.11019382798700442
POMC,0.09981361517633758,-0.02650449103727424,0.010062837441818047,0.02988549583078499,0.04894037603360566
CCL18,,,,,-0.027487636646604505
CCL17,,0.000702260623470629,-0.013279517579130084,,
VEGFD,-0.01726765295281577,-0.018379067109355995,0.025106464046519023,-0.05214191945249388,
TNFSF13,,-0.01137900590298443,,,
WNT5A,0.029111224351364907,0.09063840014330724,0.005615920866233108,-0.048729890498181085,0.016677414137728813
CXCL8,0.003979065017086343,-0.05760025209310613,0.009904429292535204,0.016719761451931936,0.0434403383273784
GRN,0.00015637419690832632,-0.007992498996784147,0.0002761132103127003,0.05580070988690929,0.10021506341203569
MIA,-0.015356642960508524,-0.00015654480276735018,0.04289466663924547,0.1043314069370592,0.01378693520016473
COL4A4,0.0002601866056945726,-0.024362706850678605,-0.013864227203243833,-0.03182781250002446,0.004837865457650043
TAC1,-0.04836485559593317,-0.017538113565665044,-0.054543929538917894,,
RARRES2,-0.0018410126522284563,-0.0086645011679198,-0.054251492572659016,-0.055286265245716344,0.028477097419875173
FGF7,-0.01948973928325289,0.011928220185603106,0.07910428017023322,-0.05416416392093616,0.031876965899466515
HBEGF,0.022775068622596466,-0.048894171247074854,0.09320607317972704,0.04958457318456984,0.11483564409619097
CSF3,,-0.019662544109890073,,,
PI3,,-0.02440591487101775,,,
PCSK1N,0.0017522287336162463,-0.006384260956874243,-0.030383169958756045,-0.033220676434199216,-0.07850389631099004
NTS,,,-0.015838267966539643,,
SFRP1,0.009501638889625358,0.06626202396334507,0.017941826541103437,0.05764885948556202,0.07862121553827947
CXCL13,-0.02915219202316253,,,,
MICA,-0.04315213010655184,-0.03221524873693275,-0.003135582927812572,0.03904514668473659,0.08204676132715175
TG,0.06100412421519404,-0.015533349299649203,-0.013378611417638507,0.1405043170482336,-0.044756299011193275
ADA,-0.0017802273398370306,-0.010845709257789436,-0.02726629630905258,-0.03174684453378539,0.053111988648503985
LAMC3,-0.029152192132817736,-0.03935440946247833,0.030302411245937813,0.05144333464666051,0.046667551415547216
CCL7,,-0.01123058672555898,,,
NGF,,-0.01376777704177164,,-0.007602447331442914,0.04611064079442746
TNFSF15,,-0.012505807599870473,,0.003936994426877073,0.02860058311828305
HMGB1,-0.026148907978855433,0.026778836934485774,-0.03662923900524896,-0.07759598060746582,0.004331724331205467
ITGB3BP,-0.03534166042423782,-0.03507609632348657,0.03469271510714627,0.04989894664758461,0.025274354718519583
AANAT,,-0.01137900711744407,-0.012031463432730795,,-0.028629525798048918
RELN,0.025445521659976156,0.05359002860165349,-0.02648939870959768,0.045342713165374304,
IL15,0.09186031888467996,-0.03949619513779155,-0.017468172067002786,0.06985830361079894,0.0856386985838754
BSG,-0.038754193492070974,-0.0011263933036828422,0.06262051865188902,-0.020407628969174606,0.09356043243757554
ADAMTS3,-0.028804726455766993,0.028716267831399574,-0.028940456564182093,,-0.03428094253662146
CD34,-0.010301095917758749,-0.012450074474759425,0.0005631193289627284,-0.03607099954067574,0.07939444678858101
PLAT,-0.040947645168265726,0.006455586170912563,0.06342185263093231,0.03753625584593387,0.06463610539960248
LTA,-0.012055897725588065,0.06463785066196387,0.08248379101568756,,
CKLF,0.06520161836363976,-0.018442368568970937,0.016931954807439524,0.008963710569953669,0.05138841602373548
CD24,-0.04696187736191964,0.051637444572689005,-0.027518123695472085,-0.051550610488402135,0.06693699440349209
