,UKF248,UKF251,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.012707690670483145,,,,,,-0.029984197782375637,-0.011931796456384062,
BMP1,0.023664940657483455,0.05271573984226074,-0.057939450682269744,0.26920122728686324,0.11079824763422035,0.004263282331065735,0.04750608195215073,-0.05388488738500206,-0.012516236011472743,0.012640020381104991,0.09267905266732357,0.12119145209068771
NDP,0.03797470056213777,-0.0008508635746760236,-0.017694307245109238,0.02674904825110228,0.0023211685126501027,0.0850683441046493,-0.003636515725650608,-0.011466267136268065,0.001753951503263481,-0.0061996175189784316,0.11663297909152723,0.025344997854204365
TNFSF18,0.034558488822487264,-0.026712697737409922,-0.01163850606395421,0.08370230457221882,,,,-0.02450776409177524,,-0.03092217392079278,-0.022280737290523347,0.05601259706938375
IL36G,,,,,,,-0.01697402813028975,,,,,
RTN4,0.03545840570839287,0.004106416078349612,0.003779404419513483,-0.24472237970435312,-0.08779086343537999,-0.054008505368921406,0.05055694990054398,-0.02586800269188979,-0.0027322235865437352,0.011273647952695457,0.03632632123263547,-0.2396416459913295
HEBP1,0.02873945464429629,-0.004654209221992022,0.0055762692578409335,0.09511717323264571,0.0764563097866437,-0.04682109135705275,0.051279844635084365,-0.0459934145393321,-0.02412668471533215,0.07762416641361926,0.06299276377256294,0.0898949307984189
WNT7B,0.006133797940406152,-0.016593099774066578,-0.05997113527687574,-0.0963851806157699,,0.0006137610659034004,0.03614563686615169,-0.026980656174685525,0.04767334017481277,-0.022408381078712212,0.04347289042373212,-0.011753731147354599
PTMA,0.0026063352137642407,0.041393761558136476,-0.013271911568448586,-0.1448098081713872,0.13941026085579955,0.02663210945318697,0.012659235499288223,0.09454587189406155,-0.050202514827120355,0.008153207382632519,-0.06717014317904815,0.09343042168888095
FASLG,,,,,,,,,,,-0.001967632553177684,
CEACAM1,0.037911940410896225,-0.012734206068847261,,0.02983223827556168,,,,,-0.018763781335683676,0.08576068595799376,0.020343502852171683,
PDAP1,0.00580274390974185,-0.046768681042761794,-0.016906962424759083,0.14552144848146942,0.06383639739852313,0.05812768671219596,-0.03801081063827797,0.001794364620793775,-0.02079351643984097,-0.06768343203962289,-0.018624532944915374,0.032414396060890534
QDPR,-0.03823760699361942,-0.00511653391116406,0.014439056777329162,-0.17879609957940523,0.08747391012165265,0.0036880368047958792,-0.025992143338887934,0.03138233639179307,0.025437410943501354,0.008460884169300319,0.08075862595711218,-0.12348588926066208
