,UKF251,UKF260,UKF275,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.022022208631731082,
BMP1,-0.022171203092523975,0.07495816972168391,0.0870516657987012,0.14430422636229495,0.08342619210560166,-0.021261302002473996,0.06940213835964891,-0.07352388880303694,0.054500771931230735
NDP,-0.001269731961077521,0.06775984339075218,-0.005059728645897917,0.039180569791276605,0.08235654037915939,0.11466951488992295,0.070489609684881,0.04975383595276238,0.017593238340508847
TNFSF18,-0.001909245200696267,,-0.011847008697438417,,,,,-0.025401115135589472,-0.028861131017118007
RTN4,-6.459799956286753e-05,0.007786413856505731,-0.06658693907417078,-0.031220421313749303,-0.04762655131519456,-0.07624585491242072,-0.044121124070311615,0.054966598484602926,-0.011583079056800515
HEBP1,-0.007076851357549214,-0.0393199873346845,-0.023153296400294215,0.021188380374127735,0.06863027698656991,0.048613911138443565,0.03104640618858239,0.04694607279926459,0.0026365495018573462
WNT7B,-0.016376402005649677,0.00017687874363336595,0.04355312691959453,-0.015376901847795839,-0.0419028440838972,-0.004212592274674284,-0.03728953425948855,-0.047004547980500945,0.0815595438170519
PTMA,0.04679596964185751,-0.03168670398494707,-0.06367750151547527,0.14948481067487665,-0.08952513504637544,-0.04772580663494943,-0.0028035899902225585,-0.11402202461574067,-0.014264696347805176
FASLG,,,,,,,,0.06991184871106386,
CEACAM1,0.08942712628293135,0.026595974847237715,0.02301998964967495,,-0.04404439687223621,-0.008990476567073444,-0.024749606215838632,0.05437685405503381,
PDAP1,0.042788944300904776,-0.051203425043490146,-0.005771749592755019,0.07673653052530362,0.02069508966793599,0.016312483720241692,-0.03513158406995384,0.0059457894126348915,-0.021379796313957776
QDPR,-0.016023762669446707,-0.007846386763685285,-0.08759409765023153,0.07464658421478625,-0.03882947353081771,0.017252163957097066,0.0178629408546933,0.06014716287252416,0.006332231951750023
POMC,0.03606538640829161,-0.03339368918297464,0.01462127420698722,0.04783353851787023,0.14768548387846517,0.058337112987564756,0.00022309063863241112,-0.03314463467195097,0.035261911826730635
CCL18,,,,0.1258794452396903,-0.019442458568325407,0.0463795691337783,0.021020483076769535,,
CCL17,,,-0.029989743787002556,,0.0032603939541849046,0.018455312323352947,,-0.01731187239287386,
VEGFD,-0.018001000366452045,0.07784760482222387,-0.03195153543762278,-0.01818676941173701,,0.04487060307817954,,,
TNFSF13,,,,,0.019945990819658116,0.05134335305481157,-0.02779214899903172,0.0011625783663697716,-0.01489217317936593
WNT5A,0.030345116260046004,-0.03159987709581685,-0.013625026344283468,0.021958509594033688,0.0135191065955637,0.04020390723869447,-0.01463232032511961,-0.06538183380157638,0.0038261313198530485
CXCL8,0.02148564545125754,-0.003531693520066683,0.06162916285113654,-0.06395938446418929,0.05341335052681792,-0.0273503140169773,0.04789934603845228,-0.04375791999231375,-0.01219057513668437
GRN,0.006631175552227205,0.05965664318292292,-0.007008324531115846,0.005802951144872768,0.08400687060731647,0.04643794283291649,0.08967958950973125,-0.08923387631831052,0.023318870351734265
