,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.06572166350415364,,,,,,,,,,,-0.025709257104627996,0.025588874062378014,
BMP1,-0.02273331085384228,-0.02911674348512029,-0.0003978918961173762,0.04255085504680902,-0.013400742882796838,0.23303159899260154,-0.022933690844106645,-0.021622522091693262,-0.034419171492376506,0.006961006554059285,0.025315341950524824,-0.013054843028467305,0.22591532203842352,-0.03858112968377836,0.07081803041725297,-0.02761602105747109,0.02085805480181107,0.02519206102850866,0.09434367064619673
NDP,0.03933902607923128,0.034203749143089435,0.033861019552010485,-0.012742639318724857,0.007976748198811764,0.05180860779405581,-0.024966041732158443,0.024529160102733233,-0.03434848246663843,0.06166719406007941,-0.004236984907078131,-0.006338861423941907,0.09363913450982603,0.08690533075021348,0.10444306892094851,0.028132561316851795,-0.001980598913909341,0.12559123905431427,0.031734469366915485
TNFSF18,-0.020634604151108304,-0.019872584047343003,0.04501750061514995,-0.024277796088683766,,0.10149072675191244,-0.025404842789870617,,,,,0.13775827754696873,,-0.07785214776664251,,,0.03031488702139431,0.034264483450458634,-0.02013851835620806
IL36G,,,,,,,,,,,-0.018686341740150728,,,,,,,,
RTN4,-0.026088434037633324,0.024531702814312162,0.03310219505382801,-0.053365429864993645,0.03605698517164971,-0.28777619063406595,-0.007909152736299658,-0.010522274274913734,-0.03187877589639872,-0.004515429336129594,0.014057159712237758,0.006826343608153545,-0.05220545521093581,0.05203824761261707,-0.054615510191764964,-0.01960676281973393,-0.03483500324989524,-0.038242991639203784,-0.13981639961761427
HEBP1,0.01971138255094062,0.03273725191648456,-0.025556777324992824,-0.008446914501945407,0.025863498279784385,0.15099963191080754,-0.0033079496805516534,-0.010137253652549718,0.003922349190969057,0.0199736214273723,0.01923551267574744,-0.020218342644570675,0.0284931833557697,-0.03488005270826126,-0.04976927000814924,0.0023027485635426378,-0.057538028139580165,0.11601236890130727,0.026040856241388365
WNT7B,-0.018178439963352305,0.07261252451431081,0.052608128357529975,-0.02099761387821397,0.04045527852737987,-0.07387712920998794,-0.006637732525399605,-0.015323563553606838,,0.007884613726998646,0.028530573669173175,0.06923121961073493,-0.08836463478455431,,-0.022272272690826298,-0.003246989256782023,-0.03500331699850275,0.051975967078350525,-0.0016872389180831932
PTMA,0.0087978487216073,-0.023516694483697264,-0.014854553693178736,-0.0392025265230486,-0.04159491388692297,-0.13086516579392551,0.015740464004167624,0.014508191550096182,-0.011059355543311347,0.04770672149560863,0.010477373435046426,0.06818812716433957,-0.048585161463302745,-0.09770183823487101,-0.10323298397684438,-0.016105653732762747,-0.08684739269547144,-0.06290563243930056,-0.0009894793074866912
FASLG,-0.01817844510235072,,,,,,,,,,,,,,,,,-0.02610412473586931,
