,UKF243,UKF259,UKF275,UKF334,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02018780037204624,
BMP1,0.07721714837067353,0.08368137691158672,-0.030435718148081835,0.0654573030540796,-0.09027752878941396,0.026988932501901392,0.02961040719451243
NDP,0.002291758805797401,0.0034525775913278184,0.024260139023589592,0.030275051659930132,0.051730655984019006,-0.02359451148793642,-0.04289875325890641
TNFSF18,-0.005039326767802803,,-0.010799997350439374,,-0.04155880655725696,-0.034053210019412375,-0.02430872650522655
IL36G,,,,0.027428974174359903,,,
RTN4,0.05476584484200331,0.02312827686384439,0.015863136360729137,-0.00659614586022643,0.08781169538066023,0.040331148781156435,0.04804554556697159
HEBP1,-0.0033364781709095273,-0.005861856880543252,0.0008174339611308754,-0.0244391431221578,0.05291483295859166,-0.02827881677250788,-0.06198445945095973
WNT7B,0.06992818463999025,0.07776536556861043,-0.011198841592189165,-0.017360754137797817,,-0.023283084712674717,0.08643958940037032
PTMA,-0.0832135333603897,0.04524887438397161,-0.007060288749420571,0.00821926047057005,-0.0836441944831973,-0.017050518623510338,-0.008900814490938378
FASLG,,,,,,-0.017508872375508088,
CEACAM1,,-0.010582297454366537,0.016007019403139665,,-0.029222894136514767,0.043988965097003924,
PDAP1,-0.003326418846863388,-0.037548244240330444,-0.04333272665900983,0.02993753613412204,-0.021799585780191755,-0.018087055415378753,0.01739389750523563
QDPR,0.06729461896272931,-0.022578886798695994,0.0298486376995766,-0.007698796223450259,-0.04335799479528381,0.042245928094923994,0.06449979034542007
POMC,0.031687166193283295,0.03607643477267612,-0.012531462881776964,-0.014426070557075716,-0.02568429889630058,-0.004467237256298819,0.07262365716533713
CCL18,0.25001999529859364,,,,,,
CCL17,,-0.020512770768764888,-0.013469699390895576,-0.01442937116978514,,-0.01586982621852511,
VEGFD,0.029480552694172383,0.02897413919056702,-0.014350825418150123,-0.015464404008431215,0.007945704778480646,,
TNFSF13,,-0.01414925018692803,,,,-0.02585855722251342,-0.026444427048566022
WNT5A,0.007999672308691527,-0.017335208987790177,0.03727552747921448,-0.014718266606413526,0.033086974999467104,0.040006301713388696,-0.007289223893305091
CXCL8,-0.09905802873453837,-0.05629609221039233,-0.02539234831943243,0.0027226060107151066,-0.07384144853653052,-0.0009936943794679558,-0.05122769019007455
GRN,-0.06587482554943302,0.07791686087979928,0.04689820141133115,0.009115096250380324,0.01891553630459776,0.0454822925935172,0.02752144521861515
MIA,-0.03219223878283403,-0.0215464511362588,0.026529864251488643,-0.021179209985453,0.10375335573909339,0.039244484612209925,-0.04844218706000707
COL4A4,0.09730298634174582,0.06491188858444878,-0.014062782898699602,0.04540413276772565,-0.031107715733359433,0.02209882235373502,-0.029555651384989053
TAC1,0.08916756914458315,0.011918336801042251,-0.0014666140180322922,-0.017297538090092563,,0.05828339717122417,-0.024684725864462482
RARRES2,-0.01199784939724107,-0.022205473401023672,0.06928719911371918,-0.011831567388401609,-0.0895566826995675,-0.01854357128286331,0.025258799603602916
FGF7,0.01738515659835843,-0.0028243230835703122,-0.03205791160675443,0.004044123286001786,0.07521321072647032,0.0107208842050569,0.11072869327004188
HBEGF,0.04250216807193057,-0.048715632320931686,-0.0031691282635914254,0.04686211334166225,-0.03249258520293785,0.07344428976739109,0.0971553307176582
CSF3,-0.04087541519915769,-0.024449434185579887,,,,-0.016708478798453507,-0.031089163620981644
PI3,0.010529239034609561,-0.034501174430754435,,,,-0.0363019735811314,-0.00677788088244296
