,UKF243,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,-0.015031573381013899,,,,-0.016360138320128722,,
BMP1,0.100648071045613,-0.03278919544848394,-0.04435421429213551,-0.1322107519010712,0.08553198912659915,-0.02930314471295009,-0.09310941902654433,-0.06389792176640655,0.07083164922339061,-0.0341533465357415
NDP,0.10593517814349451,-0.016542514159955984,-0.000573510068439408,-0.0824232899979501,0.029239362719222,0.045405416843596474,-0.032181912600101975,0.04408146146205875,0.05548035079553427,0.11156342942024748
TNFSF18,-0.01958114940052928,0.022771650578470765,-0.014292937150458242,-0.02232143521060684,,,,-0.016871921876149172,-0.02049450806075915,
IL36G,,,,,,,-0.01868633854105646,,,
RTN4,0.07233381773088438,-0.015873050610838494,0.03741019336449012,0.14327052509373336,-0.031159697095859203,0.045334569544204104,0.12219695841796875,0.06098576822058496,-0.06454651536863096,-0.0011373566309671793
HEBP1,-0.005087995913383151,-0.050002959242599676,-0.08024725521621862,-0.04766674688530682,0.01154718170639674,-0.0008112579520815104,0.0003839439417561474,-0.03525498931070184,-0.012318310498945849,0.022978991261469992
WNT7B,-0.03268190348447446,-0.02450542251304168,0.011395024720644874,0.15071945002301934,-0.04239309184640533,,0.09563201626236337,0.028207512462696413,-0.00903369963792803,0.01690847346708226
PTMA,-0.07330843507671525,0.031086995542088013,-0.013944519857772482,0.04826973670279651,-0.014692624599821909,-0.06122931892283363,-0.08646660335308923,0.007196136283236182,-0.03942874665427204,-0.15821731319820515
CEACAM1,,-0.015103918562921238,,-0.02937373740327008,,,,-0.024243190283541313,,
PDAP1,-0.07051231004268983,0.0091195207997143,-0.026814620940070453,-0.05826872166924899,-0.00874600257151077,0.014637134961100112,-0.07267317941539875,0.03553824689806513,-0.04777993762540519,0.1353421549931887
QDPR,0.09342021974692426,0.023819845582990388,0.05112454851484736,0.014975984679011711,-0.01097104423854162,0.020418893785778377,0.014593488686281894,0.0440229781718182,0.05540157790051572,-0.1065978665235176
POMC,-0.020915052582206013,-0.03579797412850589,0.02704553637292192,0.04997026218924397,0.05336529398951185,-0.029475159776136194,0.040695025334672494,0.057486980029617336,-0.01874856379337173,0.10197806077079313
CCL18,-0.026259931390974524,-0.018848263287473858,,,,0.010135720516669798,,,,
CCL17,,,,,0.04967916483987286,,0.0411992566694312,-0.021569897331387183,,
VEGFD,0.10853151537708827,-0.01884826927268025,,-0.025181917539030724,-0.038487939752348425,0.021841518766175145,-0.018294984397246798,0.13327323574697228,,
TNFSF13,,-0.01422350883057761,0.013090821639271617,,,,,0.06381432782228522,0.06544229775422405,
WNT5A,-0.037831820939865986,0.0053337683924365884,0.09442920199717533,-0.08725967367737648,0.04701804047204843,0.0054622769603147655,-0.04577516551539792,0.005915938151515279,-0.002325576267497833,0.0434503288917812
CXCL8,-0.0830201531605523,-0.012834958407360264,-0.019716611547495266,0.007981254088139354,-0.010160345209074065,-0.027513703857737475,-0.055006017762214456,-0.013894301852846323,0.04326434959678556,0.041843072230495715
GRN,0.05472942864344655,-0.04793055923485872,0.01790657710480826,-0.13320754381953956,-0.008889267509748777,-0.08302937917203483,0.039065772959610716,-0.1108549766532715,-0.03375683264810345,0.007092133389303315
MIA,0.0003839665745341857,-0.037552255318964854,-0.02506366387033945,-0.04293907667708608,0.033138293344623364,,-0.025055819546529252,0.06008470506359444,0.02512437442098617,
COL4A4,-0.010823641946145877,0.0714690765230225,-0.013188288351908993,-0.014812499845942748,-0.02112422191953824,,-0.024305074508448415,-0.03322668323579243,0.014599393715739593,
TAC1,-0.03730307499250217,-0.015357995399106253,-0.037481825610430876,0.11384493639923696,0.03354858917240556,-0.01987809864928984,0.015458410489777539,,-0.012828446592419223,0.10151897897452243
RARRES2,0.01960017580566216,-0.014244090516022089,-0.019484917515482227,-0.13203566028267677,-0.03969360677172832,0.05048813372023828,-0.05138544093592628,-0.0455961292687432,-0.09669365853809707,0.007436885488933759
FGF7,-0.07414375319459812,,-0.037799852293440045,-0.042213369234719,0.028426991492406708,-0.019574338471444085,0.025153708429754,-0.011946449247233043,-0.008584344700166302,0.07834992221959317
HBEGF,-0.029338017617484287,-0.04775197890005733,-0.031202207598769387,0.045813754397880754,-0.013561034442678173,0.00956190865503968,0.03605062749994813,0.03742679245205529,-0.009377147811904777,0.03401455970739057
CSF3,-0.02978472455522511,,,0.13209281572151133,,,,,-0.026211044593202983,
PI3,-0.035284447763077764,-0.019829167654266365,,-0.01764613537729042,,,,-0.018327145753790304,0.03840537479788489,
PCSK1N,0.07714649977750773,0.027399677999711824,0.04613630292537122,0.0722315417200503,-0.03098674461969514,0.058155398273284344,0.09128553190870518,0.019343597248628535,-0.00199854497222061,0.1605848233499772
NTS,,,-0.016099903590716683,-0.01926196165721315,0.0065031144111759665,-0.04641817321760317,,,,
SFRP1,-0.0459880186863684,0.03088236922532923,-0.023496363624070416,-0.03975573204284362,0.04132229792309412,0.0034068665280694702,0.003931468183002009,0.07235282914671803,0.0332013765485356,-0.028467359009156756
CXCL13,,,,,,,,,-0.021260717645147323,
MICA,-0.020698056752468268,-0.021882197509277918,-0.03417257345743041,-0.08385753737598094,0.0681655511333858,-0.064876304365339,-0.04439456863124061,0.053059335231643565,0.07978802572809522,-0.060407799635520565
TG,-0.02374317946347231,-0.004325615625742332,-0.01858353289199778,-0.018913904973232133,0.09477744353811769,,-0.025642300842688214,,-0.023429420867869897,
ADA,0.110192191038694,-0.013887003985712779,-0.036304756937548366,-0.09721293365049771,-0.023914136879788304,0.02183131704838192,-0.03930916380006067,-0.006158606437838202,-0.03549007771941464,0.03821607215488952
LAMC3,0.011367155187762292,-0.05433893826929224,-0.03237531261416181,-0.046544850173718684,-0.002004593546062351,-0.042672212081854864,0.004586348397402002,-0.0435232787657197,0.023721737169711304,-0.055628696625210805
CCL7,,-0.011989087709994257,,,,,,,-0.04438383857255184,
NGF,-0.017159826491692225,-0.02058466823091968,-0.017733674798848957,,,0.010871933849099676,,,-0.02970515832532232,
TNFSF15,-0.02122884697502127,,-0.02153256901355107,,,,,,-0.029008965616958305,
HMGB1,-0.03516888654143149,0.057360256239329284,0.011482021408702284,-0.1409214017090502,0.0028632242715763254,-0.087476115435612,-0.04991385238464026,-0.007564518163458387,-0.055461250580146684,0.022473157333284213
ITGB3BP,0.027231606287817792,0.011170073598250306,0.016292723782164367,-0.08860643098156162,-0.013862153055051092,0.0492476623690689,-0.05388310211729527,0.025923025077205546,-0.014336660712802677,0.027547933285864166
AANAT,0.10545851257578424,-0.017394342254855165,,0.03973947582332744,0.019495443233997177,-0.043639938102717546,-0.0228984439614924,-0.026681270991796558,-0.016004431545811795,
RELN,-0.02958725194302846,-0.02651512642961543,0.055354142751679956,0.11914156975877148,0.039017417556096806,0.0615339119680546,0.015169678193105465,0.02668052559594328,-0.05437147433038428,0.044463326902690184
IL15,-0.030176439535069037,0.03332566131620364,-0.015321702949577834,-0.03687237671984143,0.02235653869877112,-0.02842646863964362,0.010559092889258635,0.033542566397223195,-0.013012012656219756,
UTS2,,,,-0.04662954501361845,,,,,,
BSG,0.011382888953911813,0.004164360966992692,-0.03788761596331167,0.07676198859163316,0.028339212334588932,-0.004784338723049451,-0.07279004285861378,-0.009053379038256119,0.071136916345734,0.042063428302027556
ADAMTS3,0.07919402533708286,-0.019681929284762957,-0.02467883107602973,-0.12397010697298107,-0.029370063178884295,0.01697055156639975,-0.0352894527237407,0.03256096376169988,0.00887835441687866,
CD34,0.009274749532376104,-0.020005946635655355,-0.024871858311870002,-0.05347787960544942,0.0453394467360167,0.003720440562026135,-0.010073823444400143,0.03872422630504963,-0.024238534010740047,-0.045319355156014235
CCL23,,,,-0.016084492806457015,,,,,,
PLAT,0.054109872220412816,0.057557587445031554,-0.029410094459399225,-0.12991083702425923,0.05492183720568699,2.978602866884264e-05,-0.041565587141128964,-0.02886640798761404,-0.02194747572502775,-0.09635397666869555
NTF3,,,,,0.012651881700111237,,,,,
LTA,,,,,,,0.010974571331319767,,,
