,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.011405625376238784,,,,,,,,,0.05094301056741951,,0.02451997349360129,
BMP1,0.06968426735172455,0.07841081044813994,0.055957731864459466,0.04134347371396166,0.010815833264877369,-0.013112535444915495,-0.01787967508921863,0.014942424709511997,-0.03567232666222142,0.004711755627347158,-0.02024579873182017,-0.03530263393915008,0.08088562966862085,0.02846211748574131,-0.009474671464979658,0.011670799148165448,-0.023319682288154144,0.16243320167803918,0.040468866483473497,0.025698983351817077,-0.004613675427506503
NDP,0.05274500051145442,0.047662299895018995,0.07152524808766406,0.021805757352076013,0.07714198667524619,-0.041074318528624025,-0.040738666170817846,-0.031785992569494784,0.036095720053129776,-0.025048519851851813,0.051617684331873304,-0.029511860339790072,0.011632740259161696,0.06130967678657138,0.1448940070478239,0.03975745815277951,0.031243810154556736,0.01258397325808865,-0.06133704971098265,0.07939430821756387,0.010016032535767291
TNFSF18,-0.02187004489993426,0.06895718204246916,0.0122689484480807,0.0013489572883024735,,,,-0.015079728024480498,-0.03870758488778712,-0.026572977317715928,,,,-0.03278539042623763,,,,-0.028471737366053275,,-0.023547291151165637,0.008800580632111088
IL36G,,,,,,,,,,,,,-0.0016344131513525996,,,,,,,,
RTN4,-0.024974701611906965,-0.017219643806150615,0.028388706856164923,-0.05383350019272849,0.06479488113269996,-0.058289790204279046,0.026395889147619478,0.017824848821795965,0.010226240624092199,-0.026764898899301226,-0.010550805066016602,0.0008455007068881896,0.012573557427659044,0.004745001359639662,0.004224755581328751,0.015685898059762397,0.051343415789676036,-0.14880747900770727,-0.010314456266124974,0.012462605120230261,-0.040732713440466646
HEBP1,0.0008129131160571401,0.0627865758415587,-0.004211675912746648,0.003657452653774719,0.02438146770992014,0.06496504219868005,-0.003534646358550978,-0.03859959827381982,0.0362864010176935,0.048893021139169254,0.016721038617878378,0.021299039673269543,0.03037141378495416,0.018009178606567606,0.023918817615365007,0.001030645507653368,0.02714351148158724,0.06468356916916376,0.016500709883430355,0.023531681609262084,0.020801164580188613
WNT7B,-0.01717132710607633,-0.05578237180208171,-0.04617115684089636,-0.01570923790960861,0.008807858123400548,-0.016386634850482494,0.03262849846425273,0.026985507492870306,-0.016018802199408027,-0.025266202142438257,0.05174005398816911,,-0.0064968244939137615,-0.036093514827817544,-0.049284167028262195,-0.02602798712481427,0.015131151240640447,0.03539259075128071,-0.0018110284045188291,-0.04019693453191262,0.06087874474563625
PTMA,-0.022214633700161964,-0.07718046926867118,-0.010475668859291461,0.027529664523847152,0.038797150740138564,0.016143402707003943,-0.05532066244399701,-0.014551449168118303,0.019083617927863995,-0.07689913518167588,0.0174329014080178,0.03944637390949111,0.0721190575659948,-0.011804140702581843,-0.05580972689720753,-0.060606689355077396,0.015051027056840579,-0.06406454028393925,0.020066170053881758,-0.06132799140885907,-0.02816602719324422
FASLG,-0.03164229481008695,,,,,,,,,,,,,,,,,,,0.03393890013385784,
CEACAM1,0.030074482465418113,,0.016147693485971754,-0.012055895248587255,,-0.00028888928731299676,-0.008766212477603716,,-0.03559223034541241,-0.02097947737643691,,,,,-0.00658472845228649,-0.04282675100817693,-0.02609465434614708,0.1828650826625098,-0.02956931915502464,0.05934617996274198,
PDAP1,0.039318874521919366,-0.005344140288794437,0.03886722145598496,0.04309057877476186,-0.006611830786840935,-0.020659142450121255,0.003132893232623613,-0.006186846045978066,0.018763416486433787,0.017571608402303058,-0.040678062540484186,0.023836670939795458,0.04431125348993679,0.00956569217438958,0.04322283436799063,0.009642893298560998,-0.054309748422970566,0.041234621571841885,0.03716020797868671,-0.05661897129290428,0.0380374898853144
QDPR,-0.07679306151990846,-0.01461555138892633,-0.008939242347989368,0.00788375427628874,0.08766659466218092,-0.031111052940566826,-0.011467489870454995,0.019158452586139595,-0.021296818296849138,-0.02263426489744561,0.013868071031444027,0.02174156409767177,0.02255275768214837,-0.03757447246306377,0.014527587753290582,-0.020320123024818924,0.09707101692047315,-0.06765301545455556,-0.027663129019548413,0.057829015204367146,-0.005911640032768852
