,UKF243,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.014158620288528923,,,,,,,
BMP1,0.05577687686992501,-0.00569784775088933,-0.04133385320673743,0.052406377559471834,-0.11545398237543845,-0.06158060646558934,0.0037022328024189925,-0.03971868926692695,-0.08174426155045227,-0.04389723648249632,-0.005768244740189294,-0.032424246034595545
NDP,0.014310092577565875,0.03020906118385548,0.024126843551195157,-0.0007102227129117869,-0.0013767857672220144,0.052445649690761015,0.017524249973166133,-0.035633316647921257,0.008977238742317938,-0.021706949970924802,-0.0019198484907482596,0.06287779277983495
TNFSF18,-0.021812107582778986,,,0.03343622426400045,-0.021025126075036635,-0.013259369246745534,,,,,,-0.032296676721774796
IL36G,,,,,,,,,-0.016974026172323502,,,
RTN4,0.028795029562789613,-0.014167736691647321,0.04423264481896274,-0.001984437131082562,0.1455605256171488,0.10833275155757874,0.026673616754465893,0.18448311047510624,0.09786861967936758,0.05496700128580429,0.025691616835517198,0.11823233646892743
HEBP1,-0.007883773599446572,0.016459587659466535,0.015493476322805705,0.018404829925863484,-0.06425399837068847,-0.005778231529281856,-0.005760519680404874,-0.06831246168989785,-0.0031235764705928237,0.07073226740478937,-0.0045971057152114254,0.031532228981498246
WNT7B,0.12718535005081796,-0.00964472213895348,0.017479983481874604,-0.02335132669264092,0.04879657476272863,-0.0380067476620883,0.03765014220311116,,0.10907776493580418,-0.03304595766446047,0.0377482265743257,0.06477127261407088
PTMA,-0.07331635719506761,-0.034939899219194215,-0.040994951165913625,0.0454425437243808,0.028389614309950698,0.013301319448271384,0.007431195886074754,-0.1913934049697586,-0.08801713311927759,-0.03518718554992683,0.053891174962042494,-0.044127681528484515
CEACAM1,,-0.026274341079143768,-0.018932384613392854,,-0.027667868413107408,-0.020853828992061434,,,,-0.024697629671502155,0.04911271617762295,
PDAP1,-0.011056282474972621,-0.021372197241736543,-0.027179903152622652,-0.037792106002224254,-0.10584240785033854,0.018749402216104764,-0.00617755006078747,0.025890552504941752,-0.015291305941032247,-0.02375293191769263,0.024824865511521126,-0.01663639585776122
QDPR,0.06646157408962144,-0.012331056494640351,0.045632036542483774,0.07827409534532107,0.01267621904610053,0.031985216764214564,0.013820592351522934,-0.1575159345813569,0.027282213346588806,-0.04078248160850174,0.0023449761719013403,0.12811359676729692
POMC,0.11738184559461748,0.02647172223954154,0.04990564781681396,0.03166584230600918,0.0005041137426708908,0.020416755163257028,0.051551637932220847,-0.015200570566823403,0.0036710971332248846,0.0138009144370982,0.01963010844131147,-0.04737594285769456
CCL18,-0.02925182975218242,,,,,,,-0.042143809201454205,,-0.006464006921596383,0.032946972097109964,
CCL17,,0.02288905953278905,,,,-0.01653701497058996,-0.024466576221196055,,-0.015506254800857166,-0.01752177285305286,,
VEGFD,-0.014484913200541523,-0.01696671315743807,0.001650673048381395,,-0.02371948694489449,-0.017618790731193337,-0.01794652954296513,0.0059580577090399545,-0.016618533550530463,,,
TNFSF13,,-0.01050457719230214,,0.07362553985828883,,,,,,0.030711470482872996,-0.024444487411470917,0.03863960497792861
WNT5A,0.004532481077545506,8.130995167716142e-05,0.03654409634376661,-0.013846603286395184,-0.10028415608223473,-0.012531691890314143,0.03006521838492889,0.01426259173949009,-0.05564824303510504,-0.02975625007188189,0.08641588786428069,-0.08512311087994855
CXCL8,-0.09824164763444518,-0.003081770151292766,-0.05991816900692683,-0.004938821530679065,-0.02717822354823169,-0.03548925247367947,-0.016712588651456313,-0.06740341140944067,-0.03588105353455556,-0.07354491907620718,-0.002161255812104505,-0.056277021050776026
GRN,-0.04183706797645627,0.008531018876158864,-0.05057157290815463,-0.020688744029334048,-0.0461409199950253,-0.025135502225566174,-0.02601085914672661,-0.11447147252920781,0.04458296797843221,-0.1015678914595206,-0.0009625200807974386,-0.06729271118198885
MIA,-0.012102117682075229,-0.03206702394285473,-0.009370916971111089,0.042370351055945915,-0.04044540560063995,-0.014325035692021407,0.0070873795956472325,,-0.022759843284299048,0.08384204552144878,0.05201802575106625,-0.045043640500297535
COL4A4,-0.033178242879279,-0.0188136830992817,-0.005174787812668402,-0.027590860695572653,-0.01395226936838799,-0.01726515526256964,0.061347594273641,,-0.02207789235543582,0.03837604408480376,-0.025290105492550403,0.014826731014138677
TAC1,0.12919352341698537,0.06497646123511247,0.0592756952796196,0.05510126124540471,0.13667808845629703,0.07267492818786526,-0.008039544192876055,0.16691119271728436,0.10090316750802455,,-0.005923203496765527,0.10832976818801132
RARRES2,0.04201136273533486,-0.00022490737207397056,-0.10255603550473286,-0.0408853632115821,-0.11158681247763606,0.1109110247553874,0.013312320851351223,-0.024664457769625336,-0.05885296555409049,-0.07356146327704667,0.041301372108876876,0.009295595838602278
FGF7,-0.029715755421916592,-0.026994696835559745,-0.034681957606563805,0.12429035003783201,-0.03976184335092809,-0.03935812884770694,-0.02426245441019987,0.06507620574427149,-0.021813779693966213,0.028292817694589953,0.005861068072151722,-0.020534947495041245
HBEGF,0.00860691466267583,0.022206982277587342,-0.0871005432872797,0.04092873531777577,0.023278842465778608,-0.08879020970192561,-0.012373441987632683,-0.09317942778584452,-0.04201996063276249,-0.02273606697222255,0.00021242487412458712,-0.11738235276011758
CSF3,-0.033178216611965,-0.01815156035249213,-0.05413400441503752,,-0.014761232443916668,,,,,-0.06845209720076002,-0.031208017301114825,-0.04130519411624966
PI3,-0.039304545145158555,-0.031324113041794874,-0.006181834649747371,,-0.016621342559030222,,,,,-0.09378813724305009,-0.02105322398832982,-0.02766567707637787
PCSK1N,0.07943679243277019,0.009873785408514373,0.08689634938833843,0.0566208973355121,0.0510216641227103,-0.016043044411872095,0.03099076181457814,0.18038575734468745,0.06670250967767735,0.06929210846796169,-0.00794550595968811,0.10342471512682723
NTS,,,0.012233626328947735,-6.345072167456007e-05,-0.018143330322370338,-0.01972343294175895,0.013696132812347746,-0.026631692372454392,,0.0036282090802060934,-0.021045435895468912,
SFRP1,0.033457218801986266,-0.013287832749183917,0.014221057821794442,0.07216024138599855,0.010916650687744731,-0.036622277134920354,0.05928468048849844,-0.03564075951943108,0.00674140280964011,0.01772512274923932,0.0228601911526259,-0.00804007170018044
CXCL13,,,0.10330446552407467,,,,,,,-0.03935749429474245,0.026895721802188337,-0.018264955709960656
MICA,-0.023762780788371272,-0.03861368418801495,0.02619052089305344,0.04178854088296272,-0.04475226668910184,-0.007591838500541146,0.02521325550086652,-0.03605695810701328,-0.04458106424099257,-0.0224234043769985,-0.042688419148287665,-0.07676635085552545
TG,-0.026448334274007845,0.06698677583429356,0.07461977475493642,0.002579652141554396,0.02603693525341994,-0.016660416764453494,-0.017706354962208744,,-0.009103305879668951,-0.02328205542742842,-0.010666578344758223,0.01859167647487959
