,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.006687633957749382,,,,,,,,,,-0.015352594569306982,,0.04754248928856963,
BMP1,-0.008949558847577112,-0.0021855699372878915,-0.051004227161621375,0.0714128832337754,-0.08910779926267474,0.1012119808823263,0.1496935102552886,-0.014037455328502717,0.036647659273370804,0.1389156256180559,0.027202578466580765,0.01932129853635017,0.0010124161250117491,-0.009338640245493393,0.03479291748518488,0.05387973898940578,0.0952675823396993,-0.021810570671468514,-0.011768069230069792,-0.041481180714528956
NDP,0.046255059865399226,-0.009589184465266657,-0.024254974806159776,0.1101464849046403,-0.06614282066707958,0.032535645659202944,-0.0252031214957683,0.003494690320812256,-0.0043112783516931165,0.0623799929809298,0.019939388665143786,0.021034574239419724,-0.02248829754404186,0.02776203581587294,-0.0071990332202792615,0.010753809501706967,-0.015950483924071827,0.008196937462619876,0.054356180246638734,0.031196114791200543
TNFSF18,-0.027311027507809813,0.0010692644045721923,0.07049894301315657,,,,0.057029043425186145,-0.02330451967082813,,,,,-0.05558325074859932,,,,-0.01583285979011829,,-0.005229364430695176,0.03675426978723073
IL36G,,,,,,,,,,,-0.018081045500644814,,,,,,,,,
RTN4,-0.12287027705319657,0.024029139886404826,0.009303573351838262,0.006482015375449224,-0.04463256988543781,0.04990931344527854,-0.169448673309644,-0.047409319827627805,-0.015003719036004906,-0.03728954077378884,-0.05571952937344241,-0.07353757901575056,-0.012610438607086834,-0.06881095931280362,0.043520394587126726,0.01688653229317119,-0.08607099486211271,-0.006602558237442999,0.05224865577775901,0.004564254742629072
HEBP1,0.03169519018921425,0.0078003417487156335,0.02510728590349102,-0.03244372877828592,0.05919005632265191,-0.013470194445483512,0.052975397178269205,0.03333531849156942,0.04667511140907331,0.03955152012056202,0.007342460071600774,-0.01867532487428235,-0.010638058784323624,-0.033119219644398436,0.0119282426484588,0.103165181074136,-0.02965226326595337,-0.07654005084701636,0.10596665898007936,0.04151960564463106
WNT7B,-0.012808446947059937,0.011247839949499289,-0.015480747203838035,0.0517489735671631,0.005653389547116844,-0.040788040799665436,-0.04007415189515501,0.03984283509968417,-0.012031755116813711,-0.03271109957378597,-0.0198731526901963,0.02332629318202862,,0.005707661020503105,-0.03890237926837645,-0.013189697155073987,-0.03310779066616634,-0.02724023387425892,0.09456114653384379,0.01708833227882311
PTMA,-0.09460076256892128,-0.10056259113423913,-0.022299129384907294,0.039566714531889126,-0.03561139856314381,-0.0359008222559086,-0.06480519960243568,-0.06999730571747226,0.08520066884509664,0.07851964165208782,0.06234960152682569,-0.04593209448730513,-0.06832515254118561,4.5721998470612496e-05,-0.06336308003738468,0.07975129006690927,0.0011395753375504382,0.002844923124687166,-0.01316460904425875,-0.07481179257282167
FASLG,,,,,,,,,,,,,,,,,,,-0.034902727361878265,
