,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015031584685050137,,,,,,,,,-0.0006474382218978642,,-0.00919376328157986,
BMP1,-0.002820582076339401,0.06150381845673376,0.001901585309380995,-0.05039992922450813,0.03472027573491394,0.029360103857880352,-0.02172500611745231,-0.05268714910819267,-0.01837601627650674,0.07975771428606929,0.03906144012916609,0.039833738718250626,0.004597408638908679,0.016778838760368932,-0.006304331816764434,0.033305578060719605,0.02185600603474356,-0.046491759691772355,0.02581487042929312
NDP,-0.03334359580204699,0.06577911949216798,-0.017780955393207277,-0.042204383571041865,0.05653929338666414,0.021876713317243064,0.018771858548531185,0.0091007943464016,0.02295193210053009,-0.000841093270039612,0.013382902995921903,-0.12240434370418822,-0.0651246479147702,0.03612849651724605,0.05800796540171317,0.051794893410239226,-0.01749810469426298,0.0901105132803604,0.07902546059256935
TNFSF18,-0.025387503561954804,0.02690273757386907,-0.030940065168140473,,,-0.01396664580143988,-0.0223214519967613,-0.019068247162935415,,,,,0.08893289710457335,,,0.061736776675986496,,-0.011784878501109881,-0.033105680707117884
IL36G,,,,,,,,,,,-0.014899820256802731,,,,,,,,
RTN4,-0.08023889307894243,-0.05085357787832654,0.03984202898350109,-0.0042907249353926645,-0.006742635287159656,0.08766112971269834,-0.0302007548439918,-0.05474679773640444,-0.041314847445017226,-0.00370910732725898,-0.020274323495629874,-0.001917582609827795,-0.014289968925381036,0.0016482899534875366,0.0634453015935384,0.07102039921246531,-0.06962319030163781,0.027694232160288126,-0.10699322274784426
HEBP1,0.04516509427934577,0.007080699797254,0.033115482287945336,-0.0009788966207581226,-0.01077194702771675,-0.050873876204181434,-0.0025483934738478667,0.013588082419012147,0.04066761226218111,0.0614762466599385,-0.03539124367133399,-0.015341258236359156,0.06434407356943202,0.049740594864930064,-0.018764631286532923,-0.013282286012598482,0.04258384814567895,0.058338456557939,-0.030450652438723063
WNT7B,-0.022365595479358902,-0.03971774084510249,-0.0457879026496825,0.04940652767877623,-0.02215657966800042,0.07242276582122165,-0.021614560743845698,-0.008371896649920864,-0.011878752595541322,,-0.01637661953836467,-0.01832232545153696,,0.052519432403390943,0.04116955471699548,0.11261177303903237,-0.0042868426605340276,-0.030020798176209763,0.019819334938522344
PTMA,0.004197915069141595,0.014586679256222505,0.013818597398475558,-0.0031032043433573643,0.008537201181031647,-0.021018195517325207,-0.046424250388078646,0.040845119232107985,0.009212578416727542,-0.008201753743230561,-0.026997086301512912,0.029954341671682087,-0.01863350152216054,-0.060657157152699905,0.05167460588402747,0.08758419567379411,-0.04185547769385612,-0.07126035486660696,-0.0924347267512044
FASLG,-0.02236560180205545,,,,,,,,,,,,,,,,,-0.02197052013930215,
CEACAM1,0.028845984601720887,,-0.01969250354546867,0.004813557842243779,0.010005553681230343,,-0.001324532361413507,0.09369997635996344,,,,-0.0524672097023161,-0.030603808580405262,-0.013868277433794764,-0.029129651236171315,-0.03430946324753326,-0.020068259778681753,-0.030568751891794293,
PDAP1,0.03658351946644121,-9.254621847551171e-05,0.04478084294607731,0.019427026045290317,-0.03698631053709675,0.04060041563344542,-0.003801136367822558,0.06778432120779418,0.024830715516112097,0.0479548169018145,0.020967848502115152,0.02588233981340929,-0.027340466425357837,0.016269347284951722,-0.04524131320727431,0.01519831926230022,0.008082251405401438,0.06065641872694143,-0.004112336065906564
QDPR,0.017252037142730235,0.010693925113120978,-0.019328214102720207,-0.019900260873799896,0.01429385939210143,-0.06873387778976983,-0.04215747541661982,0.03196189099103809,-0.0014905621858809159,-0.020462623272187615,-0.04137796876567172,-0.030737610334964915,0.06585791324828114,-0.04358375324816649,0.03788468890001473,0.036267861575114156,0.010020819203885466,0.06114342101450407,0.00038325405861627804
POMC,0.07718430766393479,-0.00906211559093778,-0.006461135607883529,0.0009592207559895137,-0.029302349644935735,-0.01635870458867992,0.02698348410159607,0.06618737027967549,0.01475966411886986,0.019914028450337903,0.01148067638538476,0.0729781219844104,-0.0388745952513806,0.04841872506527504,-0.023911615022693598,-0.02797163756560859,0.06469721780164261,-0.031090128494270924,-0.016347174784263025
CCL18,,-0.003169806895736418,0.05951326868886634,,,,,,,0.010074567774800982,,-0.04498788934076559,,0.01648209357749755,-0.043289911957193436,,0.00029879780934443534,,
CCL17,,,,-0.029747906048673924,,,,0.023033546827916723,0.06420658940367924,,-0.013611408810342963,,,0.09383834009985884,0.08138666772640299,-0.03052616388721392,,-0.019913808785827835,
VEGFD,,-0.0037869997669762534,-0.02457439160122275,0.0016064785535264798,-0.013932174216808509,,0.006770385999456858,-0.02533751418506504,-0.010784509794347865,0.0177732225764181,-0.014587768412793418,-0.02677529732247754,0.02974694597325156,,-0.029129651236171315,0.03305101966094378,,,
