,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.0016928830764902343,,,,,,,,,0.0056021251422776735,,0.07772012637969457,
BMP1,-0.021320184770888772,0.06825847354980108,0.041623838772993214,-0.035346643885970225,0.017127845529653796,-0.02926581393231477,-0.004907135981396513,0.003812018123657118,0.010758729583343155,-0.029884204704976786,0.05724670706535488,0.09948796299254001,0.008591130112133923,-0.03525768251650646,0.07474006496952741,-0.01878888499778967,0.003940399312312704,0.11235889157031725,-0.03426778784514682,0.028542520777635052,0.05784270570720529
NDP,0.093747936310545,-0.0021273208617624867,0.023434714170217384,0.05472179616979199,-0.051096450595653445,-0.06818559853604203,0.02411664993546161,0.019740765215363765,-0.04453195894742496,-0.010552010979809083,0.06601514369575992,-0.04289707519879838,0.04239612300783169,0.055145806631110135,0.04138040740054932,-0.04375763833754789,0.08021979378729455,0.016318056063596192,-0.012618577724257328,0.09992394378012609,0.004050086498256082
TNFSF18,-0.023591420145529337,-0.025051874651564242,-0.026901508242589394,-0.025289796944407413,,,,-0.011035273673756013,-0.017680530223326246,-0.01640117955963182,,,,0.039084324016872646,,,,0.03898009038260211,,0.06374886960366145,-0.04064315142780639
IL36G,,,,,,,,,,,,,0.023249198337977738,,,,,,,,
RTN4,-0.01584143322768452,-0.02409392435672995,0.0032935144539584537,-0.03225686173309205,-0.028602309996344284,-0.07259938321729925,0.008154839402754242,-0.057960034853471,-0.04327903081315929,-0.03296239505346969,-0.05027709838963951,-0.03634001735564377,0.05894795801315111,0.005183875374967165,-0.040567157976666726,-0.004481030186471568,-0.024256813708755494,-0.026877690917569932,0.037959282601721864,-0.056358651230830864,0.026197013366285646
HEBP1,-0.038301466030355676,-0.012727135187594336,0.04368316650585927,0.04634010160021571,0.06667272558920521,-0.00709067181636551,-0.06137907587649687,0.04303073560955452,-0.028901806178595068,-0.01700675149856925,-0.050846423907759807,-0.001231067301117331,-0.016742499293292017,0.020475880752804904,0.0017834630375302518,-0.0073514009110754895,0.026840243450220912,0.05381381555214651,-0.0147683495103669,0.07104055692771051,0.024968603753573664
WNT7B,0.025233531257337592,0.0013558543625943008,0.011815828181608918,-0.01570923790960861,-0.03534025371320502,0.07904527878500982,-0.0398561847850912,0.026398504121175757,0.048807701678591345,0.012821068744295592,-0.013333402474102975,-0.028173624230474273,0.054752402704501595,,0.009527757899566764,0.0005392541576175054,-0.0021874057017235086,0.0008846675766763979,0.056943588537983966,0.08664334188720636,-0.024234350523416735
PTMA,-0.0019550907607239023,-0.0003964256223857307,0.0109091845292194,-0.020770383515829337,0.028024713658933303,0.030932287442868443,0.02327697118947849,0.09601982407772557,0.04346990069295506,-0.010502686197494768,0.005274280476106041,0.04438213103771649,-0.07207666828378337,-0.059019189162094386,-0.05165819317717865,-0.04860713638219468,-0.018068408379310626,-0.07562953473906014,-0.031217783139578223,-0.08799672812131938,-0.03756225515271837
FASLG,0.07249013664689692,,,,,,,,,,,,,,,,,,,-0.027252350476155582,
