,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.03479935327642614,,,,,,,,,,-0.01660306565842024,,-0.03536105398844221,
BMP1,0.01718001340515522,0.1581525136793726,0.19836125651747694,0.06288673977941932,0.0031452896093268944,0.0016751063776858422,0.03822819261392086,0.04528438612993676,-0.026284841734956915,0.03941503307239292,0.019681292403868594,0.17447084903186286,-0.026039101453879818,0.057180780234465454,0.28720934360393213,0.13341170272253763,0.11770931066611157,0.035761921599714974,0.07096837623903864,0.21977228453845135,0.07530867031326743
NDP,0.00707347150879319,0.10448841434332425,0.08210929508242426,-0.010875049718984167,0.0021169937436077667,0.01838030912467447,0.030473376498826713,0.02707225612482631,-0.03972014693773989,-0.027438874609068825,-0.03222551329659225,0.08101147315679737,-0.02085413355917585,-0.06707508165065097,0.08089136356679927,0.021748176964811204,-0.06657061792150315,0.013187531723543526,-0.02288083120128241,-0.05301739164671263,0.020003322467874205
TNFSF18,0.08981801799264919,-0.031214025194061218,0.043389574996408026,-0.026101473478649453,,,0.05741737056532339,0.06095577954380027,0.016834235725335787,,,,,0.035398034753471655,,-0.0741303199323601,,0.012113048640301863,,-0.006413506001746142,0.024439801661608685
IL36G,,,,,,,,,,,,,0.045753520056710836,,,,,,,,
RTN4,0.025620283191796996,0.06320282950422233,-0.020148566021265617,0.03724192224076246,-0.005811259915424461,-0.05494969536115292,-0.044806649018092795,-0.0440521427411553,0.001973351327808169,0.006409963806364268,0.09069351354848873,-0.06091741707276606,0.059721186828228474,-0.019217861492558372,0.024266743857207996,0.046233689129012615,-0.04438348679723407,-0.07079640622553968,-0.11079838559882886,-0.026759316216147,0.01647924073054719
HEBP1,0.006307280159847885,0.03298418514995585,0.05682850058894038,-0.028904249297642823,0.008398855287707908,0.0029077186083987477,0.038203511629358235,-0.06579861982316206,-0.021332176994296636,-0.008101456920796888,-0.09306800339851988,0.05653000845020567,-0.007801203606808553,0.01913537317624739,0.08725639118920119,0.060830692519494495,0.005924749976315693,0.005777794715027427,-0.0026471142338684714,0.007657923908961032,0.013421326370308857
WNT7B,0.12736304610046917,-0.008037523672833016,-0.06883093888161732,-0.013255082267488314,-0.0067998187905643544,0.08261105324944004,-0.03946166232397353,0.03741458840924123,0.04820358272933801,0.006456123957512858,,0.07685516648093454,-0.022425615157373034,0.03582079313617651,-0.04312966103863571,,-0.05397780709715858,-0.02058090666146286,-0.032797872393052374,0.025095151097935035,-0.04834058427465864
PTMA,0.04496408059692705,-0.13153254543904386,0.17934369576465667,0.019000915218887107,0.0027005831929547094,0.0019010539272521741,0.11274899864014334,-0.0016119478957044833,0.014860232223357426,0.020469182109813414,-0.11692334095504131,0.16352446401843226,-0.059544319419529104,0.0713013038586287,0.03548009855758093,0.005398071539549454,0.04348440670543268,-0.01622906820387047,-0.009732820457172369,0.10930791689911504,0.10408002091228677
FASLG,0.04470408594045569,,,,,,,,,,,,,,,,,,,-0.03895582438549631,
CEACAM1,0.05701765485949902,,-0.023218529887337348,0.014308400070497147,-0.004557057436864239,-0.025531244090338065,,-0.011588554523830608,-0.011323413205985297,,,,,,-0.07213264085134573,-0.05212619589315545,0.07487253504203689,-0.024603170961701566,-0.021768424909700247,-0.012868109657943433,
PDAP1,0.006696589351319144,0.0006194631366876165,0.05398510212302788,-0.04044713143354318,-0.06649141038348763,0.008994725053921206,0.06765542610703272,0.05105524054991821,0.0035540139646635157,0.05897749309948086,0.0352095256655725,0.1290487366119794,-0.012495276298047446,0.032306795429392264,0.013537872345227075,-0.048205192755816244,-0.07045611322921101,-0.038947560958594,0.0020493472758921806,-0.027994397428373632,-0.12087483911809115
QDPR,-0.025262120715599645,0.009192341944867236,-0.09612676323591944,0.017257409812476737,0.035493851185889144,0.027479925361606403,-0.0058402636152278435,-0.07083197597469067,0.018374675280559076,-0.026400449018558373,-0.09117409134502862,0.029257564284058776,0.040263878446876344,-0.07624566138090141,0.09528514917728176,-0.10433556175952372,-0.043819174553781606,-0.015778727386218737,-0.10027370874156152,0.005865506109151622,0.012234483530762737
POMC,-0.03202863812709206,-0.017368376219284887,0.13345835140582263,0.0019085975409956907,0.014388242364529676,1.8877131814140748e-05,-0.024523791434604918,-0.010368201100179027,-0.0298011135900322,-0.025842245123464908,0.09405665505234712,0.07213696623462397,-0.026134999622157647,0.0564910006120327,0.08918508484814862,-0.0034467314417619787,0.11377115053653702,-0.03489524915273865,0.05014608023899138,0.09504438742937697,-0.051682769852023844
CCL18,,-0.04186057433431573,-0.06981280021513381,,,,,,,,-0.059143586925484805,0.004044565735684626,,,-0.020705713070461824,,0.10175805367272835,,-0.025041664948149012,,
CCL17,,,,,-0.028293328929453323,,,,-0.02329082513875877,0.02022222628725556,,,-0.018639024678771335,,,,,0.000553292054734835,,-0.00956535644902043,
VEGFD,,-0.047164632067107165,0.026525008694001984,-0.02070760753592336,-0.03152189285181589,-0.024426848813609826,,-0.03524955737317933,0.07750449175446265,0.05506929031549756,0.009292327794647618,0.04583711900112716,-0.0199760200610275,,-0.015120152680715053,-0.0007181549495552752,,0.06750460402257999,,,
TNFSF13,,,0.11797583921357238,,-0.01951610507213737,,-0.013678572795937411,,,,,,,,,,,-0.002431383305124286,0.10205035328804081,0.00680575374354402,0.02430264473869997
WNT5A,0.0016339645780412274,0.008281452579671224,0.028714578920105257,0.02372271754658849,3.6743500770058033e-05,0.07600909753388466,0.014643611780809872,0.0031845923173396988,0.018660259632631765,0.027740094970828508,-0.06042771628787008,0.02659047521425919,-0.02169520790486579,0.032071679663037374,0.0005618061923799844,0.11886781520889289,-0.011270741786258642,0.014330858287319335,-0.003702797797391282,0.12589158441951778,0.1098391137635452
CXCL8,,-0.08204652187942661,-0.09892995035863121,-0.03287017360823098,-0.06037781332680714,-0.0218681765517162,-0.0007688116910178225,-0.0630525997502395,0.010983231681806569,-0.017893517196113852,0.006598630583731308,-0.01710539639264041,-0.060060248778380426,,-0.18717572659424353,0.030933467694204218,-0.06042960653498775,0.1515267237370505,-0.03550144415594332,0.06873152591867812,0.024250859975574388
GRN,-0.02536918716062161,0.1426212923109295,0.21320823911745676,0.01180168346570341,0.05140552556676229,0.05746547215152754,0.026631295323890965,0.05212450874097599,0.05273888758489882,-0.03884411018337842,-0.05321531963035044,0.05055316038692547,0.04236140425702961,-0.0019373503436265686,0.07319516362480626,0.12128896052042495,0.1309893525114572,0.0488280873290851,0.0986205920626224,0.18447172357543615,0.07082267648807808
MIA,-0.03610068884602193,0.04652779755183366,-0.0046921749250639164,-0.012440740297226268,-0.032277597634037515,-0.04396157093659646,0.0644049375223137,0.03158211389531917,-0.026851214557694163,-0.021852617362064036,,-0.03098712611611823,-0.0014279804342684076,0.08028273235509446,-0.1032014998462911,0.0843238182896518,-0.018661647772507204,0.048609085276700915,-0.031229101636294002,-0.006693749944395154,-0.008944155447399564
COL4A4,0.07067645812407776,0.048867692962497974,0.01027609363277739,0.08686163746554326,0.015922927894813668,0.04326102977430045,-0.02572938293854223,-0.025789093727426233,0.008275595006946846,0.061186353116773715,,,0.024548680415043673,,,-0.016749399257800557,-0.00998818149173452,-0.03372005740908993,-0.01722487901970238,0.08613475295202445,-0.005557702947859084
TAC1,-0.027580632615796068,0.0994366642585907,-0.04362107370731859,0.0027396295800430717,0.05573535860256592,0.03205700786103533,-0.06328063058109536,-0.009966718721103014,0.021245556527202645,0.049054310299741936,0.1183666635296482,,0.10629882858778891,,,,,,-0.03755673441237626,0.10672506671719004,0.09685376592860288
RARRES2,-0.0485721254901783,0.0022063590405222025,-0.10881202265062136,-0.02669019126836715,-0.015589114867959634,-0.07068377794401257,0.015318825230816235,0.03981691789956059,0.01336437348692141,0.0077172515845849035,-0.04833826864882233,-0.13839830482851656,-0.07214052129034874,-0.05494757703278542,-0.03628384791201284,-0.0870563719705296,-0.03404210909121976,-0.05634628195315379,-0.04097655639770366,-0.0029401809826157047,-0.12836740577931186
FGF7,-0.020894962315835094,-0.05622206883356906,,-0.0008065046469246926,0.005483653964337474,-0.030579361708945846,0.027935930671332484,-0.013214428583749936,0.018750274759173242,-0.018270917182717547,0.04912088445916458,0.04088804823607955,0.0005884202958683767,-0.015494269987755833,-0.04108692269919869,0.030941695645882002,-0.004264176556242579,-0.028187372754958844,-0.07226825762658613,0.008099806221155187,-0.034532355389277604
HBEGF,0.047800533694513536,0.11032497705910223,0.22482384676911676,-0.009595972362146911,0.018399010001695568,-0.048803597718632984,0.07628794383919378,0.019152203863571304,-0.00868764216789253,0.013511326990117025,-0.040224489773406716,0.1254505953273609,-0.021771946731575422,0.07117547634371801,0.09901574391545989,0.049006084465937245,0.11468303010102923,0.04905638485778602,-0.02877621604786141,0.02285439616836533,0.045068842403948525
CSF3,,-0.04747939580297776,,,-0.033723181102622166,-0.05421439751269025,,-0.02728436478520158,,,,-0.03432640546027416,,,,,,,-0.03120801064585643,-0.03717501343672082,0.007895128882777222
PI3,,-0.056246424502816784,-0.0734460092564436,,-0.03570305793418752,0.014683606075003868,,-0.03072255486277313,,,,,,,0.08355082684109792,,,0.09182569769769967,-0.07240109973118845,-0.08076895401052026,-0.14285028481137377
PCSK1N,0.038249527357379375,0.11819475388400079,-0.034748758804355434,0.023377694592821418,0.04752052949955225,-0.019710639714116178,-0.031460709841087474,-0.025886308186946035,0.019532564366435294,-0.0008612311197189967,0.1370552752281522,0.01619710601123918,0.06335794791042615,0.10424583128291418,0.16598748133708438,0.066659963712695,-0.09460619083951823,-0.01803553537618988,-0.04299428729322788,-0.08382819486054219,0.06606870589064591
NTS,,,,,,-0.01076694541200662,0.004674062857592375,-0.03353576639449035,0.027405349020939548,-0.023438850922517154,-0.025458000211446438,,,,,,,,0.03637668364875004,0.032797724012752355,
SFRP1,0.005730925175585842,0.06001467635786895,0.022839074424032962,0.0338306712161443,0.023226929019198275,-0.027866804332135064,0.010991187998889207,-0.018399659431863592,0.06346162550794865,-0.004461303600987021,0.016154882403094786,-0.02105343185831776,0.0013869642000065169,-0.05932640822749466,0.035493409618800986,0.013469422995758033,-0.0431798013725988,0.0504817766168008,0.014504463756374727,0.1665737792891844,0.04609717107492258
