,MGH258,UKF243,UKF248,UKF259,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,,,,4.56102425759816e-05,,,0.008194387439815367
BMP1,-0.01276009135750681,-0.0023054098791325545,0.03950133297383528,-0.05732124076383779,-0.025692235902244034,0.007941836497589531,0.033577781388218035,0.008704193944453762,0.07222349238022813,-0.06337037275488762,-0.03055257413013493,-0.013635069934134374,0.04551414276176805,0.02012691176469634
NDP,0.0019076695279529466,-0.011020284830115617,0.013772324223525815,-0.01595270351706012,0.07303530714108687,-0.01439972734341454,0.09916440492910301,0.01295443288557472,0.07544385534300552,0.01859295696668131,0.0576628190400844,0.03739473939462428,-0.016364479112031153,0.1467343317917465
TNFSF18,-0.018998240692298884,-0.019872585124347183,0.03991066854046917,,,,0.15237248113687354,,,,-0.02313093385632681,,0.10273833672301909,-0.007494419898950799
RTN4,0.02539081316913325,0.04845236105531685,0.04124983179391972,-0.04634946950473901,0.02028287777525985,-0.022552672549554755,0.0676775237911231,-0.05869698282044832,-0.02630393673741306,-0.10794081248209732,0.014782865550455385,0.041731909409215215,-0.02257274369831886,-0.053441354723469656
HEBP1,-0.037984832214585464,0.0009468780807870541,0.024530428488040667,0.030086818247946772,0.010315681557753021,-0.08060890834661445,0.054602897266585314,0.0015397355558382192,0.07166416168744076,0.09442087798228221,0.030012231719007725,-0.013068492577858016,-0.0017012999922906512,0.1257141822081023
WNT7B,-0.016736855008469963,0.1399282659485232,0.004798778224334172,0.036225986934060136,-0.012031754906531496,0.08251172642879062,,0.025566185658546202,0.02613917384150403,0.05158140955208016,0.07760281779194701,0.039114528003830806,0.06603912466099092,0.03221516709998142
PTMA,0.06132720308988375,0.04903921598296425,0.002116305196517937,0.026000014018012486,0.00778824124025073,-0.03503717082490361,0.04046720863569201,-0.029526493662063294,-0.13412881542402313,0.03224574322126803,0.055573935125723846,0.03815805871660052,-0.014528131660363841,-0.12951300140101416
FASLG,-0.016736859739935998,,,,,,,,,,,,,-0.0407553694273548
CEACAM1,0.035846536975992764,,0.07910214961641769,0.06522727408176758,,-0.02350004580672675,-0.04053050684926932,-0.005232898165071305,-0.0127402758690074,-0.00989558853682832,-0.0022383612036278094,-0.035488362007491066,,-0.025455886679607406
PDAP1,0.020990678778514252,-0.07046078396804296,0.04662027598069715,0.030149940729684084,-0.002102447280531741,-0.08369377359932993,0.07818111641679526,0.007355457446997986,-0.03885661376200521,0.013274496757234607,-0.014510170077876408,0.06889756038791454,0.03407653445075775,-0.02451435680381283
QDPR,0.028686103286734634,-0.021597424012852934,-0.0300487885438376,-0.0202029129561166,-0.037135096899398534,0.005611688061651401,0.038116773823922645,0.03178436955949416,0.09785656385054312,0.0314278176439319,0.13236288045769623,-0.019699166990389518,0.040577793397453286,0.06969593808226252
POMC,-0.009522632667684045,0.009242207521591212,0.051316918903661586,-0.03552667918202625,-0.0323606467395895,0.08103267257470725,-0.030573323221611087,0.032532169915882314,0.1446617220340248,0.030166059408293918,0.03874734667086917,0.02964951270304858,,0.044507479321490816
CCL18,,-0.026650770659691316,-0.039079638635072335,,,-0.04629686090707176,,-0.02857417349535218,0.05151251195228034,0.07210205667148221,,-0.06578894456085232,,
CCL17,,,,-0.022112119304391265,-0.014891939737001791,,,,-0.04430649493938637,-0.059969964288819226,0.08892122734385581,,,-0.02421232125448671
VEGFD,,-0.030027628919529082,0.03303786245892139,0.06847134486616271,0.09250379131765109,0.0011516624254346848,-0.05510033588303334,,,0.05764327113930629,0.11317107299240059,,,
TNFSF13,,,-0.02949075873696749,-0.015252445012325925,,,,,0.03322725734994158,0.018873753923645847,0.030149430772567067,0.061318049088427445,,-0.015592966661678254
WNT5A,-0.02797453608142837,0.04229897738601801,0.03752182789848334,-0.040752243155849285,-0.036908410758386516,0.01869700558874025,0.1797479115563802,-0.0007049349383265597,0.09591381710755303,-0.007426168668894903,-0.004784852255966313,0.03363203639891201,0.11859472492039447,0.057110785185168385
CXCL8,,-0.032836518814171455,0.0011544179824954422,0.04812729852731296,-0.01017236170670964,0.07688674374987643,-0.00781019260409192,0.00382370975872103,-0.023729452701450382,-0.11434770877831746,-0.015588385269609654,-0.03720901092249126,-0.06515711585492814,0.01346053502066394
GRN,-0.006108419010015417,-0.011200955884730936,-0.026259567735465734,-0.06467465111056976,-0.021085677458935144,-0.030990182159588577,0.09079937195094175,0.005098859241196921,0.09220743692476992,-0.05150226929293353,-0.07535349185781287,-0.04679482567316207,-0.00863101675507302,-0.06914266284853919
MIA,0.022056024034599987,0.019519892120725545,0.0055145712606540056,-0.002336377996772978,-0.012423087401369945,0.02370962774003978,-0.05195530752476176,-0.017445827203559503,0.1939189007878131,0.23287260101750845,-0.02510371135129519,-0.045499780862241,,0.15748234296742933
COL4A4,0.03070961418915975,-0.01081174077791004,-0.009705094701871152,0.027656714834849248,-0.02086979885893449,,-0.019887628292483684,0.005692181515982412,0.04401053714280378,-0.033251015239543776,0.08157703886062358,0.01787889288688355,,-0.05599998787171966
TAC1,0.011157906128907937,0.009294864800343224,0.008324708812517451,-0.039613236779718945,0.03777834148814303,,,,,,,0.0296919764902183,0.011723433717488116,-0.028510523206702897
RARRES2,-0.029696024202855456,0.03395035522457034,-0.0016841892188187864,0.05391121473232984,0.058760403815403504,0.07497667141404615,-0.022349818637128704,0.07561483844961214,0.05957773846323833,0.0035111300073595113,0.04940296900713238,0.0037426215678710794,0.012348609583544761,0.0632842953456553
FGF7,0.026815564529969377,0.003994353999385006,,-0.0003986984500466395,-0.0034015136714673345,0.03839657990631717,0.07189927511435454,0.05444278185622175,0.05221131219875281,0.07237647291510134,0.08020800490362545,0.035052405085721834,0.10712249227410979,0.08566066402487237
EFNA2,,,,,,,,,,0.08790251108115867,,,,
HBEGF,-0.01921105965581859,0.07760199940584551,0.07519868853280968,-0.0037411835652964185,0.13505753624843816,-0.02968968815449619,-0.0383522031134031,0.05037639161431523,0.04874498415606946,0.031203907312695803,0.011216413387854788,0.009127940699921538,-0.0583647438414447,-0.08198167449079143
CSF3,,-0.03022802502660777,,0.13095953375995795,,,,,0.0171611582161842,-0.09481270958795864,,-0.050877414600643184,0.025691988042117225,-0.016564338094906234
PI3,,-0.03580960327683272,-0.04111342751021454,0.048280406177214186,,0.07500854609971333,,,-0.03542988005502614,-0.15376503375573575,-0.025126005165153138,-0.0760588934113659,,-0.04703540761125177
