,UKF243,UKF248,UKF251,UKF275,ZH881T1,ZH916T1
IGFL3,,,,,,-0.01776087482079724
BMP1,-0.009696261630797695,0.022787981573147226,-0.004345843969822816,-0.02060400859859486,0.03408284007676303,-0.005471169445359816
NDP,0.007028054726442811,0.01176002044238138,0.023386321691662524,0.013027821789391433,-0.023801264151676663,0.025168930541585203
TNFSF18,-0.024578332663780695,-0.03427400492203116,-0.013336467699025563,-0.010647509681371023,,-0.029959420504206094
RTN4,0.001536253338020433,0.060184715929633516,-0.030492292069532113,0.07767521830178366,0.06255265753480105,0.022031328280061494
HEBP1,-0.039340077027476154,0.048690267722316244,-0.0336356607271792,0.02379805466242127,0.0018694400648894293,0.013555451419776382
WNT7B,0.15394888956594097,-0.014603490152812069,0.022261578951269945,-0.020224665504870575,-0.01915367030375008,0.03347551652218779
PTMA,-0.027618310177660737,-0.03712297241666399,0.03318453114574463,0.04839937226415371,0.02215448114162391,0.030364889497031086
FASLG,,,,,,-0.015404000672867443
CEACAM1,,-0.006290414461525439,-0.02101010006053145,-0.016745996129576765,-0.012712569545842288,-0.02143240450040951
PDAP1,-0.04498573444596299,-0.047831894698061865,0.019061103669097988,-0.02732466846236592,-0.005008588775605952,0.0062063462615137375
QDPR,0.034183475026366025,-0.06204250157478124,-0.010461463126837878,0.044543270935308375,0.02500807800352178,0.000442826394605548
POMC,0.004423310490121318,0.021685365185610414,-0.019793660258939264,-0.012354528249030876,-0.020796093782271236,0.024122379102475954
CCL18,-0.032961565036523505,-0.027222390989199107,,,-0.009510815271111589,
CCL17,,,,-0.013279517579130084,,-0.013961996438468889
VEGFD,-0.0056430581406016495,0.011335218174480868,0.03462636410196882,-0.014148202783512946,,
TNFSF13,,-0.020542896325182018,,,0.03674026121654789,-0.0227499078359933
WNT5A,0.005507754047056003,-0.04583854747519665,-0.016198333805243787,0.055493158869709285,0.020821853494600338,-0.0019191190370476585
CXCL8,-0.07753115733942846,-0.043161782749544214,-0.016277441967264328,-0.0671003181330742,-0.020793742307879524,-0.007623291875302707
GRN,-0.043082806823674116,-0.025862948091217038,0.03330856812749823,0.042251479565649425,-0.06303470653170161,-0.013221691228577907
MIA,0.04654298330274594,-0.010148446333078428,-0.02676239013030593,-0.014303957541025461,-0.03681763236264843,0.02846037122896202
COL4A4,0.02597651275915825,-0.03269387040247124,0.02227755015277642,0.005962519441591167,-0.025620221505583633,-0.029668567129382508
TAC1,0.04311667833619134,0.021670348821600318,-0.01408957472841005,0.07137975575876915,-0.021932804055074646,0.0716347247441917
RARRES2,-0.015718731627335177,-0.028719037901714584,0.0032727958859067627,0.04395450925764542,0.0025657491855986666,0.040512582156586846
FGF7,0.034459310303243555,,0.07280845344832433,-0.03160527851273665,0.04281289579008548,0.02352415965044289
HBEGF,0.005882982175041071,0.04441169328339521,0.009846100057626256,0.0059555552937635686,-0.00016882877635851197,0.005732064031163056
CSF3,-0.037385898725516724,,,,-0.018225204964004874,-0.014699828357535815
PI3,-0.0017603758915886603,-0.028639103064395148,,,-0.07650545657169265,0.020872124742839226
PCSK1N,0.06978292836266871,0.04223619055376016,-0.01432115343299428,0.0012002965962396054,0.07446329729043226,-0.007079066514626343
NTS,,,,-0.015838267966539643,-0.03336253028174458,-0.021768441311018873
SFRP1,0.027920028982561376,-0.027710842033669372,0.010178415448474795,-0.01865818789979548,0.03654909056812913,-0.021262597884031627
CXCL13,,,0.0002692580286007745,,-0.02972910188616371,
MICA,-0.008317886837451946,0.037595457362893,-0.008976361162521351,-0.019461274185705566,0.10856138044816456,0.044019424193985024
TG,0.02681497511180932,0.029920023788321298,0.049839870955309465,-0.013378611417638507,-0.014999623744461033,-0.028667469177433947
ADA,0.049102667116619925,0.016302120256121412,0.05873748986716761,-0.005959599276431425,-0.008224870779347176,0.003299219882490953
LAMC3,-0.05099229451471967,0.08148071542257095,-0.004242014014507421,-0.01660380145723686,-0.02478046850413496,0.008003972604011292
CCL7,,-0.01731574035588546,,,,0.037390856567927726
NGF,0.032767362182917176,0.11561108701957841,,,-0.03128869418979893,-0.010476443458582141
TNFSF15,0.03973394399629573,,,,-0.011317539394483664,0.0003563208539160898
HMGB1,0.03216646898654627,-0.026317434420742542,-0.015799258327185664,0.04658591127433779,0.016985315763433394,0.02885273736664431
ITGB3BP,-0.06298375089718784,-0.01098083958628582,-0.016323289107286074,-0.00933835229924521,-0.011829379239547494,0.028405708147879613
AANAT,0.026672829876437022,0.0029453518775696837,,-0.012031463432730795,,-0.016298069296873784
RELN,-0.0057259980652477884,0.023638526503185642,-0.0011848491417590797,0.029518906562206515,-0.013670361080445252,
IL15,-0.022418384444554032,0.002194969224618091,0.008640631296055799,-0.03412645718673844,-0.02760696179248647,0.06749159779886969
BSG,-0.010222333841608802,0.0377240301691374,0.004649100954484613,-0.05579461691577887,0.020840496001864942,0.02431495246646987
ADAMTS3,0.03291905390564149,0.07181280770427173,-0.014735549296374151,-0.0026928156727957465,-0.02251526749691636,0.0060549049811271325
CD34,-0.03560260468599429,0.01899143391684962,-0.002947616769444066,-0.01793517146138069,-0.051700594460811426,0.0027546459846874167
PLAT,-0.026162796517420053,0.07315703210399456,0.07506540836566052,-0.031217989418463495,0.07826172027749448,-0.03292119231839196
NTF3,,,,,0.053391423524800675,
LTA,,,-0.02101010221654405,-0.011587553160305459,,0.05712600994958701
CKLF,0.024820294405275223,-0.006548363281695155,0.005328393813534914,0.005503410024199549,-0.009074119836044175,0.01949895623917341
CD24,-0.06955738924447898,0.02088351478882001,0.07182208858084842,-0.012130266849037119,-0.03487797511261029,0.017091778856263704
HSP90AA1,0.028898695459759614,-0.004607942252024681,-0.0016522832875537497,-0.028189796797343167,-0.026410728539062414,-0.03031959210634259
BMP4,0.016973319193474622,0.07473614750782605,0.00755941421549304,0.025859768940608457,-0.002205331898839782,0.043289111065776695
SCGB3A1,,-0.01731573862433456,,,0.07115644523520596,0.06239820241719901
IGFBP4,-0.03842120112036448,0.037367252777089056,0.0742499806706165,-0.07477108338873746,-0.06622139865067272,-0.0038091987708291364
RSPO4,-0.004674458380794574,,0.014712425993732335,-0.013477029757715937,0.007413117638246663,-0.01373209724848752
LEFTY2,0.020779060456798257,0.059299346073499994,-0.021268138238073848,-0.03318921640892202,0.06615628331147122,0.018350104937519512
PF4,,-0.01796229924012139,-0.019111543537504147,,,-0.002680206412580819
ANGPTL2,0.024880637321685113,0.08201802598524174,0.0422301587672063,0.0015676456451482914,-0.01057788267840265,0.035247305770187864
LRIG2,0.038533228492783705,-0.0024701352084389814,0.023058160119411527,0.04874000021022449,-0.06999816382683033,0.0012768649435516309
ICOSLG,-0.014490606900744631,0.053608496629711,0.13035300167317396,-0.032591640323876826,0.08547232349095284,0.008242423743615734
WIF1,0.04810966181111759,0.04237623911325838,,-0.01039990465138052,-0.014713884163934498,
NPPC,-0.006938039983835597,-0.05371805926160702,,-0.0064170206037986646,0.035031567124661045,
