,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1007nec,ZH1019inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02322200682726877,,,,,0.02404552147186738,,
BMP1,0.02023860793339858,0.138211431933511,0.04573032279063244,0.02326057573586019,0.03608175766251855,0.10549633981466365,-0.08761654078387549,-0.07287701581867878,-0.06028536156227035,-0.026014616391707362,0.07162244390156605,-0.045214211422768935,-0.02711289298401737,-0.011895473888440025
NDP,0.04578413921578388,0.12456732718692917,0.03159819529263851,0.0010436859306909266,0.0651697459413457,0.06400570671189319,-0.0585200181025288,-0.01634260350191885,-0.0907265504365093,-0.009389161746156784,0.01836867219524329,0.01801979307450824,-0.006816724207382353,-0.0015274715539870776
TNFSF18,-0.03272896598753057,-0.004682349524693152,-0.010453145438083478,,,0.17995571588477519,0.010437928730671838,-0.020114125595589193,,,,-0.03206678207168582,-0.019393092996816477,
RTN4,-0.07958112911131562,-0.13992949983181563,-0.025139683749605055,0.019266777412215733,0.01748431985651859,-0.039068957409586116,0.16425057278902325,0.07404219684792611,0.255256746002275,0.0003858790341292516,0.009175869582354695,0.03462100077724941,0.11452035952229439,-0.012929934997686784
HEBP1,-0.014566876985113417,-0.03251054974595211,-0.005576809993419051,0.005152920580376569,0.0664093720777609,-0.019741984470298977,-0.0340386962131018,0.01397140356395714,-0.13596031571248268,0.016409626957517194,0.03250893404611027,-0.014408286930647302,-0.06382017452290631,-0.0768420183531399
WNT7B,-0.0288331939352938,-5.4342396007842264e-05,-0.018502017053819743,0.006644948490821501,0.04965651561219105,0.04581375442188317,0.06655607955304822,0.006436532950431274,,0.001890145993555131,0.03490898543975118,0.004908281320580974,0.02458849365581177,0.002422915422181056
PTMA,-0.05696726859164167,-0.06592285775136089,0.03495365083018877,-0.022761741460112398,-0.0011710273971772221,0.09024933153039845,-0.052255778754067395,0.06543134660685693,-0.34093024125219784,0.014106407971078885,0.013898856550077818,-0.019805283325563073,-0.04866527680980426,-0.14011089803413998
FASLG,-0.028833202086363866,,,,,,,,,,,-0.016487526270396118,,
CEACAM1,-0.004394563674004438,,-0.015803933884392458,0.02317058524500849,-0.03749093974924658,,-0.037122428956889025,-0.013582771409727058,,-0.036591205613594475,-0.04347934976100115,-0.02293997122842755,,
PDAP1,0.03628879342448466,0.02386806486729512,0.05913368219652772,-0.020216037809375087,-0.026536818669740194,0.0008243322343974388,-0.07884722862073186,-0.00920550427789299,0.04210453583614207,-0.10478628093097177,-0.06017603999807426,0.0036436545540590613,0.05120851518661362,0.07446856490536947
