,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1
IGFL3,,,,,,-0.02094096821590198,,,
BMP1,-0.04286922550167978,-0.015054649542386594,0.06235029392052005,-0.02271997622905694,0.05910824689044778,0.07669439099616149,-0.022437686297293563,0.06871013707699081,-0.02552031543532464
NDP,-0.030683256426649323,0.1548490976427053,-0.021024655371528714,-0.0018544086586469038,-0.052545284417688146,-0.0017350924644746806,0.014567549550121557,0.031005537980966093,0.0015206830049296531
TNFSF18,-0.021911213456619942,-0.03311335682242502,-0.042742149206407364,,,0.06657748673668211,0.05165123242731012,,-0.04287681205210366
IL36G,,,,,,,,0.05039229948188961,
RTN4,-0.0027995798539736712,-0.04099276523326225,0.012838190483357492,-0.06325176335584673,-0.004344398508470311,-0.045215495219479006,0.008826435875256044,-0.08644690893526502,0.027540882059981592
HEBP1,-0.04541825456656357,-0.019157662172744443,0.031433095845133346,-0.007163788860548899,0.02783418894145597,0.037075840948909956,0.016100910971251596,-0.011933349625111625,0.0967608274009129
WNT7B,-0.01930309277699273,0.07171374026344489,-0.002393971803262042,-0.022423413322742582,0.05458168509928947,-0.020048257924580336,-0.03962628406779668,-0.025826232665543205,
PTMA,-0.10001026899037183,-0.12044806633877254,0.045200155445277494,0.053084148097811465,0.035100718430891534,-0.06894830624666833,-0.023688492963762495,0.09988234495516361,-0.008436568516157377
FASLG,0.07775133983796824,,,,,,,,
CEACAM1,-0.008991279373274558,,-0.02037560343662176,0.019683701490565347,0.028926773403225168,0.014624473277174498,0.008813807280298925,,-0.030149675683867085
PDAP1,0.08406996774793586,0.028094734422027562,-0.02004896871918571,-0.030004975581403866,0.03425476378426603,0.07291724258027209,0.03121754424470949,0.019863474300438614,-0.08559480927361214
QDPR,-0.0704817123946959,0.0426175078106887,0.012801841838108176,-0.03192083496470698,0.028727762409210034,-0.09233175549619117,-0.018629698959506568,-0.0170072460613463,0.051381897321097034
POMC,-0.06257924201127481,0.07224411654921153,0.026565854385854532,-0.011319526576102652,-0.032614278726862005,-0.04532350830366505,0.04149840536518087,-0.023227899248999418,0.06353584786948356
CCL18,,-0.04440773421902572,,,,,,,
CCL17,,,,0.023573862625017893,,,0.0758077351420389,-0.005540194880774071,
