,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1
IGFL3,,,,,,-0.020688241250358345,,,,,,,,,,,,-0.03599430145927578,,-0.017544614016019283
BMP1,-0.09505519006830486,0.06209638917005116,-0.017982726836571702,-0.03199478054379046,0.018599444193905083,0.07457493195527659,0.010151772347952592,0.005935895357226635,0.05885566948519072,-0.10574149751342753,0.052695645301557605,-0.018756593433584483,-0.02573555716368435,0.013559823087973256,0.03653484022977066,0.0181275230629688,0.0014412058420412066,0.0035008597636832575,-0.018167507541939146,-0.018828705185197775
NDP,-0.00032034296766366045,0.06562141956621355,-0.01300383903538082,-0.015640625177487332,0.017452024531297135,0.0617459435649215,0.06164472460965228,0.007417274602235349,0.03451510822286034,-0.029267397827142973,-0.015790151336686233,0.042980618960187435,0.01997105152439929,0.020168561383170573,-0.019771176682358924,0.019401831847536022,0.03598537950146807,0.010058515823205591,-0.03980715753719466,0.013573808162334233
TNFSF18,-0.024504293978384988,-0.02690150846137071,0.010800777723911088,,-0.018297110450820595,-0.030721417178760386,0.002816308715988466,,,,,-0.038813239848177125,,0.02582118957540758,,,,-0.03712028775822018,-0.03905547554450353,-0.029594627190008865
IL36G,,,,,,,,,,,0.24825848039952939,,,,,,,,,
RTN4,0.004047461170169812,-0.007532918271326247,0.02979302018989141,-0.049051772987830006,-0.08412893589852045,-0.09187830093618692,0.010223095672743796,0.0377409484308757,-0.17495635607142868,-0.05367140638922394,-0.015248332384614264,0.014872314809708588,-0.0020881132991848474,-0.0009959094046052496,-0.013102579002926922,-0.038428248276846974,-0.05663855588440645,0.045645517910150944,0.027251474790752482,-0.05293187369319209
HEBP1,0.027915211518166744,-0.043383815821826134,-0.04683044797492894,-0.01423066995526431,0.015019133204016362,0.024066863857196974,-0.021912830827747,-0.034029817680713406,0.04172091830930154,-0.08398664051030928,0.022058418926087942,-0.005950087484791084,-0.06887406406775658,-0.08876548983472511,0.02772587599854562,-0.001924920487790994,0.03751249303066376,0.0816908558768404,0.02105023410026748,-0.0077865401388914875
WNT7B,-0.021587515499127297,-0.02081615368809786,0.047102025397216876,-0.005204070194478653,-0.020290810580468072,-0.005993511171188295,0.03824902975190737,0.07639335898434008,,-0.020341494009101405,-0.01918663896110655,-0.042729588690659494,-0.034481963826688514,,0.0036451042992763664,0.09143808793207314,-0.018438243782276105,-0.04081158007557403,0.20337223209352082,-0.03744749970841244
PTMA,-0.043078353445573286,0.028701137901295783,0.013703921468114515,0.07756032845838369,0.07926765663916041,-0.011835269658385699,0.0683351547809545,0.040699149302787355,0.19706920297040154,-0.033668898776216045,0.042133697430787605,-0.050436668966888795,-0.027389484916187513,-0.03408505983241323,-0.07780590470796316,-0.073092126506252,-0.03445670825423071,0.032837911230589434,-0.03756607265760788,-0.026723545053664526
FASLG,0.022433951237629084,,,,,,,,,,,,,,,,,,,0.09228051055680324
CEACAM1,-0.014569490004830854,0.06058364664636018,-0.022821019616960224,0.027301356644287043,,-0.030589835835340883,0.02529712203541408,,,,,,-0.04178464591690493,-0.04754970726416017,0.07783440315125492,-0.01876378076083886,-0.015399748901938029,-0.01467020725742399,,-0.02117143824213952
PDAP1,-0.03619798287404236,0.034413832609338696,-0.019215443626196285,0.03966538418803467,0.05284067403675416,0.03918465492591252,-0.034123982696257,-0.009809149916069312,0.060084663801032695,0.04059778789748547,-0.012517363289426563,0.017224757327304302,-0.03479013515294927,-0.014972245179846634,0.0655265045173407,-0.005698749359391486,-0.05787745132883675,0.04058733600241329,0.03446278881314963,-0.01232382875495198
QDPR,0.04888902543630291,0.03184227606385777,-0.036740659786192356,0.008286721514769127,0.013459702397643606,-0.061253132283714276,0.01050872158297447,0.07009105276681264,0.1186079475749775,-0.05841290109870619,0.08977718127051112,0.07437528877195801,0.037048711092374835,0.06098058193240888,-0.101959481281459,0.0028797136785732036,0.04823438796506397,-0.03307407319934863,0.04307709449358749,0.07771291003390268
POMC,-0.010312829876180808,0.004782312703150566,-0.03217223518121251,0.018744131683236895,-0.03997157742596034,0.028237148482652977,-0.017554604982041633,-0.01067425192492568,0.06850477750977962,-0.034959954521789134,-0.018575684465189323,0.023243603372089177,-0.03844895740777784,-0.024092905287935187,0.09340723702712445,0.0148756732640495,0.020582257912877978,-0.02006299219294181,,-0.017953321935853358
