,UKF260,UKF269,UKF275,ZH8811Bbulk
IGFL3,,0.034614741402938416,,
BMP1,0.05178476329609875,0.07217395356710694,0.017089229267208884,-0.013208478403396574
NDP,-0.0005702542551384143,-0.01488285784236802,0.020815579010696278,0.028494201262935427
TNFSF18,,0.04232000405534715,-0.012622089446573373,
RTN4,-8.897216217198958e-05,-0.03201419038674055,-0.03087597422117201,-0.006528687951862381
HEBP1,-0.002390502520139642,0.05051244460838357,-0.004753749837390416,-0.024698127205241647
WNT7B,-0.001761799798614897,0.0022898665414918477,0.02141317431682826,-0.03178788185058355
PTMA,0.0067803080472768305,-0.049671671256275654,-0.011936695197956286,-0.010947544178424133
CEACAM1,-0.021637422307805163,0.07530231815909404,-0.01985153968813039,-0.015399748832127795
PDAP1,0.025546562664286534,0.07247747954320222,-0.02796683158807986,-0.01958698386451259
QDPR,0.03968632090788274,-0.0699917964813537,-0.0535077451962589,0.012457794122265654
POMC,0.027415863041524442,0.04276502317735676,-0.014645674462481979,0.04458429723596894
CCL18,,,,0.013845845151643901
CCL17,,,-0.01574220298520926,-0.02223050422669024
VEGFD,0.06852988328916494,0.046431661898716246,0.04847046939315646,-0.015399748832127795
TNFSF13,,,,0.01207904365727675
WNT5A,-0.06297464696672887,0.05159943951051037,-0.01125101027244577,-0.04992562344772093
CXCL8,-0.006809545554476645,0.023454166527681047,-0.03590470730237546,-0.022897653365116854
GRN,-0.02279872048899151,0.038715057836430485,-0.030425108298334943,-0.00028637868898489735
MIA,-0.022632009137835633,0.0024110886853574384,0.039880192499078364,0.08470501283195246
COL4A4,0.09708672225188032,-0.015468438047274373,-0.016435346959405277,0.00838402754333397
TAC1,-0.0035053831346154134,-0.052035052595995474,-0.008000559288672176,
RARRES2,-0.01700507128572511,0.08154055541701938,0.009119405606347719,-0.020514618577864928
FGF7,-0.019911761384680655,0.00969646173071817,0.0713029314735703,0.023724267510612226
EFNA2,,,,-0.014636430666357864
HBEGF,0.05824643675884646,0.04206244966407647,0.04344557583435518,-0.008344497696355585
CSF3,-0.06299044938416387,-0.01636530972355521,,-0.04684551882084077
PI3,0.01334378372199661,0.12631326694544337,,-0.04371802127372424
PCSK1N,-0.02197970858397044,-0.010103211069488286,0.02265659751038926,-0.007394021837433363
NTS,-0.02901732281984887,-0.020114934255691313,0.09629225229572784,-0.01783171330776119
SFRP1,-0.023616781523449717,-0.009510568820891435,0.01663587925525438,0.045168704076872644
CXCL13,-0.023404532089816018,,,-0.03760516278993263
MICA,0.0765142808336107,0.08556910137556244,0.09308030032725537,0.060139427833679295
TG,-0.035528301456666765,0.058931921103118484,-0.01585967376764452,-0.02196170423767773
ADA,0.029133799596623922,0.038668299200611544,-0.014990044186096781,-0.0582197988724765
LAMC3,-0.003561808496922102,0.03562743253746135,-0.046888809783049525,-0.003959861932820349
CCL7,-0.03103008844004249,,,
NGF,-0.03312138975697648,,,0.04219364256255735
TNFSF15,0.0418725126377876,,,
HMGB1,-0.018849111777007793,0.0388939522393077,-0.04350888261202608,0.0338064077523378
ITGB3BP,0.07097512905880647,0.04515504908976393,0.07253645110079723,0.002031125411297688
AANAT,-0.02070146354835152,-0.014761952247358563,-0.014262697303464704,0.023630636889076313
RELN,0.000367734850475343,-0.04331619960456912,-0.03140185544827179,
IL15,-0.01897560517585458,0.022942506517414918,0.05499955367584388,0.011472912489501948
UTS2,,0.07548784110767459,,
BSG,0.01723277216956759,-0.009180267562644511,0.006588933922212939,0.03834573679597352
ADAMTS3,0.03147744020152457,0.039626731006775495,-0.03945838609464836,-0.0007257543558472498
CD34,-0.02497056138474609,0.04050268574869243,-0.03314265509363509,-0.014628836140462767
CCL23,,0.028198050525375388,,
PLAT,-0.021314108497275396,0.04725328785723286,0.011232609637600378,0.03116500776239013
NTF3,,,,0.0010311681318402966
LTA,,,-0.013736463908757535,
CKLF,0.07518318839465979,0.03255884167280417,-0.016600215441080465,0.025813444565285188
CD24,0.02379632449130912,-0.010330698196537001,0.023323899113009562,0.011639161021445146
HSP90AA1,0.00714744234554158,-0.10481348445007069,0.0539450406873353,-0.03119567809323144
BMP4,0.04740905514983541,0.1053280413671317,0.007198441699716289,0.030456354627336722
SCGB3A1,0.051251233589205164,,,0.10587677526762254
IGFBP4,-0.00636479864093312,0.06176892602300195,0.046747752244090994,-0.025913372015269425
RSPO4,0.06454764178945185,,-0.01597634378052218,
LEFTY2,-0.0012753680612211601,0.0454232180692351,0.014055052335629566,0.031083699176112735
PF4,,,,-0.01341530203301835
ANGPTL2,0.010109271644155805,0.02624851298964814,0.042538485503936914,0.042923298717848654
LRIG2,-0.035428421295841436,0.01585714985510018,-0.030160912068817304,0.00473292192160029
ICOSLG,0.02021647491810955,0.06601966976876476,0.017764236860315488,0.02026569792683303
WIF1,0.035855247786371024,-0.026840532950760148,-0.012328566084821505,
NPPC,-0.02507249075472141,-0.03974597227267069,-0.02404911519291441,-0.025382650808393758
LYZ,-0.03247550533516168,0.0731063609929507,0.007860874731428767,0.03519246162218684
EREG,-0.021503967490445877,,,0.04064048200482679
SPTAN1,0.02335468709818373,-0.011509622017494435,-0.025707926693421125,-0.02015105547182864
LIPC,0.027536899298755003,0.06529465608300482,-0.02043915277114882,
COL8A1,0.012345575135316478,0.010046005251661555,-0.027914835101042465,0.08900094363880627
GSTM2,0.06224904106636278,0.06196484517005344,-0.02105354315701151,-0.04147038802286728
SPX,0.0025855554420766477,-0.029576081537766967,-0.020663356354357766,0.007220851337710448
MFGE8,0.02819931668161326,0.030949725072568355,0.010722321861526916,0.022764728488589354
TGFA,0.004248535478068707,0.10301608186487697,0.016256764765914773,0.02259436159435552
SLIT2,0.0481153313848957,0.07212423403972296,-0.019683016467185444,0.06472142596604592
PLTP,0.00956942198209322,0.07238458007793853,0.007238176103633899,0.039496208654401885
APOD,0.031540765838271964,0.020149573855684944,-0.021229500099922593,0.03325520461620771
B2M,-0.0049989373139010616,0.07280721620809172,0.0073240690505295795,0.08180506172817012
OMG,0.01194234761778885,-0.035179471646749894,0.016944098466728105,0.02858370879405114
CXCL3,0.005182194521547752,0.058017470944318326,0.0174759729223616,-0.05509316970057925
CXCL10,0.0574117283553035,0.057989170245315205,0.002974592118070301,-0.01799380907522959
RSPO3,-0.013700248286284765,-0.024239908333468764,0.00024498741801177255,0.05812347464835101
CORT,0.013227374752618266,-0.041952592180089766,0.04325809315575162,-0.014038431730018085
NCAN,0.01086606088805791,0.03367459442412158,-0.01550548375325076,0.0029610257530753546
PRG4,-0.019723979651244675,-0.02099834628190547,-0.0204171331147876,-0.02071456508607484
ZG16B,,0.09435189302214957,-0.01091486755085125,
TGM2,-0.024789304938590488,0.07277646841225786,-0.06338465223392396,-0.03623879337758396
VEGFC,-0.030361740578332696,-0.01400696873729082,-0.0196020299761057,0.02903588319039677
WNT6,-0.027177745042205763,-0.02064912395378824,-0.02429064842695862,-0.026091052835271127
NRG4,-0.0025260766577116732,0.03211338277021046,-0.020969227839597978,
PMCH,,,-0.015976343009491033,-0.019696670765086865
COL9A1,0.04905122089768394,-0.030743309942682928,-0.020052863627461552,-0.03275219325709948
GDF11,-0.021425902436761426,0.03518515015646436,-0.01676314646440356,-0.020573426605678576
IL24,,,,-0.013201401862692207
SORBS1,-0.06048566485820189,-0.023268317439618658,-0.04312614027246698,0.04593636304269155
DLL1,0.03669562613868718,0.08941313538153375,-0.008077920940291961,0.03561746828423413
TLN1,-0.0005995258832753427,0.06087706364196443,-0.009942447472883928,-0.009524869455136361
COL2A1,-0.017616505991665123,-0.019381744237162005,,-0.03440689166189744
SHH,0.028506322641947995,-0.015236405975489288,-0.0026690007626731073,0.03827931898687283
PON2,-0.00406741540808873,0.0678175353046821,-0.0058563793347654654,0.03063989428046916
ICAM5,-0.03837197369926141,-0.015826381924317685,-0.035465312953777764,0.025259932665412398
HPX,0.024295535260615477,-0.014941290355282516,0.016817953724535754,0.01645453490263964
SFRP2,,0.08554493270643208,0.08819283471749212,0.052948190547598514
CFC1,,,-0.013736464738923006,
CD70,,,-0.025623316317261672,0.02705391435364422
