,UKF251,UKF266,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916bulk
BMP1,0.053732461501883495,0.13893804335571017,-0.004250322805138909,0.05905150192851102,0.035082812511765094,-0.002295096488025299,-0.13486318210820095,0.10911492839075057,0.06119822651249979,0.04387289090498147,0.00867541100139634
NDP,-0.032484192976555554,0.01608310063058027,-0.008114771150058693,0.030699123157758777,0.0006553583332551691,-0.10931597715137116,0.15277099940150102,0.1564373933374105,0.03872947718431801,0.07020604745489342,-0.036376321048835265
TNFSF18,0.05528585708045739,0.00010972465896369353,,,-0.015058313167379125,,-0.08205065207900804,,,,0.060121439713190616
RTN4,0.04395275558171686,-0.15653011387380938,-0.037853506038285134,0.01612250737741884,-0.04737391387321503,-0.004519241448910077,0.014232908035114199,-0.28715041740659425,0.023525370487960134,-0.06900061435200881,-0.029407914809812207
HEBP1,0.028850853744442684,0.050713224480480136,0.042402636518427884,0.017520887388237073,0.03583561943638671,0.00848809855243339,-0.10502414471795722,0.037215578721750235,0.021362991273526824,0.026098809251445556,-0.07252858360311024
WNT7B,0.008926618880160312,0.010391569380525663,-0.03391099427627722,0.07155280631744909,-0.003587821973387394,0.036050752045624856,,-0.01626176740956197,0.07525542545034071,-0.022067364386985835,-0.0005165128820006769
PTMA,-0.016473986149230797,0.21545443350776058,0.07549801830834593,0.08317805537944685,-0.04426996637637472,-0.06685420202589117,-0.11488483607355957,-0.3092289852851024,-0.06800726257886029,-0.006639194933907506,0.043855939278056366
CEACAM1,0.006342792244816683,,,,,-0.11998163236386486,0.04602616353535839,0.01870487016281424,-0.018763785934444076,-0.0146464306847798,
PDAP1,0.03920345425747211,0.07010281981745695,0.021684933683666113,0.0021945471470201064,0.07440267395744696,-0.0462047883912482,-0.12698922602140478,0.10558849104686643,-0.027589359555815242,-0.019044972915724316,-0.03823124303688529
QDPR,-0.03222201459917053,-0.0688709449486396,0.04920783214273101,0.07528174146769381,0.04829881427970793,-0.010843707676089259,-0.048381076681786664,-0.35382791306978134,-0.02279879213445745,0.007998013435899207,-0.10344806957939297
POMC,0.03399323938379815,-0.020632763723451245,0.039650880507273105,-0.022212054399236927,0.04104476624458844,0.08509181406637058,-0.08021000612591396,-0.020166460762990706,-0.03473105777024014,0.08311253412839262,0.003933053161572037
CCL18,,,,0.024331120994903258,,-0.06470014852118448,,-0.08114300775354093,0.03325026092727558,-0.014715497007372949,
CCL17,,,0.04121978448275014,,,,,,-0.013311997927720188,,
VEGFD,0.03810995384227825,,0.003972930753163951,-0.036315167908249055,,-0.03360047745288578,0.06479959840714714,,,,
TNFSF13,,-0.01847933977377272,,,,,,,-0.025543724530530266,-0.016446960018090838,-0.02605753398015942
WNT5A,0.043491575668228276,0.16991657296402862,-0.0200778890711062,-0.016242288160272803,0.014094275668107042,-0.033611570282224515,-0.11323218608862268,0.1554298415078546,0.02117354057444251,0.0035422099252205145,0.023007515646610625
CXCL8,-0.03939590509922869,-0.026285662273818036,0.045773460390058814,-0.003186198782305186,,0.19190442162495336,-0.18455015775797348,0.2715660735881367,0.06748628213241573,0.004016869519130219,0.04438087190875271
GRN,-0.07288542004692186,0.09597732590542044,0.01091336440372711,-0.014734171798356009,0.07608179483592917,-0.15494062388862423,-0.18633229207086358,0.03329051729034739,-0.015189792542869203,0.05348906727252014,0.0012465180114763972
MIA,-0.027075872232273337,0.023566366798909555,0.0018075623223665067,0.0002178307770118091,0.05821022081872616,-0.05047118758605913,-0.06222279009176642,0.10812746141499815,0.03398526235520462,0.04521461850513655,0.09636361641294097
