,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.015823684648838186,,,,,,,,,,,,-0.030127659725205813,,0.04756725338843217,,
BMP1,0.06613170819091806,0.0545973199900542,0.02741677925172669,-0.06182644909208779,-0.03256999888348685,-0.0006188391996724549,0.2391238496047617,-0.01674158068734666,0.005396344355664455,0.07221013792993941,-0.11658462642749615,0.044402244882984776,0.03270296768877021,0.07202401965887528,-0.025254860376872287,0.1488400362484716,0.12623906840452673,-0.03008840008415089,0.05366677227470055,-0.02620600012557281,0.23583250646449516,0.03779327320911955,-0.0515622425942281
NDP,0.04621259827852677,-0.024691294252219314,-0.013414962128545024,-0.04346343166104974,-0.01632866621761472,-0.04047460316839391,0.0756575885055882,0.07910873670972518,-0.005216371815793313,-0.013039015769409868,0.04774422787961842,0.013376976265944668,-0.024794703967031498,-0.03840126670143657,-0.007488517342589563,0.00032201404369488107,0.0710382285325428,0.09024331276759576,0.030050841728880884,-0.005734619780423793,0.015858227537812547,-0.015596109411775428,-0.055015657240341756
TNFSF18,-0.018109555698641037,-0.007406674671419427,0.025771434663701215,,,0.11870879619191937,0.06359813818804662,-0.023078298205799028,,,,,0.23873532010366938,,0.081739511100119,,,,0.01875669043783014,,0.18857407926357306,-0.043183963463783066,
IL36G,,,,,,,,,,,,-0.012026567026870593,,,,,,,,,,,
RTN4,0.02374014547043205,0.025753650382014638,0.0716600555608915,0.019597266397392177,-0.0034250582556703004,0.052481347750683215,-0.2617204073280388,-0.0027198126718620927,0.05907174480599703,0.06622270001008074,-0.0240211466742627,-0.020484273730728232,-0.1840023860283311,0.037609274466159255,-0.04341999495226125,-0.08384930554565734,-0.09155647039055859,-0.0921744829089639,-0.07710058877315867,0.03523378690853594,-0.06134655967563697,-0.04118182456018164,0.031754470663440656
HEBP1,-0.0539466408833797,-0.026032721714248946,0.012633537802227653,-0.032447866538016734,-0.03904217987081492,0.0373834833769614,0.11821507074997833,-0.04268856301807745,0.04067118201755643,0.001400755691178586,-0.07039431937148231,0.0504111583432067,0.0560627193427486,-0.014497515034231537,-0.032835207723864446,0.040802561360969714,0.04773866227052617,0.0436021343749937,0.002451123918322919,0.021257949162546013,0.0454472622583082,0.03819568475961174,-0.03808713059225868
WNT7B,0.004798191323442123,-0.059162655462772544,-0.026828167365608287,0.041863734093750764,0.038371411653009946,0.09258448283474557,-0.07747815561659525,-0.03843359616652765,-0.030445441503502698,,-0.02420178329142812,-0.006730247200121631,0.007743500796857429,-0.08640866714645141,,-0.004774475085265828,0.046663487951058014,0.044039080870010086,0.06234171894272227,-0.00986412885803024,0.09534406826518067,0.08708938685182009,0.031015955041914567
PTMA,0.02015906965309388,-0.0734663483462658,-0.010823435281713928,0.061959483655872415,0.004838397811713938,0.008843698779658515,-0.12512452419100834,0.017105850852245814,-0.023173492268691646,-0.09404236568549507,-0.00821838134837366,0.053608696597213935,0.002699434965464462,-0.19976610278062581,0.06480544785705673,-0.10530384457002646,-0.09637399008279157,-0.04616636594865513,-0.05988226330970479,0.024558508411572238,0.18264835499495843,0.011357447568350198,-0.10651093626611416
FASLG,-0.02883319234067753,,,,,,,,,,,,,,,,,,,,0.03954511721350719,,
