,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH916T1
IGFL3,0.10075148255701617,,,,,-0.022022208233405612
BMP1,0.08536821896516328,0.11582278766449183,0.06716453659788343,0.049396274015924266,0.0692387164843498,0.18144080258744447
NDP,-0.013908676827538297,0.042537535826702534,0.07502957997637819,0.02295648063334096,-0.0072906478490531,-0.02534760034528691
TNFSF18,-0.019648798060084707,,0.07732276351280395,,,0.09621932147698468
RTN4,-0.13608034230324798,-0.08825620070998906,-0.040456584991919745,-0.08318139347882886,-0.028315059699217264,-0.04949439805924174
HEBP1,0.005779966574881223,-0.012810551073602922,0.11863069613386792,-0.005057827701760635,0.018970438218866445,0.04253590092001346
WNT7B,-0.054765934303476815,-0.03782230142561249,0.012679410397886,-0.03294014675988829,0.008615054260605893,0.11543096414456126
PTMA,-0.05276006952764371,0.14462433714476813,0.13916641078406486,0.0186529335679845,-0.05496568532989538,0.10045760991698845
FASLG,,,,,,-0.01909985368784779
CEACAM1,-0.025856699135212987,,,-0.05012641784060312,0.01607062634484873,0.020627797897475923
PDAP1,0.07995375135647229,0.0908180772151796,0.013483530914060517,0.009694729721853337,0.05298900252243562,-0.02934665875607089
QDPR,-0.06972160248403979,0.06622388813026095,-0.012112379990745872,0.015651490376112343,-0.05251887274372012,-0.0444852328612878
POMC,-0.03333071867408082,0.023601156893415357,0.09318389603330078,-0.07055381310925643,0.06368849598289152,0.13233232680245333
CCL18,,0.16270348318251043,,-0.04298078269564396,-0.02165268504013726,
CCL17,,,,,,-0.017311872079746337
VEGFD,0.065525781796183,-0.02269174100365742,,0.0512511854615221,,
TNFSF13,,,,,,0.044578056987466044
WNT5A,0.09920814014934787,0.06553311634842364,0.056307349553978266,-0.04721106348914558,0.07597608146639404,0.033344290275536884
CXCL8,0.06388025747500391,-0.001908722078388425,,-0.0004561164210538413,-0.03812296108190234,-0.045458158123732925
GRN,0.04824957155504584,0.06759988493189216,0.06494708659890674,-0.09131445131012941,-0.004654183263992347,0.028739206055860556
MIA,0.033075612147913325,-0.03077407743847431,0.15645598679664585,-0.08565778025030274,0.1188937876517875,0.08515115001974562
COL4A4,-0.013038938378821755,,,,-0.02737575934301063,0.0907358178162311
TAC1,-0.04312016524561144,,,,,-0.022758216194072707
RARRES2,0.04988431427111345,-0.10805299153104657,0.029657323924758654,-0.16473943402976773,0.03230793097042249,-0.0502240374590932
FGF7,0.0940137958170991,-0.03368803256591755,-0.022373941708822738,0.008194676298617923,0.1127473567776629,-0.03675819175918904
