,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,0.01580541718023045,,,,,,,,,0.11897172611747911
BMP1,-0.01828233372905946,-0.011619159741691141,0.004541872614540785,0.06688984771919035,0.10989130831927127,-0.03385561580809617,-0.05896345101738732,0.03126945773631615,-0.007427573106833777,0.03783341069296689,-0.018525882531112918,-0.02863664064482771,-0.027017952262776857,0.04324467598838701
NDP,0.060526078878260274,-0.005244224083823212,0.02906225129628619,0.01863897064283626,0.027350992343815283,0.0070435869556061,0.06022964173778515,0.02581768960907274,-0.10215283396196916,0.029471501479403552,0.010320997599971949,0.02575944364830159,-0.035554378372284555,0.023446664100826707
TNFSF18,0.016853741716084284,-0.005867852635312021,,-0.012399100171003844,0.0796334754938938,,,,0.10209361009734777,,,,,-0.03032008941921004
IL36G,,,,,,,,0.06644816841389779,,,,,,
RTN4,0.02902262446910894,-0.0673515483021086,0.009170617432558825,-0.07014619234502131,-0.18979503984969825,-0.034724297009490854,-0.07496798939247643,-0.07272288308152142,-0.009140926720166087,0.0025657675513651155,-0.0347840601074304,-0.02707998446733958,0.09096025348984084,-0.05717953265405323
HEBP1,-0.018022392345190055,-0.005462341714018176,0.03970616572596075,0.03164906193782739,0.09862307440669542,-0.006156178084739819,-0.04158275805918555,0.05000415306359954,0.007141103582246176,-0.034862804302023834,0.025695490858922622,0.006397482308797184,0.025082123890800237,0.008452223658919388
WNT7B,-0.03904450443259157,0.08225437931011349,0.022485173905468645,0.014131269305056142,0.0022030184026683238,0.03775231511234665,-0.03242751684352266,0.003586598569411256,,0.036362076183493255,-0.023934040834614572,0.0483529731718778,0.07439767193872075,0.03833887689212584
PTMA,-0.0015359182675062537,0.07559824957937697,0.0313995129438627,0.13176171973809817,-0.09056562438370003,0.08904709307497814,0.002990428648245109,0.0495350464584479,0.03812466351018662,-0.11327823104386305,-0.014542119588689584,0.001150128069791119,-0.026763593844751334,-0.015959593092557366
FASLG,,,,,,,,,,,,,,-0.015589442985031768
CEACAM1,-0.02231590191750913,-0.018936975314001275,0.05141707262973668,,0.05522000775612929,,,,-0.0010879890701900588,-0.03540963379268492,0.10251547588982843,-0.02637014223399363,0.014854680628547716,-0.02169042024126816
PDAP1,0.03599383061146774,-0.019819858120436046,0.05600271333969258,0.08244461892990639,0.13171867130934764,0.0028722730523645496,0.07217361675886982,0.029060079793682154,0.033693146736307945,0.04954240002416834,0.0036076090380476214,-0.0411256606493779,-0.014194217156943835,-0.053810216152795805
QDPR,0.05877389354520353,-0.03576582279225358,0.03254189809867642,-0.059395153433063494,-0.1761782901401073,0.055572249190241216,0.022729547269592743,-0.0238057523858578,0.00305956388128258,-0.12456573102409808,-0.005331970022678081,0.08449850761750825,0.03961097897451584,0.029631888976769376
POMC,0.03789865799531097,0.014319898581752633,-0.04072090131615634,0.04775161307522603,-0.0011472629621617173,-0.03240758689572737,0.017707406777181828,-0.031598324806947894,0.10156889661871593,-0.006449091777617015,0.04839121693293616,-0.027008780363988398,0.048350940833590345,-0.04858441036893864
CCL18,-0.027848137096768342,,,,,,0.04437994228716877,,,-0.03523905515835713,-0.035406139538840864,-0.03272587467838027,-0.01216735457310451,
