,MGH258,UKF259,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.21543293755660162,
BMP1,0.03354411557966657,0.05576485654088352,-0.006276164774275893,0.07048010268525116,0.05394761576555093,0.005065660933183215,-0.023108250494368383,0.07046354899827138,0.05345301037091003
NDP,0.03520500066646908,0.02591560788777223,-0.001845755025998991,0.05832655832910871,0.054104028836059005,0.02121006334854741,0.029923162921377044,-0.008701562450058261,0.02309112611981402
TNFSF18,0.19338738313820328,,-0.010492886466379098,0.0887885502569066,,-0.051271885315850405,,0.010942737393734834,0.0033316209566939055
RTN4,0.042901949047634204,-0.007402456156816235,0.018147499050121814,-0.02490948620775999,0.028136770252055292,-0.019500861707445992,0.02989794646296105,-0.010660870551440715,-0.003857721217209084
HEBP1,-0.02984066969966938,0.020964462893939256,0.04414625673929504,0.06447911364215884,0.0237116399919835,0.020988384853559607,0.010426661427970076,0.011670705985941601,-0.005672505761330845
WNT7B,0.030910883636383404,-0.0006362552572096469,-0.00947123555489381,-0.03545797013657949,0.09624509569220258,,0.02653101028091804,0.00027743712871797606,0.00483900038201735
PTMA,0.05389699166912342,-0.039611088049662166,-0.02881651204507699,-0.033723215988998675,-0.19675214217742115,-0.09194018769960843,0.01907158425437066,0.020506871763920822,0.034074167041116606
FASLG,-0.024743169500335872,,,,,,,0.06086765361710999,
CEACAM1,0.04704038943182423,0.0031448363647935953,-0.016502810648907254,,-0.06300625826558684,-0.03605283695286934,0.021471160604179772,0.07085743189784567,
PDAP1,0.00811724382289879,0.016248242062874993,0.021168747583682444,0.013348197976193715,-0.03779432536128019,0.059428030266917106,0.007613720105807922,0.07754945080624925,0.02641957088758086
QDPR,0.04622629528831229,-0.0279098870083561,0.021376042101433512,0.09469074796703864,-0.001138747510350754,0.01714185483526815,0.03765623286984483,0.028990374345822557,0.0164827879499941
POMC,-0.014672522921801648,-0.015559618430306378,-0.012175115697670063,0.05624016629801864,0.15099740987963003,0.029870800491849654,-0.030773518165268566,0.05130522587239958,0.023654570081257948
CCL18,,,,,-0.0671489786434808,,-0.052986362990055845,,
CCL17,,-0.016496629486142746,0.07052818329305059,,,,,0.10941994211305307,
VEGFD,,0.04436454553785416,0.044225561907249265,,-0.030910730535927765,-0.04901304178176468,,,
TNFSF13,,-0.011379005814071313,,,,,-0.021124311362404207,0.012541219593891519,-0.04068570046245185
WNT5A,-0.005205814612697833,0.02051594733799789,-0.007860389745414524,-0.012551201748934829,0.024678745592038417,-0.013053204444869704,0.009745731949036135,0.006845771066403905,0.01773897621579671
CXCL8,,-0.014227115698430834,0.006012488351864952,,-0.011986468707570617,0.14970995939345616,-0.05829595991327574,-0.011894003551613259,-0.07370483227748298
GRN,0.0048891256395160185,0.08304818283848099,0.03869666035062777,0.06252217277731549,0.0533926954995295,0.036677624861054546,-0.039683330401368525,0.010869631891699347,0.07629668453884571
MIA,-0.0042006645905614945,-0.03473636731929617,-0.02572202756570642,0.10057173828351501,0.024098129879206828,-0.05984300873262074,0.03491871662198051,0.02840428940476259,0.05747671213920815
COL4A4,0.050549195648953736,-0.023589763879480707,-0.013662890792412036,,,-0.0383781769893094,-0.01741579946782293,-0.06368153219432102,-0.04547243080796948
TAC1,-0.024743156038595428,-0.030757636831067883,-0.048128384960265155,,,,-0.02028882511075065,-0.013772854620700324,-0.016723758423933394
RARRES2,-0.03474744052119341,0.022274136304888864,0.04538869188917242,0.006354212156846304,0.09267659245462194,-0.09621718509519453,-0.04125289631189927,0.020395618111032698,-0.03711440237604926
FGF7,0.029565288956730964,0.02281552822998175,-0.03114630642249242,0.07122632445190724,-0.022001201209147104,-0.06538600044399549,-0.0018601831852792313,0.05224203569242009,0.0539985664547684
HBEGF,-0.014865363514096803,-0.023619029949555847,0.035940483792947446,0.1305309534180822,-0.10982965828136484,-0.005663659418346261,-0.01691228198015605,0.013741552459641733,0.016861633815922265
CSF3,,-0.004403182722485336,,,,,-0.026969183823535026,-0.02283078192839192,-0.00513037247292203
PI3,,-0.033931614561737114,,,0.03156586551577068,,-0.05170086357191508,-0.014561608384215928,-0.007917986816357097
PCSK1N,-0.015875279855162787,-0.01731814061986849,0.004603668919738099,0.036137228740668624,0.04338832824964937,-0.0561231737279478,-0.0010052197531652356,0.05920883748636234,0.005204876301602363
NTS,,,-0.015608264521022734,,,,-0.035910058368194574,0.02844005731559177,
