,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02678915964172756,,,,,,0.0844739280030675,,0.06333065194814853,
BMP1,0.08355152213577843,0.05093746180345103,0.04255553541995632,0.07425076123417884,0.03681385506334799,0.06387090281649127,0.1286124076096648,0.04186857726378442,0.09243071506653582,0.03592757706548573,0.02834573330314348,0.013447081985047387,0.0676138406297635,-0.00690201380924406,0.044867884258636775,0.019708922229980146
NDP,0.13167331702432525,-0.011517268151534135,-0.0035428396043639307,0.10385372074436072,-0.03662514857803622,-0.01033632604211546,0.02881693133523992,0.031623387604918105,0.0791143759287277,0.027821461330682137,0.002298973651542322,0.08933762644286868,0.02757742952807198,0.012283964219159614,0.05658388486249713,0.042224196388098136
TNFSF18,-0.008094499119047105,-0.020525863309810457,-0.03948369697916358,,,-0.01842535422514645,0.1360947593788039,-0.022075648991982458,,,,,-0.01990035680553625,,-0.015358285269076202,0.03789502084727406
RTN4,-0.11474359771821926,-0.04633457294817173,-0.005418233352745028,0.0648051458980939,0.004782760814620708,-0.07811023263287788,-0.1478336339041576,-0.07028070319705783,0.039242050394074295,-0.0005962868320067197,0.000804899707184518,-0.06633618380062643,-0.03519005031673408,0.02812638638139941,0.04276187901496463,-0.03393922837933087
HEBP1,0.05561880495100382,0.059204801098772936,-0.0005552842112221491,0.05262664170377768,-0.014745642237155618,0.05505144235262727,0.04767695864538568,-0.03125707541628922,-0.06117761437664323,-0.05405202513542987,0.06139412180158463,0.07972478822807894,0.0279168439765518,0.005289248587830267,-0.03590616796040805,0.014484207390198752
WNT7B,-0.09186294828923926,0.0020804132127354457,0.0013385422291548703,0.023374404820381695,-0.04644301369894434,0.03605674701426824,-0.06051540726056492,0.0027434599201930196,-0.05320669896906183,-0.028522369259153958,0.013898557914903962,0.03625850231803763,0.03513392238098549,-0.030440098688432726,-0.0518929731635909,0.012863617988737766
PTMA,-0.17730805622079313,-0.023986070618316223,0.03263958548533507,0.07390130901753209,-0.029808844482747836,0.09009595016438318,-0.10500944186042407,-0.06989621308643691,-0.06581658304962974,-0.0008561844294109327,-0.05251046138753758,-0.05573090842146942,0.05382163848523498,0.038787592342444936,-0.04272561214988733,-0.03028499807683194
FASLG,,,,,,,,,,,,,,,0.0715968973416826,
CEACAM1,,-0.020060545450633575,-0.01882226717178219,,-0.021029420175871814,,0.17153205827137746,-0.017681464718618416,0.057574864414812875,-0.02557931760433005,0.029232709875828024,0.04885843204529456,0.0400830598621397,-0.02020353621118971,0.007598936259478517,
PDAP1,0.07753470813265675,0.03583758616191387,0.014405976726500049,-0.020320024984622025,0.03530402820674141,0.01559243504384869,0.126766319681577,0.06013246510265832,-0.03810517061858118,0.10403062145792831,-0.02568512307319586,-0.06751264519986616,-0.01954427596422697,0.019288175691486494,0.03344063135690482,0.037256964218516785
QDPR,0.02765140623172085,-0.025608190267963057,0.03038021518014673,0.07780115442910893,0.007692148601272083,0.014622385055067407,-0.10979260528611169,-0.03617029456098372,0.03756554456492915,-0.059312049033741036,0.04669642040111355,0.03510734067116731,0.012559769616942336,-0.009804352047368481,0.030786837532330632,0.010934377964481604
POMC,0.018103539724437522,-0.017701216001581612,-0.0229372451454352,,-0.042316166265734485,-0.0007907305757139634,-0.018745951802281884,0.03997065846097348,0.054990001362715965,-0.04864111188245194,0.012957852181128828,0.012076558653427579,0.06493407623915459,-0.03305033119121286,0.03193144859136626,-0.008366538529006519
CCL18,-0.0215565436235665,0.028334732874289077,,,,,,,0.11249719246538506,-0.01813615674579455,0.08865296431366708,0.10708495757079194,,-0.06352091164687976,,
CCL17,,,,,,,,-0.027532632289843435,,,-0.021346252417098532,-0.03923950719892313,0.09369041433777432,,0.02817900517285638,
VEGFD,-0.053418054900150884,0.0028656242025792804,0.03446914050479552,,-0.020119758577228627,,0.0840185618485025,0.011668366602035869,-0.05068379175878958,,,0.0496007191301397,-0.026833033313912073,,,
TNFSF13,,-0.01889121317588092,,,,-0.01786874985267495,,,,,0.033806033051172725,0.03679275717549117,-0.008815829237527441,-0.022687217072948122,-0.039238204554577896,-0.033000169298935574
WNT5A,0.008710784325574834,0.037814048804651494,-0.01833712404264025,0.09039164406699765,-0.025657749637784638,0.06706091009430518,0.04157065542425946,-0.013296946036293805,0.028286388476981648,-0.08597275357750508,0.020281093083004412,0.004458714312108855,0.027349029082221737,0.008476413880073672,0.0475525869489331,-0.046492520022837776
CXCL8,-0.14298780593260602,0.02232553016981393,-0.01227996604310546,-0.10898423817251505,0.0931028881212997,-0.02541713771340316,0.11799943212281046,0.02365756396475676,-0.019293102511858395,0.08715063139280081,-0.030575192001872545,-0.055960459422968525,-0.022536875762057262,-0.09437122324645095,-0.06115870632652503,-0.03929498705834696
GRN,0.06538347217837148,0.057970422359645106,0.00892972930379198,0.10156735336989026,0.00976288184940502,0.04541099497070546,0.08171570703740433,-0.012167537309419964,0.06966751431123133,-0.04282496875055774,0.013322669761257325,0.0055406592643095585,-0.05134336745177319,0.010681699092295369,-0.010552165011070975,-0.0030557508892115033
