,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.022286142489855488,,,,,,,,,,-0.021110099350572148,,0.05016017325439341,
BMP1,-0.006305370316147187,0.035545056720798086,-0.035139369476808846,0.04109313248080734,-0.011260178441850762,0.06979161296005805,0.026843129557131043,-0.03909663685658377,-0.041985550494787575,0.012702047701416516,-0.06254731083548419,-0.028274499179674638,0.011617238875236115,0.0386319367597262,0.0006505661849105701,-0.01794851263867424,-0.02013892897047466,-0.029117458918333766,0.10348836948180172
NDP,-0.015015904415411802,0.0027423288174041275,0.00254418833762203,0.07504697747729759,0.004541307103833266,0.044398211101206966,0.03631214178746678,0.046548916477530865,0.11656545079990768,0.043035633292068165,0.1280508930808807,0.053233621371374794,-0.02230580366791474,-0.044245238998548826,0.0810305138156432,-0.029444911805098867,-0.0009173874810405048,0.08053072000425836,-0.016412434216815333
TNFSF18,0.040012128491437655,-0.014235158853894486,0.0045787744326978505,,,0.002529758128693067,0.03740860708738795,,,,-0.025257711003178335,,-0.04632837910181968,,,-0.021770472845109683,,0.1082775023778422,-0.0013235465968606337
IL36G,,,,,,,,,,0.012354894908978776,,,,,,,,,
RTN4,0.007906303789271398,0.03661188364548977,-0.055772066795586606,0.020480061782542934,-0.012829125612324462,-0.11415126093934469,0.015665865201155805,0.0009581860695389337,-0.0503892791630154,0.024562200246772838,0.08320072660866419,-0.01768342430569356,-0.07955716624540897,0.05284292819453329,-0.050720335975054105,0.06524672868989576,0.019449759468763067,0.005683839138361438,-0.0908505710343583
HEBP1,-0.06041870573911391,0.013568885832758282,0.06100888696919034,0.018416321148241065,0.017378252048607417,0.059110692253498825,-0.0054700201482907294,0.0063113878345827405,0.05681446233021391,-0.00438963693437404,0.03198076563117692,0.001265221711032031,-0.06052826036949145,0.04104150814390437,0.04715871945756324,-0.00663782957749641,-0.03075748189102408,0.053899185145506096,0.016032537174571714
WNT7B,-0.019520827331356534,-0.037632664644378776,-0.01843458103102133,0.030125337441493965,-0.04556824300351886,-0.024009405430877206,-0.01327912816117889,0.011809822282911385,,-0.01444656645090165,0.08334131479662948,-0.05016704810217426,,-0.02219727249711356,0.057683313756257716,-0.03386069660700842,-0.025860405098310637,-0.02953674582273106,0.03696986125977984
PTMA,0.029686070549742608,-0.01902893367540114,-0.03450859114385888,-0.005183287766731916,-0.027978123056020123,-0.037993912972529416,0.0386741304359154,0.0545264025537091,0.061689400824834345,-0.01192720728957752,-0.03114117572627099,-0.1591982125395871,-0.05283152969116529,0.07636263223432105,-0.03786083859729124,0.08015315188592946,-0.013107038434456481,-0.07814433077204794,0.0767635261144943
FASLG,-0.019520832849844415,,,,,,,,,,,,,,,,,-0.019703635446936443,
CEACAM1,-0.027104847252232105,-0.02198276988547135,-0.014147432175920486,-0.04197551161383233,-0.014777320781550952,-0.007017468661425799,-0.017914280956855447,,,,,-0.005835950389171596,0.041485131117452945,0.07562003282995326,-0.025955973005410526,-0.03128189661029442,0.004518533546608347,-0.011677969525204552,
PDAP1,0.013848047317563582,0.036640526394240445,0.01999558646565785,0.025766314391323982,0.01783493126146918,0.12215573632331996,0.0010128588694694007,0.05348383289461256,0.0474791836766343,0.02592616984205904,0.04140197100288897,-0.07023973139764074,0.07348343066392085,0.06315712869420476,0.016654410961159653,-0.027100995306341427,0.016084456220436246,-0.022715678752442868,-0.0035076020958995004
QDPR,0.08533720632407363,0.01404289351856409,-0.027895487393852038,-0.024955680250587194,-0.07071186033799833,-0.07621763812147454,-0.04000602153225908,-0.06491992067187896,0.06078796168964836,-0.04931475182328137,0.10410790366659035,0.13288163047717594,0.04972100250847512,-0.06611325675656728,-0.019042911690684176,0.06300715748882155,0.00795236781625913,0.019956970709270497,-0.08151724471121109
