,ZH916T1,ZH916inf
IGFL3,0.007790432056348608,
BMP1,-0.018546212136979594,0.026149210932427933
NDP,0.05983637512989919,0.036515405428110825
TNFSF18,-0.023834305808725316,
RTN4,-0.0116646970856113,0.057129036871148266
HEBP1,0.12014716498977092,0.02978560937873685
WNT7B,0.049188018297784894,-0.045632633838425585
PTMA,-0.09090577542253801,0.0912140341509555
FASLG,0.049220298021100464,
CEACAM1,-0.003284049118074545,
PDAP1,0.03279211679967607,-0.020734267354269406
QDPR,0.04688292080592109,0.13144220288249084
POMC,0.08136203869919503,0.049616328710752465
CCL17,0.11898428561254598,
TNFSF13,-0.01972678333465707,
WNT5A,0.05800574779724431,-0.04832132984944469
CXCL8,-0.03898121837226663,0.07041869409700557
GRN,-0.04175111097202568,0.10609918640805001
MIA,0.06471803582246335,
COL4A4,0.005407982947304715,
TAC1,-0.02681656293209991,0.07788004430980734
RARRES2,0.03004017552237199,-0.01731105653901025
FGF7,0.07428500855553583,-0.01497181958409235
HBEGF,-0.021538872346846122,0.06246319662784613
CSF3,-0.021477002625214285,
PI3,-0.03717550489417426,
PCSK1N,0.10849141695570094,-0.09403893775434548
NTS,0.07571727835655635,
SFRP1,-0.03106545596773036,0.07911304734250295
MICA,-0.02845995968048336,-0.06784960702085
TG,0.027450963290683302,
ADA,-0.003406837712863673,-0.02498669174598055
LAMC3,-0.027357623978913722,-0.02193175470226026
CCL7,-0.02250581688462716,
NGF,0.022021338402581237,
TNFSF15,-0.02077001444014707,
HMGB1,-0.006397736845573879,0.04328749031370766
ITGB3BP,0.029187737614358212,0.20074931250737355
AANAT,0.011806377495681336,
RELN,,0.056623133874710393
IL15,0.04562494508539938,
BSG,0.014810029125373735,-0.11515987499774434
ADAMTS3,0.023092555345586067,
CD34,0.011795646336850383,-0.012933183577566348
PLAT,0.025474855098654683,-0.0023400918205119746
LTA,0.047382293426661434,
CKLF,0.0872047303502575,0.04507070904936104
CD24,0.08499873318091981,-0.04553721250704701
HSP90AA1,-0.055922734517485334,0.009346538321465125
BMP4,-0.005212876837348302,
SCGB3A1,0.04321835632374783,
IGFBP4,-0.03670068504251995,0.024560466527538127
RSPO4,0.008164299742812452,
LEFTY2,0.04905088999396906,
PF4,0.021636798440918998,
ANGPTL2,0.03738737998888917,0.009500836519325347
LRIG2,0.11670071860432782,-0.03117916796024448
ICOSLG,0.08026992083984713,0.025738844784392007
WIF1,,-0.08168149157295497
NPPC,,-0.008490613290339288
LYZ,0.016115723396293375,-0.07432721988507239
EREG,-0.048399119571057,
SPTAN1,0.06792139552081068,-0.1419681950225795
LIPC,0.04377501040028318,
COL8A1,-0.00036699627668561243,
GSTM2,0.020960769243195898,
SPX,0.0985160189494846,0.0007272769545816443
MFGE8,-0.011244354857784404,-0.09425635641098236
TGFA,0.07430645980624984,0.07744005169202511
SLIT2,-0.01159831873006777,0.023387292235180518
PLTP,-0.0232365487494152,0.08691132872932703
APOD,-0.04435070943719473,0.08471294040169437
B2M,-0.07802733861324594,-0.11981599897592816
OMG,0.12874150052888908,-0.049697678971652434
CXCL3,-0.0002481565197189888,
CXCL10,-0.04005470040948533,
RSPO3,-0.004323097060812313,0.0019582910486417235
CORT,,-0.03725223352999171
NCAN,0.07181140072072925,0.03034067981336893
PRG4,0.005309042181344187,
ZG16B,7.379009253813272e-05,
TGM2,-0.037475443343546945,-0.01146628673821738
VEGFC,-0.00356081510469218,
WNT6,-0.034392771271950104,
NRG4,-0.022839005899847897,
PMCH,-0.022707233865159333,
COL9A1,0.047967355372846215,-0.05675892803976307
GDF11,0.05007647037923966,-0.07544834706375954
RAET1E,0.04248861599570926,
SORBS1,0.05280916238867707,-0.012369941306951869
DLL1,0.0761712282861709,0.020779688444307044
TLN1,-0.038151337806572636,0.026642300155522883
COL2A1,0.0038860105281442276,
SHH,0.04035520512690315,
PON2,0.1037798818836723,0.17432586769976435
ICAM5,-0.005877458552012445,-0.06759701773450859
HPX,0.04152716162197039,
SFRP2,0.0355008501831709,0.12154577132219478
CD70,-0.011591431183226161,
HP,-0.010270510139986552,
CXCL2,-0.00771385951286837,0.037056650037128096
NPPB,-0.023167627900274636,
CCK,0.028035740389505716,-0.04947514545356196
SEMA6A,0.06474648275371354,0.09989233483420026
IRAK4,0.09100037995730216,-0.07903981787378749
GSTP1,0.08636878701872834,-0.0653849550773965
VCAM1,0.04702230556181349,-0.017430615877707435
NXPH3,0.12402854500614703,0.04554152208312673
MTMR4,0.0858947555926686,-0.08769121398859109
LAMC2,0.013465363445346058,
IL10,0.07582343274999034,
SEMA4D,0.06227069510433542,0.04244439010323666
TRH,-0.02594929690358532,
SEMA6D,0.07635152828145118,-0.06902850043682343
CEL,0.001448335350933062,
PDCD1LG2,0.06751997135335634,
SPINT1,0.04813051925494867,
CTHRC1,-0.003322219176618029,-0.02850095979886487
PODXL,0.00564356645432604,-0.09349006055609092
JAM3,-0.02743553836350631,0.09188040167455386
TGFB2,0.04526420467651218,0.002001342169770477
COL18A1,-0.10260074007081654,0.000716200538377637
NODAL,0.03439162713802808,
INHBB,0.0939313600842523,-0.04884973176973795
LCN1,-0.026241341419795845,
ARF4,-0.0581567267382202,0.0204661404208133
CXCL14,0.031793765431874545,-0.0010578979380618649
LIF,-0.0250181597530926,
IL17B,0.08692466463331201,
MMP1,-0.018074884696735394,
MATN1,0.05979745682826707,
ADAM28,0.017848378155816132,0.006611923098958332
TCN2,-0.0011416784862778423,-0.05960259137425648
THPO,0.07875295001503822,
CUBN,0.036617489792876746,
TIMP3,-0.02481974286698173,-0.02020742658336782
PIGF,0.06701234220149849,0.07384180371923439
CRH,0.06795221259911363,-0.04783978960152984
BDNF,0.053450184698938724,-0.015179732547484595
CCL5,0.0725722486795216,
GAD1,0.05693014898429091,-0.03205588518374514
COL14A1,-0.010597062030897286,
HLA-A,-0.09281439641754095,-0.036913446048891504
FGF18,-0.00996513521972444,
ADM,0.0456628758074548,0.05659795794250706
CCL15,0.013770520875717406,
GNAI2,-0.055577105959956796,0.08066568189413689
HDC,0.15677702836038224,
COL11A1,0.041876123138737946,-0.05993057785298959
NUCB2,-0.04256268454492892,-0.02636046247883563
CXCL1,-0.024897156818267693,-0.04021412886921933
VCAN,-0.03822524052512719,-0.00019245270729126955
MMP7,-0.05291378357020463,
PTPN6,0.02735918382580598,-0.011579101446877061
PTGS2,0.03438405282933496,0.06096135277654254
CD58,0.036331534002350514,0.06852570481162762
TNFSF14,0.02675389865714262,-0.0436682566850375
CNTN4,-0.016272186415613288,-0.06096032781482026
INSL3,-0.030815579318617423,
BTLA,-0.02979712440182611,
MFNG,0.021253202667471875,-0.03819164492999626
ICAM1,0.03192236124507653,-0.049474795008287886
PROS1,0.06324973111677223,-0.07612151874904584
CLCF1,0.025698757558922376,
PSAP,-0.012510936530049071,0.03519444852737081
EFEMP1,0.002390036135581988,0.03360191077081275
C1QTNF1,0.0032056468422239945,0.02355621571290861
ALB,0.04054067800784801,-0.05341734968522192
EFNA3,0.022878747907025418,-0.04019251559022994
DRAXIN,-0.027699214702041515,-0.0567589990572448
NPTX2,0.03097807748984698,0.07595441145403435
FGF11,0.0625606734945045,0.04130713744113
CD59,-0.057294702136523525,-0.05050299618951936
COL9A2,0.04637345239725151,0.13590837092910993
DLL3,0.03783278623401517,0.029243015727169048
FGF5,0.08808654357408316,
LIN7C,-0.005248332807668078,0.04599770488662588
GDF7,0.013355725913138116,
